# 1. 数据罗盘解析

language=zh
language_probability=1.000
model=tiny

[00:00:03.020 - 00:00:04.660] 各位會不會問大家好
[00:00:04.660 - 00:00:07.360] 歡迎大家來到上架境接班
[00:00:07.360 - 00:00:08.620] 我是梗婚
[00:00:08.620 - 00:00:12.740] 今天我們要分享的主題是數據羅盤解析
[00:00:12.740 - 00:00:16.860] 數據羅盤功能是中國知道王位公平商
[00:00:16.860 - 00:00:19.980] 兩身打造的在線數據分析攻擊
[00:00:19.980 - 00:00:24.500] 通過對中國知道王上的海量數據進行分析
[00:00:24.500 - 00:00:29.500] 為公平商提供平台推廣方面的幫助和知道
[00:00:29.980 - 00:00:36.220] 被我們制定更清晰有效的推廣策略
[00:00:36.220 - 00:00:38.540] 讓我們進入今天的課程
[00:00:38.540 - 00:00:44.180] 我們先來看一下數據羅盤的版塊功能介紹
[00:00:44.180 - 00:00:46.700] 數據羅盤到底有哪一些功能
[00:00:46.700 - 00:00:53.280] 這些功能是如何去做應用的
[00:00:53.280 - 00:00:55.240] 關於數據羅盤的使用
[00:00:55.240 - 00:00:59.000] 我們日常工作中接觸到比較多的資訊在於
[00:00:59.000 - 00:01:02.200] 像整體的帳戶流量是怎麼樣的
[00:01:02.200 - 00:01:04.200] 同行的流量是怎麼樣的
[00:01:04.200 - 00:01:05.920] 我的產品效果如何
[00:01:05.920 - 00:01:08.320] 我的買家分布在哪裡
[00:01:08.320 - 00:01:12.640] 而我行業中的買家又主要分布在哪裡
[00:01:12.640 - 00:01:16.080] 我如何去管理我每個資賬戶的推廣效果
[00:01:16.080 - 00:01:18.680] 如何去檢測資賬戶
[00:01:18.680 - 00:01:22.440] 有沒有積極的登陸和操作賬戶等等
[00:01:23.600 - 00:01:26.280] 實際將這些問題書理一下
[00:01:26.280 - 00:01:29.680] 主要是為要三個大的方面
[00:01:30.160 - 00:01:31.680] 我的效果如何
[00:01:31.680 - 00:01:39.940] 行業數據如何以及內部賬戶的管理
[00:01:39.940 - 00:01:44.740] 中國知道網的數據羅盤也是按照這樣的私陸進行不絕的
[00:01:44.740 - 00:01:47.740] 因是我自己的賬戶效果如何
[00:01:47.740 - 00:01:50.380] 包括自身的流量數據
[00:01:50.380 - 00:01:53.780] 我的產品數據以及買家信息
[00:01:53.780 - 00:01:56.100] 買家分布情況等等
[00:01:56.100 - 00:01:58.380] 而是行業如何
[00:01:58.380 - 00:02:01.020] 主要是行業的熱詞
[00:02:01.020 - 00:02:02.620] 行業的熱門屬性
[00:02:02.620 - 00:02:05.180] 關鍵詞分析功能等等
[00:02:05.180 - 00:02:11.700] 第三的是賬戶管理以及紫賬戶的全線開放
[00:02:11.700 - 00:02:16.500] 我們就來
[00:02:16.500 - 00:02:19.460] 著重了解一下各個版塊的功能
[00:02:19.460 - 00:02:24.090] 先來看第一個菜單我的流量
[00:02:24.090 - 00:02:28.410] 我的流量版塊主要是呈現整個賬戶所有的
[00:02:28.410 - 00:02:29.410] 保光量
[00:02:29.410 - 00:02:30.250] 訪問量
[00:02:30.250 - 00:02:33.690] 審法量和同行的對比的區緩圖
[00:02:33.690 - 00:02:36.890] 以及賬戶流量的明細數據
[00:02:37.890 - 00:02:42.290] 顏面最上方會先對整體的數據進行整合
[00:02:42.290 - 00:02:44.690] 分布呈現不同的流量
[00:02:44.690 - 00:02:47.690] 不同的磚口數據情況
[00:02:47.690 - 00:02:50.970] 這裡會涉及到一些專業的概念
[00:02:50.970 - 00:02:54.690] 只不過見的會員朋友們應該大多會比較了解了
[00:02:54.690 - 00:02:58.890] 這裡在帶大家簡單的溫馮一下
[00:02:59.890 - 00:03:02.290] 首先是報光量
[00:03:02.290 - 00:03:05.170] 簡單來說就是供應商的產品
[00:03:05.170 - 00:03:10.050] 在中國製造網上被買家看到的刺數
[00:03:10.050 - 00:03:14.770] 買家收索一個詞并且查看了前三頁的收索結果
[00:03:14.770 - 00:03:17.330] 我們的產品如果是在第二頁
[00:03:17.330 - 00:03:19.530] 就算了一次報光
[00:03:19.530 - 00:03:21.930] 我們的產品排在第四頁
[00:03:21.930 - 00:03:23.930] 就不能夠算了報光了
[00:03:23.930 - 00:03:27.370] 因為買家他們沒有看到第四頁
[00:03:27.370 - 00:03:31.210] 而訪問量就是被買家點擊的刺數
[00:03:31.210 - 00:03:34.410] 通常我們也叫做點擊量
[00:03:35.170 - 00:03:37.170] 10萬量就不用多說了
[00:03:37.170 - 00:03:40.570] 就是買家給我們發尋盤的數量
[00:03:41.570 - 00:03:43.370] 所以大家可以看數量
[00:03:43.370 - 00:03:47.170] 三個流量間前者是後者的基礎
[00:03:47.170 - 00:03:50.530] 從報光到訪問再到尋盤量
[00:03:50.530 - 00:03:52.970] 是有一點類似於漏的形狀
[00:03:52.970 - 00:03:55.570] 實在不斷的經減狀態
[00:03:56.570 - 00:03:59.570] 其實再看一下磚口的來源
[00:03:59.570 - 00:04:01.970] 國際戰就是我們的英文主戰
[00:04:01.970 - 00:04:04.970] 在電腦端上是主要的流量
[00:04:04.970 - 00:04:07.650] 一動端是指移動的設備
[00:04:07.650 - 00:04:12.810] 比如說手機觸平頁面或者是買家的這個APPDON
[00:04:12.810 - 00:04:19.140] 對於戰就是我們的C,P,F,R,R,R,R,R等等
[00:04:19.140 - 00:04:22.700] 是個多於戰艦的相關流量
[00:04:23.700 - 00:04:28.540] 在首頁我的流量處除了區分不同端口的流量
[00:04:28.940 - 00:04:34.140] 同時會呈現他的報光、訪問、審盤、訪科書
[00:04:34.140 - 00:04:39.890] 除此之外還有一個時間空間要回大家提醒一下
[00:04:39.890 - 00:04:44.490] 可以按天最多三十天、按月最多十二個月
[00:04:44.490 - 00:04:49.290] 去帥選查看流量會總數據以及分部情況
