# 2. 开发买家实用工具-站内篇

language=zh
language_probability=1.000
model=tiny

[00:00:05.460 - 00:00:09.260] 大家好 歡迎大家來到MIC商家緊接班
[00:00:09.260 - 00:00:13.020] 我是來自中國製造網的海域經理遊戲家
[00:00:13.020 - 00:00:17.160] 本節課程主題是開發買家使用工具
[00:00:17.160 - 00:00:19.860] 這節課程咱們將會為熱
[00:00:19.860 - 00:00:26.200] 如何去利用中國製造網上平台以及有一些戰外工具來開發買家
[00:00:26.200 - 00:00:30.220] 現在正是進入到本節課程的內容分享
[00:00:31.220 - 00:00:34.220] 今天的課程主要會分為兩個部分
[00:00:34.220 - 00:00:36.220] 可見我們會介紹一下
[00:00:36.220 - 00:00:38.220] 中國製造網提供了哪些工具
[00:00:38.220 - 00:00:40.220] 給大家去開發買家
[00:00:40.220 - 00:00:42.220] 那第二部分呢
[00:00:42.220 - 00:00:44.220] 會去分享無合利用相似過引擎
[00:00:44.220 - 00:00:48.220] 需要軟件這些外部工具來開發買家
[00:00:49.220 - 00:00:52.220] 好 中國製造網上一共是有無款工具
[00:00:52.220 - 00:00:55.220] 分別呢是RQ採購需求
[00:00:55.220 - 00:00:57.220] 全民除測
[00:00:57.220 - 00:01:01.220] 可以燒出銀行以及SNR分享銀銷
[00:01:01.220 - 00:01:04.220] 我們先來看一下RQ採購需求
[00:01:05.220 - 00:01:09.220] RQ就是買家主動將採購需求
[00:01:09.220 - 00:01:11.220] 公開在中國製造網上
[00:01:11.220 - 00:01:13.220] 允許多家工商來主動爆架
[00:01:13.220 - 00:01:18.220] 如果說要找RQ可以在右上角
[00:01:18.220 - 00:01:23.220] 業頭位置點擊Full Fire Search for Simple Press
[00:01:23.220 - 00:01:25.220] 就可以進入到對應的作品
[00:01:25.220 - 00:01:27.220] 也可以從後台的商機
[00:01:27.220 - 00:01:29.220] 收作採購需求中進入
[00:01:29.220 - 00:01:33.220] 平台還會根據買家發布的RQ標籍
[00:01:33.220 - 00:01:37.220] 來品配採購需求給到最好的高級工商
[00:01:37.220 - 00:01:39.220] 如果我們有被推送了
[00:01:39.220 - 00:01:41.220] 就可以在後台的商機
[00:01:41.220 - 00:01:44.220] 會爆架就差點裡面去查看到
[00:01:44.220 - 00:01:48.500] 大家在做採購需求頻道
[00:01:48.500 - 00:01:50.500] 也可以去通過關鍵子來進行作所
[00:01:50.500 - 00:01:54.500] 因為買家的作企關都是並樣的
[00:01:54.500 - 00:01:56.500] 所以大家可以多去嘗試
[00:01:56.500 - 00:01:58.500] 用不同的資料來進行作所
[00:01:58.500 - 00:02:02.500] 同時也是支持實施選買家的國家
[00:02:02.500 - 00:02:04.500] 是否帶了需求的負建
[00:02:04.500 - 00:02:06.500] 現在平台上的大買家的採購需求
[00:02:06.500 - 00:02:08.500] 也會一起放置在這裡
[00:02:08.500 - 00:02:12.500] 如果看到標實在著RQmence的這個運責標實
[00:02:12.500 - 00:02:14.500] 可以重點的關注一下
[00:02:14.500 - 00:02:21.970] 如果大家發現與產品相關的RQ採購需求之後
[00:02:21.970 - 00:02:22.970] 就可以點擊他的標題
[00:02:22.970 - 00:02:25.970] 就要提供到想請頁面去取了解一下
[00:02:25.970 - 00:02:29.970] 我們可以查看到買家的採購需求採購數量
[00:02:29.970 - 00:02:31.970] 以及支付條款等等
[00:02:31.970 - 00:02:34.970] 也期限一下大家要注意RQ
[00:02:34.970 - 00:02:35.970] 爆架的有效期
[00:02:35.970 - 00:02:38.970] 有時候我們可能以下的司法立刻爆架
[00:02:38.970 - 00:02:41.970] 比如說要和工廠去核實在情況等等
[00:02:41.970 - 00:02:44.970] 我們一定要在有效期內去進行爆架
[00:02:44.970 - 00:02:46.970] 過了侵就沒有辦法爆架
[00:02:46.970 - 00:02:49.970] 同時也要注意爆架
[00:02:49.970 - 00:02:53.970] 我們一定要相關否則會受到爆架承霸進去爆架
[00:02:54.970 - 00:02:57.970] 我們可以點擊Fire Business in full
[00:02:57.970 - 00:02:59.970] 來瞭解買家的基本信息
[00:02:59.970 - 00:03:02.970] 買家進行48小時做出的關鍵值
[00:03:02.970 - 00:03:04.970] 比如我們可以拿
[00:03:04.970 - 00:03:07.970] 他的公司名稱或者是買家信名
[00:03:07.970 - 00:03:10.970] 來搜尋它買家的信息
[00:03:11.970 - 00:03:14.970] 那在爆架前是看不到買家有相的
[00:03:14.970 - 00:03:18.970] 就爆架之後並且符合爆架講明機制
[00:03:18.970 - 00:03:20.970] 它可以查看它的油箱
[00:03:20.970 - 00:03:22.970] 那爆架讲一个内容呢
[00:03:22.970 - 00:03:23.970] 就是购民商心
[00:03:23.970 - 00:03:26.970] 必须要在一星几一上
[00:03:26.970 - 00:03:29.970] 并且在买家发布Rp448小时
[00:03:29.970 - 00:03:31.970] 以内取行几爆架
[00:03:31.970 - 00:03:33.470] 爆架成功之后呢
[00:03:33.470 - 00:03:35.970] 就可以看到买家的油箱必止
[00:03:35.970 - 00:03:38.970] 好的大家在爆玩家之后呢
[00:03:38.970 - 00:03:40.970] 可以在商息管理爆架
[00:03:40.970 - 00:03:42.970] 这个菜单当中去查看到
[00:03:42.970 - 00:03:44.970] 如果符合讲一个条件
[00:03:44.970 - 00:03:46.970] 可以看一下下方的结土
[00:03:46.970 - 00:03:49.970] 我们在爆架列表也可以直接看到
[00:03:49.970 - 00:03:50.970] 买家油箱
[00:03:50.970 - 00:03:52.970] 点击进到爆架想停业
[00:03:52.970 - 00:03:55.970] 在最上方也能看到买家油箱
[00:03:56.970 - 00:03:58.970] 爆架成现方面呢
[00:03:58.970 - 00:04:00.970] 每家公司的主张户
[00:04:00.970 - 00:04:02.970] 以及有循盘管理全现的主张户
[00:04:02.970 - 00:04:04.970] 都是可以爆炸的
[00:04:04.970 - 00:04:05.970] 先到先得
[00:04:05.970 - 00:04:07.970] 那一家公司所有照顾
[00:04:07.970 - 00:04:08.970] 一天加起来
[00:04:08.970 - 00:04:10.970] 最多可以提供石炒爆架
[00:04:10.970 - 00:04:12.970] 那一条Rp2就能做了
[00:04:12.970 - 00:04:14.970] 支持石家公司商爆架
[00:04:14.970 - 00:04:17.970] 所以有爆架全现的照顾
[00:04:17.970 - 00:04:18.970] 一定要提使关注一下
[00:04:18.970 - 00:04:20.970] 最近的Rp9
[00:04:20.970 - 00:04:22.970] 幸快爆架想在先机
[00:04:23.970 - 00:04:25.970] 这个是Rp9
[00:04:25.970 - 00:04:26.970] 才有需求
[00:04:26.970 - 00:04:27.970] 第二个工具呢
[00:04:27.970 - 00:04:29.970] 就是产品图策
[00:04:29.970 - 00:04:33.250] 首先我们先来看一下
[00:04:33.250 - 00:04:34.250] 怎么去上传
[00:04:34.250 - 00:04:35.250] 上传呢
[00:04:35.250 - 00:04:39.250] 有两种方式在健身成以架本地上传
[00:04:39.250 - 00:04:41.250] 加起来最多可以有10个
[00:04:41.250 - 00:04:43.250] 那剪机图策又出的更多
[00:04:43.250 - 00:04:45.250] 我们可以去下载
[00:04:45.250 - 00:04:48.250] 以及通过有件去进行分享
[00:04:48.250 - 00:04:49.250] 先来看一下
[00:04:49.250 - 00:04:51.250] 再现生成
[00:04:51.250 - 00:04:52.250] 我们可以去设置
[00:04:52.250 - 00:04:54.250] 满家家的前线
[00:04:54.250 - 00:04:56.250] 也可以去自经义设置
[00:04:56.250 - 00:04:57.250] 除车中需要包含的
[00:04:57.250 - 00:04:59.250] 产品基本信息
[00:04:59.250 - 00:05:01.250] 在包含产品的位置
[00:05:01.250 - 00:05:03.250] 去选择千家产品集策
[00:05:03.250 - 00:05:06.250] 最多可以千家50条产品每一个图策
[00:05:06.250 - 00:05:09.250] 再建设设的图策包含了产品当中
[00:05:09.250 - 00:05:11.250] 如果产品被下架
[00:05:11.250 - 00:05:12.250] 或者是山厨
[00:05:12.250 - 00:05:14.250] 那图策里面呢
[00:05:14.250 - 00:05:16.250] 产品信息也是统部山厨了的
[00:05:16.250 - 00:05:17.250] 如果在后台
[00:05:17.250 - 00:05:18.250] 修改过产品信息
[00:05:18.250 - 00:05:22.250] 那图策里的信息也是会积动统部的
[00:05:23.250 - 00:05:25.250] 本地上传的图策
[00:05:25.250 - 00:05:26.250] 一样也是可以去下载
[00:05:26.250 - 00:05:28.250] 去设置这种下载前线
[00:05:28.250 - 00:05:30.250] 最多可以上传四个
[00:05:30.250 - 00:05:32.250] 支持PDR格式
[00:05:32.250 - 00:05:34.250] 每个大小不超过五兆
[00:05:34.250 - 00:05:36.250] 我们可以给图策去上传
[00:05:36.250 - 00:05:38.250] 自经义的风面
[00:05:38.250 - 00:05:40.250] 可以设置几年的标签
[00:05:40.250 - 00:05:44.250] 来让买家了解到图策的内容是什么方面的
[00:05:46.250 - 00:05:48.250] 那这个好的图策在前台
[00:05:48.250 - 00:05:50.250] 买家在哪里去看到呢
[00:05:50.250 - 00:05:53.250] 首先在展示听的这个手艺
[00:05:53.250 - 00:05:56.250] 可以在图策的菜单兰中可以去看到
[00:05:56.250 - 00:05:59.250] 在进到产品想起的当中
[00:05:59.250 - 00:06:02.250] 它也可以在每一个图策当中
[00:06:02.250 - 00:06:04.250] 包含的产品想起业艺面
[00:06:04.250 - 00:06:06.250] 看到图策的TELLO
[00:06:06.250 - 00:06:07.250] 下载的图标
[00:06:07.250 - 00:06:10.250] 所以说展示的位置还是比较多的
[00:06:10.250 - 00:06:14.250] 模特儿方便买家看到更多的图策下载入口
[00:06:14.250 - 00:06:18.250] 我们叫去进行的创建更多的图策
[00:06:18.250 - 00:06:21.250] 比你在图策当中去包含更多的产品
[00:06:21.250 - 00:06:25.590] 好如果买家下载过我们的图策
[00:06:25.590 - 00:06:29.590] 那在产品图策这个对列下有一个下载广的菜单
[00:06:29.590 - 00:06:33.590] 这里我们可以看到买家的下载图策名戏
[00:06:33.590 - 00:06:36.590] 比如说买家的姓名有香
[00:06:36.590 - 00:06:39.590] 国家地区以及下载了哪些图策
