# 3. 开发买家实用工具-站外篇 

language=zh
language_probability=1.000
model=tiny

[00:00:04.140 - 00:00:08.300] 大家好 欢迎大家来到MIC商家请接班
[00:00:08.300 - 00:00:12.020] 还是开发买家使用工具这一门客程
[00:00:12.020 - 00:00:14.380] 在这个小节当中
[00:00:14.380 - 00:00:16.500] 将带大家继续了解
[00:00:16.500 - 00:00:19.180] 在中国制造网外部的一些工具
[00:00:19.180 - 00:00:22.300] 来帮助大家更好的进行买家开发
[00:00:22.300 - 00:00:26.500] 首先我们来看一下搜索引擎这一款工具
[00:00:27.500 - 00:00:33.060] 通过搜索引擎来开发买家不同于中国制造网的FQ和训判
[00:00:33.060 - 00:00:37.060] 搜出来的客户不一定是现在有需求的
[00:00:37.060 - 00:00:42.060] 所以我们在做这种主动挖掘更需要有耐心和意力
[00:00:42.060 - 00:00:44.440] 建议大家可以每个工作日
[00:00:44.440 - 00:00:48.060] 鼓励一个时间来搜索买家发开发信
[00:00:48.060 - 00:00:50.560] 首先来讲一讲搜索引擎
[00:00:50.560 - 00:00:54.060] 因为网络安全的问题很多国外的搜索引擎
[00:00:54.060 - 00:00:56.060] 在国内是无法使用的
[00:00:56.060 - 00:01:00.060] 如果大家想在国内用谷歌就需要进行翻墙
[00:01:00.060 - 00:01:04.060] 如果没有国外的代理服务器
[00:01:04.060 - 00:01:08.060] 这边也可以列出了几个国内能用的搜索引擎
[00:01:08.060 - 00:01:10.060] 大家可以去暗需取用
[00:01:10.060 - 00:01:17.060] 如果是英语系的国家开发就可以去使用BIN国际本来进行搜索
[00:01:17.060 - 00:01:20.060] 俄罗斯和东陆国家就可以用Endex
[00:01:20.060 - 00:01:23.060] 它是俄罗斯第一大搜索引擎
[00:01:23.060 - 00:01:25.060] 所以功能还是非常强大的
[00:01:25.060 - 00:01:28.060] 框冷是来自法国的搜索引擎
[00:01:28.060 - 00:01:32.060] 搜索之后可以得到4个分类的搜索结果
[00:01:32.060 - 00:01:37.060] 分别是新闻为几百颗设加网络以及在现在购务
[00:01:37.060 - 00:01:42.060] 8C使用最多的搜索引擎是谷歌、压户和UL
[00:01:42.060 - 00:01:46.060] 在国内都是没有办法直接去进行访问的
[00:01:46.060 - 00:01:53.060] 如果想去开发南美的客户可以去选择用Tara这个网站作为期待
[00:01:53.060 - 00:02:01.730] 我们想去开发特定的小与种市场也可以去使用当地习惯用的搜索引擎
[00:02:01.730 - 00:02:07.730] 这边也给大家列出来了西予不与西国家去承用的一些搜索引擎
[00:02:07.730 - 00:02:10.730] 大家可以去做参考
[00:02:10.730 - 00:02:19.730] 多是长在前面也提到我用Endex和Ramla本土使用率比较高的搜索引擎都可以进入
[00:02:19.730 - 00:02:23.730] 还有一颗是德国的企业明路网站
[00:02:23.730 - 00:02:34.730] 大家可以看到有一个MKTOL的Manus在安行业化分的有满家的电话和官网绿金在国内有时候打开国外的网址
[00:02:34.730 - 00:02:40.390] 可能会有点慢大家稍微有点耐心
[00:02:40.390 - 00:02:47.390] 下面再来继续的举一个例子看看怎么去用缩引擎来开发小与种的市场满家
[00:02:47.390 - 00:02:50.390] 比如说我们是做压客号材的工艺商
[00:02:50.390 - 00:02:53.390] 我想要去开发隔离市场
[00:02:53.390 - 00:02:56.390] 那鸭客陈所起众一类科步的群体
[00:02:56.390 - 00:03:02.390] 我们可以先用谷格翻译来搜索鸭客陈所对应得鸭与翻译
[00:03:02.390 - 00:03:06.390] 然后将翻译结果输入到Endex上
[00:03:06.390 - 00:03:08.390] 就会出来很多的结果
[00:03:08.390 - 00:03:12.390] 我们可以主条点击进去来进行查看
[00:03:12.390 - 00:03:15.390] 我们点击其中一条缩结果进去查看
[00:03:15.390 - 00:03:18.390] 发现是一家鸭客陈所
[00:03:18.390 - 00:03:20.390] 但是不认识游文怎么办呢
[00:03:20.390 - 00:03:24.390] 进行大家可以去下转谷歌的苦歌的苦云亂气
[00:03:24.390 - 00:03:27.390] 一个是他比较干净插件少
[00:03:27.390 - 00:03:30.390] 第二个是他是有自动的翻译功能的
[00:03:30.390 - 00:03:32.390] 比如说这个额语的网页
[00:03:32.390 - 00:03:35.390] 我点了右上角的自动翻译之后就可以自动的
[00:03:35.390 - 00:03:37.390] 将额语翻译陈周文
[00:03:37.390 - 00:03:40.390] 大致的内容我们就可以了解到了
[00:03:40.390 - 00:03:42.390] 并且我们在他的官网上也可以找到
[00:03:42.390 - 00:03:46.390] 买家的游箱电话、Facebook、Gamjohn
[00:03:46.390 - 00:03:48.390] 信息等等
[00:03:48.390 - 00:03:52.390] 有的时候我们去用这个缩语引擎
[00:03:52.390 - 00:03:53.390] 搜出来的信息
[00:03:53.390 - 00:03:55.390] 还挺杂的挺乱的
[00:03:55.390 - 00:03:58.390] 需要去花费比较多的时间去进行山选
[00:03:58.390 - 00:04:02.390] 这里还有一个可以帮助大家快速找买家的方法
[00:04:02.390 - 00:04:05.390] 如果说我们在信用的客户当中
[00:04:05.390 - 00:04:07.390] 有一些是有自己的官网的
[00:04:07.390 - 00:04:10.390] 我们可以用信用的这个官网
[00:04:10.390 - 00:04:14.390] 在宋作引擎去快速查找和他类似的同行网站
[00:04:14.390 - 00:04:18.390] 首先介绍给大家的是这个可以查
[00:04:18.390 - 00:04:20.390] 相似网站的宋作引擎
[00:04:20.390 - 00:04:23.390] 如果我们已经找过了一个游质买家的网站
[00:04:23.390 - 00:04:27.390] 可以用这个相似的宋引擎来搜索同行网站
[00:04:27.390 - 00:04:34.210] 比如说我们输入了一家这个网纸
[00:04:34.210 - 00:04:37.210] 搜出来十几家类似的网站
[00:04:37.210 - 00:04:40.210] 我们就可以快速的去找到同类型的买家
[00:04:40.210 - 00:04:42.210] 进行开发了
[00:04:42.210 - 00:04:46.210] 不过这个搜索引擎对于非音约与演的站点
[00:04:46.210 - 00:04:48.210] 支持是比较差的
[00:04:48.210 - 00:04:50.210] 有的时候搜不到结果
[00:04:50.210 - 00:04:54.210] 但因为网站的话是游戏推荐去使用这个功能的
[00:04:54.210 - 00:04:58.210] 第二种去查相似买家的方法
[00:04:58.210 - 00:05:01.210] 就可以用谷格的相似搜索指令
[00:05:01.210 - 00:05:03.210] 一个是务力切的指令
[00:05:03.210 - 00:05:07.210] 告诉谷格搜索和这个网站相关的网站
[00:05:07.210 - 00:05:09.210] 另一个是Cemilar指令
[00:05:09.210 - 00:05:14.060] 就是搜索类似网站
[00:05:14.060 - 00:05:18.060] 假如我们已经知道了一个买家的网纸
[00:05:18.060 - 00:05:21.060] 就可以去使用了内侵指令来寻找
[00:05:21.060 - 00:05:24.060] 与该网网相关的网站
[00:05:24.060 - 00:05:27.060] 我们可以一起找到13家客户
[00:05:27.060 - 00:05:32.060] 都是很内家公司差不多的家具网站地址
[00:05:32.060 - 00:05:36.060] 我们可以用Cemilar来加官网来进行搜索
[00:05:36.060 - 00:05:39.060] 比如说我说这个官网地址
[00:05:39.060 - 00:05:43.060] 就可以获得与该官网类似的一系列更多的网站
[00:05:43.060 - 00:05:49.500] 那运用搜索引擎的指令也可以去提升我们搜索的准确信
[00:05:49.500 - 00:05:50.500] 引及效率
[00:05:50.500 - 00:05:53.500] 这里也会推荐大家去使用引号
[00:05:53.500 - 00:05:56.500] 剪号以及赛这三个指令
[00:05:56.500 - 00:06:00.500] 其中引号和剪号指令只有Google百度可以用
[00:06:00.500 - 00:06:04.500] 引号指令就代表完全精准的匹配搜索
[00:06:04.500 - 00:06:05.500] 而不是魔护搜索
[00:06:05.500 - 00:06:09.500] 比如说我说L1D Stranglight Importer
[00:06:09.500 - 00:06:16.500] 搜索出来的就是一名中完全匹配有这几个单词的搜索死的网页
[00:06:16.500 - 00:06:18.500] 那剪号指令呢
[00:06:18.500 - 00:06:20.500] 如果我们想排除掉一些
[00:06:20.500 - 00:06:23.500] 我们不想要的一些关键词比如说
[00:06:23.500 - 00:06:26.500] 韩拆那B2B平台这些网页
[00:06:26.500 - 00:06:28.500] 或者百科类的网页
[00:06:28.500 - 00:06:31.500] 我们就可以用剪号将寄一些关键死提除
[00:06:31.500 - 00:06:35.500] 比如是搜索LED Stranglight Importer
[00:06:35.500 - 00:06:40.500] 但是加上剪去B2B剪去Market Place剪去Li
[00:06:40.500 - 00:06:43.500] 剪去什么拆拿等等
[00:06:43.500 - 00:06:44.500] 这个意思就是
[00:06:44.500 - 00:06:49.500] 我们在搜索L1D路蹈进口上的时候去去除掉
[00:06:49.500 - 00:06:53.500] 博客拉,危机百科、平台等等
[00:06:53.500 - 00:06:54.500] 这些指令
[00:06:54.500 - 00:06:56.500] 谷歌和百路都是可以用的
[00:06:56.500 - 00:06:59.500] 在毕竟上是暂时不支持的
[00:07:00.500 - 00:07:02.500] 在网页指令
[00:07:02.500 - 00:07:03.500] 就是告诉搜索引擎
[00:07:03.500 - 00:07:05.500] 指搜索这个网站的一面
[00:07:05.500 - 00:07:08.500] 可以和关键死搭配起来用
[00:07:08.500 - 00:07:12.500] 比如以前的那个俄罗斯整搜网站为立
[00:07:12.500 - 00:07:14.500] 我想搜索在这个网站里面
[00:07:14.500 - 00:07:17.500] 还有没有关键死的网纸
[00:07:17.500 - 00:07:22.500] 我们就能使用Side,Milhar,加上他的一个网纸信息
[00:07:22.500 - 00:07:25.500] 在加上没有单级单词
[00:07:25.500 - 00:07:28.500] 就可以去搜索在这个网站中
[00:07:28.500 - 00:07:29.500] 还有没有的网页了
[00:07:29.500 - 00:07:33.500] 可以看出来符合条件的网页就只有一个
[00:07:33.500 - 00:07:36.500] 就顾律掉了非常多无关的信心
[00:07:36.500 - 00:07:39.500] 点开就是网站、抗态的页面
[00:07:39.500 - 00:07:42.500] 还是具有这个有相信息的
[00:07:42.500 - 00:07:46.500] 我们在用Side,搜索来目标客户之后
[00:07:46.500 - 00:07:48.500] 下一步就是要去搜定
[00:07:48.500 - 00:07:51.500] 直接负责採购的拘定人
[00:07:51.500 - 00:07:53.500] 就要去建立联系
[00:07:53.500 - 00:07:57.500] 一般的话我们可以去通过Side,社交工具
[00:07:57.500 - 00:08:01.500] 来与这个买家进行进一步的一个联系
[00:08:01.500 - 00:08:07.380] 我们常用的社交软件就包含
[00:08:07.380 - 00:08:10.380] 像Facebook,Instagram,YouTube等等
[00:08:10.380 - 00:08:12.380] 我们外贸我常用的这些集视了
[00:08:12.380 - 00:08:15.380] 听工具的像Side,Borskip
[00:08:15.380 - 00:08:18.380] Side,YouTube,Side都是买家用的
[00:08:18.380 - 00:08:20.380] 非常平凡的社交工具
[00:08:20.380 - 00:08:24.380] 像一些小种市场,比如说都是场
[00:08:24.380 - 00:08:27.380] 也是有非常本土化的一些社交平台的
[00:08:27.380 - 00:08:29.380] 比如说VK等等
[00:08:29.380 - 00:08:32.380] 那主工都是朋友的继续进行下载
[00:08:32.380 - 00:08:35.380] 在东南亚日本会主要用Line Talk
[00:08:35.380 - 00:08:37.380] 在韩国是比较流行的
[00:08:37.380 - 00:08:40.380] 我们在根进特定上的科户时
[00:08:40.380 - 00:08:43.380] 可以问对方来所要社交账号
[00:08:45.380 - 00:08:49.380] 先来先看一下用Facebook如何去找联系人
[00:08:49.380 - 00:08:53.380] 比如我们之前在Intex这个俄罗斯的搜索引擎上
[00:08:53.380 - 00:08:55.380] 速到的亚科整所为例
[00:08:55.380 - 00:08:58.380] 我们在Facebook上去输入公司名称
[00:08:58.380 - 00:09:02.380] 找到他在Facebook上的公司公众号
[00:09:02.380 - 00:09:05.380] 我们就可以进行关注点赞以及评论
[00:09:05.380 - 00:09:08.380] 也可以发送留言也可以发铁去爱和他
[00:09:08.380 - 00:09:11.380] 那如果对方对我们的产品是有兴趣的
[00:09:11.380 - 00:09:13.380] 或者说有需求的
[00:09:13.380 - 00:09:17.380] 我们就会有机会去获得跟他进一步的一个联系
[00:09:17.380 - 00:09:21.380] 在找联系人这一块我们还可以去推荐使用Line
[00:09:21.380 - 00:09:25.380] 那Line在国内也是可以正常使用的
[00:09:25.380 - 00:09:29.380] 有一个案例我们已经知道了买家的游箱了
[00:09:29.380 - 00:09:33.380] 但这个游箱其实不一定就是采购角色人的游箱
[00:09:33.380 - 00:09:35.380] 怎么去用Line去找到呢
[00:09:35.380 - 00:09:39.380] 首先我们也是在Line上去输入公司名称
[00:09:39.380 - 00:09:42.380] 那就会出现共职于这家公司的人
[00:09:42.380 - 00:09:44.380] 我们可以看到职位
[00:09:44.380 - 00:09:47.380] 但是没有办法直接跟他去建立联系
[00:09:47.380 - 00:09:49.380] 只能看到Line会员四个字
[00:09:49.380 - 00:09:51.380] 那是因为系统判断
[00:09:51.380 - 00:09:53.380] 我们跟这个人是没有交级的
[00:09:53.380 - 00:09:56.380] 那处于对用户信息的保护
[00:09:56.380 - 00:09:59.380] 就没有直接显示显示的联系信息
[00:10:00.380 - 00:10:03.380] 那坚与此我们可以先去輸入引擎上
[00:10:03.380 - 00:10:06.380] 用公司名称加班尔来进行搜索
[00:10:06.380 - 00:10:09.380] 看能不能收到班尔的信名
[00:10:09.380 - 00:10:12.380] 然后再用信名到Line移民去进行搜索
[00:10:12.380 - 00:10:16.380] 那我们如果用公司名称班尔去搜索之后
[00:10:16.380 - 00:10:18.380] 来会发现Line上有信息
[00:10:18.380 - 00:10:20.380] 那点击进入Line之后呢
[00:10:20.380 - 00:10:23.380] 发现这是这家公司的一个采购员的账户
[00:10:23.380 - 00:10:25.380] 我们就可以加他为好友
[00:10:25.380 - 00:10:27.380] 另外在他里面账户右边
[00:10:27.380 - 00:10:30.380] 还可以看到看过北义的会员
[00:10:30.380 - 00:10:32.380] 还看了谁的主义
[00:10:32.380 - 00:10:34.380] 那这样子就能找到更多的图行
[00:10:34.380 - 00:10:37.380] 也有可能是这家公司的采购
[00:10:37.380 - 00:10:40.380] 那么我们就能继续这样子开发下去
[00:10:41.380 - 00:10:43.380] 但其实也需要注意一下
[00:10:43.380 - 00:10:45.380] 我们最好不要直巴林站号
[00:10:45.380 - 00:10:48.380] 单纯的去当作是找买家的工具
[00:10:48.380 - 00:10:53.380] 其他建议大家可以平时多去运引管理自己的林站号
[00:10:53.380 - 00:10:55.380] 加一些好友做的互动
[00:10:55.380 - 00:10:57.380] 去建立自己的一个网站建设
[00:10:57.380 - 00:11:00.380] 这样才可以去看到更多人的信息
[00:11:00.380 - 00:11:05.380] 去跟更多的买家来建立更深入的一个交流
[00:11:06.380 - 00:11:08.380] 好 最后简单介绍一下VK
[00:11:08.380 - 00:11:12.380] 这个宣布市场是战友率比较高的一个是叫平台
[00:11:12.380 - 00:11:15.380] 那在比我们之前所有的那一家压课诊所
[00:11:15.380 - 00:11:18.380] 用诊所的名称去这个上面搜索
[00:11:18.380 - 00:11:20.380] 我们可以找到相关的人
[00:11:20.380 - 00:11:24.380] 也可以去加入一些压课诊所组织的社群
[00:11:24.380 - 00:11:26.380] 来开发这一类型的买家
[00:11:26.380 - 00:11:30.380] 好 我们在进入到压课相关的社群之后
[00:11:30.380 - 00:11:32.380] 可以加里面的组园为好友
[00:11:32.380 - 00:11:35.380] 来定期的进行互动点赞 评论
[00:11:35.380 - 00:11:40.490] 那在找买家游箱方面呢
[00:11:40.490 - 00:11:42.490] 也有一个比较好的方法
[00:11:42.490 - 00:11:45.490] 就是游箱绸拆侧工具
[00:11:45.490 - 00:11:49.490] 这个游箱的这个在线的游箱绸工具呢
[00:11:49.490 - 00:11:52.490] 是需要翻详去进行使用的
[00:11:52.490 - 00:11:54.490] First Name是名
[00:11:54.490 - 00:11:55.490] Last Name是信
[00:11:55.490 - 00:11:57.490] 那我们书入买家的信合名
[00:11:57.490 - 00:11:59.490] 以及游箱玉名之后
[00:11:59.490 - 00:12:01.490] 就可以给到查寻结果了
[00:12:01.490 - 00:12:04.130] 比如说左侧书入一个买家的级
[00:12:04.130 - 00:12:08.130] 有箱在书入对方的信名和企业官网的玉名
[00:12:08.130 - 00:12:12.130] 那一种课可以得到一系列的这个座结果
[00:12:12.130 - 00:12:15.130] 一共是34个可能的游箱
[00:12:15.130 - 00:12:19.130] 都是根据信名来组和其来的可能的游箱
[00:12:19.130 - 00:12:23.130] 我们可以把得的这些游箱书入到游箱
[00:12:23.130 - 00:12:25.130] 检测工具里面去查看
[00:12:25.130 - 00:12:28.130] 来看哪一个游箱是可以使用的
[00:12:28.130 - 00:12:29.130] 如果发现了游箱
[00:12:29.130 - 00:12:33.130] 那也可以去进行开发性的一个发送了
[00:12:33.130 - 00:12:35.130] 那如果不能翻强的话
[00:12:35.130 - 00:12:37.130] 大家也可以下载这个
[00:12:37.130 - 00:12:39.130] 一个需要版本的游箱继工具
[00:12:39.130 - 00:12:41.130] 用法非常简单
[00:12:41.130 - 00:12:44.130] 在第一行的First Name里面书入名
[00:12:44.130 - 00:12:46.130] Last Name里面书入信
[00:12:46.130 - 00:12:48.130] 然后再去书入游箱的玉名
[00:12:48.130 - 00:12:51.130] 下方就会给出可的游箱
[00:12:51.130 - 00:12:53.130] 一共有35种组合
[00:12:53.130 - 00:12:58.130] 之后我们可以再用游箱检测工具来去进行檢驗
[00:12:58.130 - 00:13:04.300] 最后再介绍一下外部工具也是非常使用的
[00:13:04.300 - 00:13:09.300] HWISG工具也是一种查照买家联系方式的图性
[00:13:09.300 - 00:13:13.300] HWISG就是用来查取一个网站玉名
[00:13:13.300 - 00:13:15.300] 是否已经被注册
[00:13:15.300 - 00:13:16.300] 如果已经注册了
[00:13:16.300 - 00:13:19.300] 就可以查取到玉名注册的信息
[00:13:19.300 - 00:13:22.300] 所以我们在用这个工具查取的时候
[00:13:22.300 - 00:13:25.300] 注意一下不要把买家的光望地址
[00:13:25.300 - 00:13:28.300] 输入到叶面正中间的大方内
[00:13:28.300 - 00:13:31.300] 而是书入到右上角小框内
[00:13:31.300 - 00:13:35.300] 这样我们就可以查看到这个网站的注册时间
[00:13:35.300 - 00:13:38.300] 所在地址以及电话有相等信息
[00:13:38.300 - 00:13:41.300] 这个地方大家也是注意一下
[00:13:41.300 - 00:13:44.300] 不一定是查到了最清楚的那个材购人
[00:13:44.300 - 00:13:46.300] 或者CU的联系方式
[00:13:46.300 - 00:13:50.300] 因为这里展现的也可能是网站服务的信息商
[00:13:50.300 - 00:13:53.300] 这边大家可以另外再注意一下
[00:13:53.300 - 00:13:57.000] 好 那集合上述讲到的方法呢
[00:13:57.000 - 00:14:00.000] 大家可以进行针对行的一个开发
[00:14:00.000 - 00:14:02.000] 利用是要平台去加买家的时候呢
[00:14:02.000 - 00:14:06.000] 注意不要乱家人这样子的容易被关站好
