# 3. 金鹰快车

language=zh
language_probability=1.000
model=tiny

[00:00:00.660 - 00:00:06.940] 大家好,今天將為大家帶來中國製造網,數字影銷服務介紹。
[00:00:07.940 - 00:00:16.660] 本次課程,將為大家介紹金快車服務,包括服務優勢,設置技巧等內容。
[00:00:17.660 - 00:00:27.020] 金快車,是中國製造網更具供應商所屬行業,只能推薦高頻制的新級買家級展會買家。
[00:00:27.580 - 00:00:36.020] 您可以根據360度買家畫項,結合銀銷推廣需求,選擇目標買家金行金準廣告推送。
[00:00:37.020 - 00:00:39.660] 金快車服務具有四項優勢。
[00:00:40.300 - 00:00:47.220] 第一,金快車為您開放中國製造網平台海量新級買家,以及雲展買家。
[00:00:47.620 - 00:00:54.940] 您可以針對性選擇金行主動銀銷,買家新級月高,代表綜合實力越強。
[00:00:55.660 - 00:01:05.540] 第二,美洲平台將會結合您的主營產品,為您金準品配優質買家,幫助供應商大大提升脫客效率。
[00:01:06.420 - 00:01:14.020] 第三,金快車為您提供360度買家畫項,方便您看清買家真面目。
[00:01:14.740 - 00:01:22.380] 第四,金快車每週定品發車,幫助供應商及時處打買家提升銀銷轉換。
[00:01:24.780 - 00:01:33.220] 供應商登錄或車奧肥斯,在銀銷頻道下的數據銷版塊,可以訪問金快車並進行強位。
[00:01:35.550 - 00:01:38.790] 開啟金快車銀銷可以分為四部。
[00:01:39.350 - 00:01:50.230] 第一,選定銀銷塊車,第二部,搶購物標行為,第三部,設定銀銷內容,第四部,查看搶位記錄。
[00:01:52.070 - 00:02:03.310] 銀銷第一部,選定銀銷塊車,在金快車頁面,您可以查看銀銷塊車搶信信,挑選印象塊車進行搶位。
[00:02:03.830 - 00:02:11.710] 一列快車代表一位買家,快車號代表買家內行,新級買家或者銀債買家。
[00:02:12.310 - 00:02:20.910] 您可以進一步查看到買家業務內行,採購平次,連採購額等信息,瞭解買家採購實力。
[00:02:21.310 - 00:02:24.750] 建議您優先選擇新級高的買家發車。
[00:02:25.310 - 00:02:33.550] 每週一早上9點,平台將為您推薦最新的100個金銀塊車買家信息,供您主動銀銷。
[00:02:34.550 - 00:02:44.710] 建議您每週一,準時刷新快車數據,選擇買家主動發車,發車數量越多,商機轉化概率也將越高。
[00:02:44.710 - 00:02:58.180] 金快車銀銷第二步搶購目標行為。一列快車可提供6個行為,每個行為代表銀銷有件中的產品排施。
[00:02:58.380 - 00:03:11.780] 針對同一列車,零最多可搶戰兩個行為,即銀銷2條產品。當您選定快車後,從勝於行為中選擇合適的位置點擊立即搶為。
[00:03:11.780 - 00:03:36.210] 每列快車6個行為,暴滿幾回發車。銀銷第三步,設定銀銷內容。中國製造網質使您,針對每個五秒買家推薦一條產品信息,以及天家留言信息。推薦的產品和留言,將會以銀銷有件的行為處打目標買家。
[00:03:36.210 - 00:03:46.210] 買家在銀銷有件中,可以查看到您的產品介紹。點擊產品面接,可以效您發送寻盤或在先資訊。
[00:03:46.210 - 00:04:04.210] 在選擇推薦產品,或天家留言信息時,建議您根據買家最近搜索關鍵詞,最近寻盤最近RFQ等情況,選擇相批配的產品做推薦,來更好的提升商機轉化機會。
[00:04:04.210 - 00:04:21.160] 當位置全部搶完或時間節之後,中國製造網將為您發送您銷有件給相應買家。搶位完成後,您可以通過搶位記錄,查看一搶位信息。
[00:04:21.160 - 00:04:42.950] 故隱商每週最多可選擇100趟塊車搶戰200個席位。金塊車為您提供平台海量買家數據,360度跨向參考,著您金準銀銷務標買家。這裡,我們再為大家總結下金塊車的設置記錯。
[00:04:42.950 - 00:05:02.950] 第一,建議您每週一選擇10個高興起買家主動發車提高營銷轉化概率。第二,選擇產品的時候,結合買家最近搜索關鍵詞,最近寻盤最近RFQ針對性推薦與買家品配的產品。
[00:05:02.950 - 00:05:35.480] 第三,留言部分填寫產品的核心優勢,突出賣點增加商機轉化。金塊車針對不同買家提供不同收費標準,工商可根據營銷需要針對性選擇。在陳醫保障方面,工商搶位後搶位資金將被動檢,若快車為成功發車,擴著發車之後一週內,買家沒有打開營銷有件,在搶位資金,
[00:05:35.480 - 00:05:49.620] 將退環至工一商的資金賬戶,您可以繼續使用。如果您需要使用金塊車服務主動開啟營銷,您可以採用預充值形式進行購買。
[00:05:49.620 - 00:06:07.420] 充值路徑,登陸握車Alfreds,資金,我的賬戶,選擇立即充值。中國製造網為您提供三種充值方式,支付寶、微信支付、或銀行會款。您可以根據需要選擇充值方式。
[00:06:10.080 - 00:06:14.960] 金塊車成功發車後,您可以在線提交開票申請。
[00:06:14.960 - 00:06:22.240] 申請路徑位,登陸握車Alfreds,資產,開具發票,選擇申請開票。
[00:06:22.240 - 00:06:26.280] 請您晚上開票信稀後,提交開票申請。
[00:06:26.280 - 00:06:37.380] 以上是本資課程的所有內容,如您對金塊車服務感興趣,歡迎小馬天家起威,進行服務資訊。
[00:06:37.380 - 00:06:40.900] 本資課程到此結束,感謝觀看。
