# 4. AI速递

language=zh
language_probability=1.000
model=tiny

[00:00:00.240 - 00:00:07.240] 大家好,今天將為大家帶來中國之散網,數字零相服務介紹。
[00:00:08.240 - 00:00:15.240] 本次課程將為大家介紹AI數帝,包括服務優勢,設置技巧等內容。
[00:00:15.240 - 00:00:22.260] AI數帝,是中國之在網利用AI智能模型。
[00:00:22.260 - 00:00:28.260] 將寧選擇加強推廣的產品。智能推薦給符合條件的行業買家。
[00:00:28.260 - 00:00:34.260] 增加寧產品的報光率,助理商機開發了一種營銷方式。
[00:00:34.260 - 00:00:38.260] AI數帝服務具有以下服務優勢。
[00:00:38.260 - 00:00:47.260] 第一,買家體量大,AI數帝可針對中國製造網上全區到處為的買家資源進行主動營銷。
[00:00:47.260 - 00:00:50.260] 第二,買家活躍度高。
[00:00:50.260 - 00:00:57.260] AI數帝通過AI智能算法,幫助寧精準圈學行業的高活躍買家,
[00:00:57.260 - 00:01:08.260] 定相高效處達。第三,千人千面,通過對寧的產品分析節目標買家的分析提升買家品配的精準性。
[00:01:08.260 - 00:01:20.260] 第四,審新審慮,明指需要設定營銷目標,智能系統自動為寧完成營銷目標,操作簡單,省心又省立。
[00:01:20.260 - 00:01:29.370] 公營商登務握車奧肥斯在營銷板塊即可訪問數帝營銷AI數帝。
[00:01:29.370 - 00:01:47.340] 公營商開啟AI數帝營銷可以分為3部。第一部,確定營銷目標,第二部,設置營銷計畫,第三部,查看營銷效果。
[00:01:47.340 - 00:01:56.340] 開啟AI數帝營銷,第一部需要確認營銷目標,也就是需要對哪個行業進行營銷。
[00:01:56.340 - 00:02:04.340] 進入AI數帝首頁,工商可以查看到各行業的買家分析,及上月行業效果的參考。
[00:02:04.340 - 00:02:12.340] 我的買家營想密代表關注過寧產品的買家料,在行業買家中的戰筆。
[00:02:12.340 - 00:02:32.780] 工營商在確定營銷目標時推薦優先選擇。第一,行業訪問熱度高的行業。第二,我的買家營想密,低的行業。第三,營銷報光比直高,即產品報光量比營銷刺數的行業。
[00:02:32.780 - 00:02:37.780] AI數帝營銷第二部,設置營銷計畫。
[00:02:37.780 - 00:02:49.780] 點擊設置營銷計畫按鈕。工營商可以根據需要設定期望營銷刺數,最長輔週期,營銷開始時間,以及營銷目錄。
[00:02:49.780 - 00:02:58.780] 營銷刺數最低設定為1,4,但自營銷服務市場最短一個月,最長可營銷3個月。
[00:02:58.780 - 00:03:07.780] 工營商選擇營銷目錄時,該墨錄下需存在,省可通過,有圖且為上架狀態的產品。
[00:03:07.780 - 00:03:14.780] 在AI數帝設置營銷計畫的顏面,可勾選開啟營銷計畫自動續購服務。
[00:03:14.780 - 00:03:21.780] 勾選後,營銷計畫完成,平台將按照當前的營銷計畫自動續購。
[00:03:21.780 - 00:03:25.780] 若資金賬購於額不足,則自動續購服務中止。
[00:03:25.780 - 00:03:31.780] 如續取銷,可在設置營銷計畫顏面,關閉自動續購服務。
[00:03:31.780 - 00:03:46.110] AI數帝營銷第3部,查看營銷效果。營銷計畫設置後,在AI數帝顏面,我頂營銷板塊,可以查看營銷推廣效果。
[00:03:46.110 - 00:03:50.110] 以營銷的次數,以及營銷帶來的暴光亮。
[00:03:50.110 - 00:03:57.110] 點擊查看數據想請,可以跳轉至營銷數據大平中,查看更加詳細的推廣數據。
[00:03:57.110 - 00:04:14.930] 結合AI數帝服務特點,為您總結以下設置技巧。第一,在設置營銷計畫時,建議您用先選擇行業訪問若度高,我的買家營銷力低的行業。
[00:04:14.930 - 00:04:26.930] 以及暴光長化率高的行業進行營銷。第二,為保障獲得更高的推薦機會,建議您單個營銷計畫天家5個以上營銷目錄。
[00:04:26.930 - 00:04:36.650] 第三,為延續營銷效果,建議您開啟AI數帝自動續購服務。
[00:04:36.650 - 00:04:42.650] AI數帝服務,按營銷次數機費,次數及代表營銷的買家人數。
[00:04:42.650 - 00:05:01.650] 單次收費標準為您點三元。共營銷單次營銷次數為一千次。提交營銷計畫後,營銷推廣期間,營銷資金將被動結。當平臺完成共營銷的期望營銷次數,在服務中止,營銷費用扣除。
[00:05:01.650 - 00:05:11.650] 若平臺在共營銷預設的最長服務週期節直時,為完成目標營銷次數。平臺將按照10G營銷次數扣除資金,
[00:05:11.650 - 00:05:25.650] 其於資金將退環到共營銷的資金賬戶。主賬戶以授權的紫賬戶可以使用該項服務,且可營銷戶如相同,為授權紫賬戶只可查看。
[00:05:25.650 - 00:05:34.980] 若您需要開啟AI數帝服務,您可以採用預充值行事進行購買。
[00:05:34.980 - 00:05:45.980] 充值入境,登錄握超市資金,我的賬戶下選擇密集充值。中國製造網為您提供三種充值方式。
[00:05:45.980 - 00:06:01.450] 支付寶、微信支付、貴營行會款。您可以根據需要選擇充值方式。AI數帝營銷目標完成後,您可以再限提交開票申請。
[00:06:01.450 - 00:06:08.450] 申請錄境為登錄握超市資金,開據發票,選擇申請開票。
[00:06:08.450 - 00:06:16.690] 請名完善開票信稀後提交開票申請。以上是本資課程的所有內容。
[00:06:16.690 - 00:06:26.690] 如您對AI數帝服務感興趣,歡迎小馬天家起威,進行服務資訊。本資課程到此結束,感謝觀看。
