# 1. 免费会员操作指南

language=zh
language_probability=1.000
model=tiny

[00:00:00.050 - 00:00:05.310] 嗨大家好,歡迎大家收聽共一商免微會員操作指南的先上課程
[00:00:05.310 - 00:00:07.810] 本資課程內容分為8個部分
[00:00:07.810 - 00:00:11.010] 我們首先來瞭解一下平台注冊極登錄
[00:00:11.010 - 00:00:14.850] 我們在電腦端和手機端都可以進行注冊操作
[00:00:14.850 - 00:00:18.490] 在電腦端用流亂器打開Made Inchannel的靠
[00:00:18.490 - 00:00:21.550] 進入到手頁點擊右上角的周音FREE
[00:00:21.550 - 00:00:23.390] 即可進入到注冊顏面
[00:00:23.390 - 00:00:25.890] 我們在手機上需要下載一個
[00:00:25.890 - 00:00:28.650] 中國製造網外貿右注手的APP
[00:00:29.070 - 00:00:31.610] 您可以早馬下載或者是用應用市場
[00:00:31.610 - 00:00:34.350] 搜索中國製造網也可以進行下載
[00:00:35.150 - 00:00:37.650] 我們在注冊顏面如圖所試
[00:00:37.650 - 00:00:40.350] 根據提示自斷來進行輸入
[00:00:40.350 - 00:00:42.650] 即可申請注冊免費賬戶
[00:00:43.550 - 00:00:45.550] 後續如果您再次登錄賬號
[00:00:45.550 - 00:00:48.650] 也是需要進入到Made Inchannel到靠著手頁
[00:00:48.650 - 00:00:51.850] 點擊右上角的3印進入到登錄界面
[00:00:52.150 - 00:00:54.250] 我們有3種登錄方式
[00:00:54.250 - 00:00:55.850] 這裡要注意一下
[00:00:56.050 - 00:00:58.750] 我們再用有箱過元名登錄的時候
[00:00:58.750 - 00:01:00.750] Made是去問大小寫吧
[00:01:01.350 - 00:01:03.550] 用手機業這馬進行登錄
[00:01:03.550 - 00:01:07.050] 需要我們提前將安全手機設置為登錄手機
[00:01:07.750 - 00:01:09.250] 用早馬進行登錄
[00:01:09.250 - 00:01:12.050] 需要我們打開手機上的供應商APP
[00:01:13.050 - 00:01:14.850] 如果您不曉忘記了Made
[00:01:14.850 - 00:01:17.150] 可以在登錄頁面點擊忘記Made
[00:01:17.150 - 00:01:20.650] 通過有箱或安全手機進行Made重製
[00:01:21.950 - 00:01:24.850] 免費會員後台也就是Wet's Office手頁
[00:01:24.850 - 00:01:26.050] 進行換新升級
[00:01:26.450 - 00:01:29.350] 根據用古程商體系重新進行了設計不均內容
[00:01:29.550 - 00:01:31.750] 幫助您跟高校的使用平台運推廣
[00:01:32.250 - 00:01:33.850] 功能模擴方向包括了
[00:01:33.950 - 00:01:35.350] 轉擊分快節入口
[00:01:35.350 - 00:01:36.550] 約服我等等
[00:01:36.650 - 00:01:39.550] 幫助我們去提高賬戶的管理能力
[00:01:39.950 - 00:01:42.250] 外貿小工具代表事項平台運營
[00:01:42.350 - 00:01:45.050] 幫助我們提高賬號的操作運營能力
[00:01:45.550 - 00:01:47.850] 行業分析任門課程和最新資訊
[00:01:48.050 - 00:01:50.750] 幫助我們提升業務跟單外貿能力
[00:01:52.050 - 00:01:54.250] 後台的手頁展示效果如圖
[00:01:54.250 - 00:01:58.250] 其中最重要的改進部分就是中間的平台運營
[00:01:58.750 - 00:02:01.250] 這裡也是用戶成賬的一個方向
[00:02:01.750 - 00:02:04.750] 我們可以根據免費會員賬號的大建週期
[00:02:04.750 - 00:02:07.050] 來去完成相應任務
[00:02:07.050 - 00:02:09.250] 領取對應的功能獎勵
[00:02:09.750 - 00:02:12.750] 這個部分是大家需要重點去賬握的
[00:02:13.750 - 00:02:16.250] 第三步我們需要對賬戶進行設置
[00:02:16.250 - 00:02:17.250] 還有身份驗證
[00:02:17.750 - 00:02:20.550] 首先我們進入到賬號後台手頁的左側
[00:02:20.550 - 00:02:22.050] 有幾個快節入口
[00:02:22.050 - 00:02:24.350] 第一個快節入口就是修改燈錄明
[00:02:25.350 - 00:02:27.550] 我們在修改燈錄明的時候要注意一點
[00:02:27.550 - 00:02:29.050] 這裡只能修改一次
[00:02:29.550 - 00:02:31.050] 我們修改過一次之後
[00:02:31.050 - 00:02:33.050] 在這個入口就不再出現了
[00:02:33.050 - 00:02:36.050] 並且到這個燈錄明會自動的生產
[00:02:36.050 - 00:02:37.050] 我們都展示聽證明
[00:02:37.050 - 00:02:39.050] 也就是您的顛譜、鏈接
[00:02:39.050 - 00:02:42.050] 在我們設置的時候請務必謹訊操作
[00:02:43.050 - 00:02:45.050] 第二個入口是修改優香
[00:02:45.050 - 00:02:48.550] 我們如果想修改我們的燈錄有相或者是修改
[00:02:48.550 - 00:02:50.050] 我們接收學砍的優香
[00:02:50.050 - 00:02:51.550] 都是在這裡修改
[00:02:52.050 - 00:02:54.050] 我們的電子有相和背有有相
[00:02:54.050 - 00:02:58.490] 都是可以統步受到中國之高的提示信息
[00:02:58.490 - 00:03:00.990] 我們驗證過主有相之後可以接鎖
[00:03:00.990 - 00:03:02.490] 資料的頭相功
[00:03:02.490 - 00:03:05.490] 普通的免費會員是沒有頭相的
[00:03:05.490 - 00:03:06.990] 如果您需要的頭相的話
[00:03:06.990 - 00:03:08.990] 是需要點擊我們主有相右邊的驗證
[00:03:08.990 - 00:03:10.490] 才可以獲取
[00:03:10.490 - 00:03:13.810] 那下一步是修改密碼
[00:03:13.810 - 00:03:16.310] 如果您需要把我們的密碼進行重製
[00:03:16.310 - 00:03:18.310] 可以在這個驗面來進行要注意
[00:03:18.310 - 00:03:20.310] 密碼是去跟大家解答
[00:03:21.310 - 00:03:23.310] 那下一個時射著安全手機
[00:03:23.310 - 00:03:25.310] 安全手機這裏要注意的是您
[00:03:25.310 - 00:03:27.310] 可以把它統步設置為
[00:03:27.310 - 00:03:28.310] 登錄手機
[00:03:28.310 - 00:03:30.310] 這樣的話我們在下一次登錄張號的時候
[00:03:30.310 - 00:03:32.310] 就可以直接用手機
[00:03:32.310 - 00:03:33.310] 數字驗證
[00:03:33.310 - 00:03:34.310] 具體行登錄張號
[00:03:34.310 - 00:03:36.310] 同時用下方的啟用
[00:03:36.310 - 00:03:38.310] 兩個啟用都建議點一下
[00:03:38.310 - 00:03:39.310] 因為這樣的話
[00:03:39.310 - 00:03:41.310] 我們現在如果說張號出現了
[00:03:41.310 - 00:03:42.310] 密碼背道
[00:03:42.310 - 00:03:44.310] 或者說油香背穿改的時候
[00:03:44.310 - 00:03:47.310] 這裡就可以有相保護您的張號安全
[00:03:47.310 - 00:03:48.310] 如果有人想修改的時候
[00:03:48.310 - 00:03:51.310] 就必須需要我們用短信驗證
[00:03:51.310 - 00:03:52.310] 去進行身份驗證
[00:03:53.310 - 00:03:54.350] 在這裡我們
[00:03:54.350 - 00:03:56.310] 綁定的安全手機可以立即解鎖
[00:03:56.310 - 00:03:58.310] 修改公司信息的功能
[00:03:58.310 - 00:04:01.690] 再不我們的會員幾分
[00:04:01.690 - 00:04:03.690] 我們在手頁的頭相下方
[00:04:03.690 - 00:04:05.690] 可以看到我們自己這個帳號
[00:04:05.690 - 00:04:06.690] 有多少幾分
[00:04:06.690 - 00:04:08.690] 並且可以點擊賺幾分
[00:04:08.690 - 00:04:11.690] 在這個驗面我們可以把我們賺去的幾分
[00:04:11.690 - 00:04:13.690] 去進行對換一些食物餐品
[00:04:13.690 - 00:04:15.690] 還有一些線上的全議餐品
[00:04:15.690 - 00:04:17.690] 下面也可以通過做幾分任務
