# 6.2025 年11月全网大讲堂

language=zh
language_probability=1.000
model=tiny

[00:00:08.820 - 00:00:11.140] 你好大家可以聽到聲音嗎
[00:00:12.140 - 00:00:15.860] 大家可以聽到我說話的話可以在評論區口個音
[00:00:16.580 - 00:00:18.580] 我們現在測試一下設備
[00:00:55.630 - 00:00:56.290] 好
[00:00:56.290 - 00:00:58.550] 大家如果可以聽到聲音的話
[00:00:58.550 - 00:01:00.550] 那我們就正式開始
[00:01:00.910 - 00:01:02.750] 各位公平商朋友大家好
[00:01:02.750 - 00:01:06.830] 歡迎來到中國製造網11月全網大獎堂的直播間
[00:01:06.830 - 00:01:09.070] 我是今天的主角人 Chris Toe
[00:01:09.070 - 00:01:12.990] 非常榮幸今天下午和各位公平商朋友相聚在這裡
[00:01:12.990 - 00:01:16.310] 一起來解讀平台的新動態新功能
[00:01:16.310 - 00:01:19.950] 全網大獎堂只在為各位公平商朋友
[00:01:19.950 - 00:01:22.750] 書裡解讀平台的新動態新功能
[00:01:22.750 - 00:01:26.070] 讓各位能夠更好的區理教我們平台的動作
[00:01:26.070 - 00:01:28.230] 保持雙方之間的同平
[00:01:28.230 - 00:01:32.630] 所以也希望今天下午的全網大獎堂能夠達到這樣的目的
[00:01:32.630 - 00:01:34.470] 讓大家都有所收獲
[00:01:36.690 - 00:01:38.450] 接下來的時間裡
[00:01:38.450 - 00:01:41.050] 我們將製造四大核心版塊
[00:01:41.290 - 00:01:45.490] 大家在FUNN上計畫新活動靈行與數據決境
[00:01:45.490 - 00:01:47.490] 我們的目標非常明確
[00:01:47.490 - 00:01:49.810] 我們不是簡單的去介紹功能
[00:01:49.810 - 00:01:53.090] 而是與大家一同來解讀區市掌握工具
[00:01:53.090 - 00:01:54.130] 抓住機會
[00:01:54.130 - 00:01:58.130] 幫助大家從會用平台升級到用金平台
[00:01:58.130 - 00:02:00.130] 真正實現生意的增長
[00:02:00.130 - 00:02:02.010] 下面我們話不多說
[00:02:02.010 - 00:02:03.730] 直接進入第一個版塊
[00:02:03.730 - 00:02:05.050] 大家在FUNN
[00:02:05.050 - 00:02:08.510] 大家在FUNN部分
[00:02:08.510 - 00:02:12.070] 我們將主要從平台買加次的AI工具
[00:02:12.070 - 00:02:15.190] 說行AI和供應商的AI工具AIMic
[00:02:15.190 - 00:02:17.590] 來給大家介紹商端AI工具
[00:02:17.590 - 00:02:19.390] 如何來發揮系統效益
[00:02:19.390 - 00:02:21.230] 不能各位供應商很有的
[00:02:23.220 - 00:02:24.580] 我們的目標是
[00:02:24.580 - 00:02:27.940] 在當今AI浪潮習慣的商業環境中
[00:02:27.940 - 00:02:30.260] 讀懂買加的AI採購邏輯
[00:02:30.260 - 00:02:32.500] 讓運用AI工具推薦而出
[00:02:32.500 - 00:02:34.660] 成為被算法中愛的存在
[00:02:37.080 - 00:02:39.720] 首先我們來大致趕之下背景
[00:02:39.720 - 00:02:41.960] 以我們最熟悉的谷歌為力
[00:02:41.960 - 00:02:44.920] 當買加在搜索欄出問題的時候
[00:02:44.920 - 00:02:48.240] AI會抓取網頁來生成總合新的回答
[00:02:48.240 - 00:02:49.960] 包含與用鏈接
[00:02:49.960 - 00:02:51.560] 共用互速源
[00:02:51.560 - 00:02:53.720] 同時也會根據問題生成
[00:02:53.720 - 00:02:56.440] 結構化的更細節的突展性感
[00:02:56.440 - 00:02:58.680] 推薦相關平台和供應商
[00:02:58.680 - 00:03:01.240] 還會有產品鏈接的卡片推薦
[00:03:01.240 - 00:03:03.880] 在這個案例中我們也可以發現
[00:03:03.880 - 00:03:06.320] AI正廣泛用於搜索領域
[00:03:06.320 - 00:03:08.120] 甚至已經滲透到了
[00:03:08.120 - 00:03:10.360] 和我們西西桑官的避端的
[00:03:10.360 - 00:03:12.120] 採購場景當中
[00:03:14.490 - 00:03:15.610] 我們再來看
[00:03:15.610 - 00:03:17.050] 3RUS研究
[00:03:17.050 - 00:03:18.170] 就更直觀了
[00:03:18.170 - 00:03:22.010] 3RUS是一個專業分析網站流量的工具
[00:03:22.010 - 00:03:23.690] 更據3RUS研究
[00:03:23.690 - 00:03:28.010] 到2020 二八年AI搜索流量將超過傳統搜索
[00:03:28.010 - 00:03:30.970] 我們更能指觀的確認起一個趨勢
[00:03:30.970 - 00:03:33.210] 那就是買加的採購旗電
[00:03:33.210 - 00:03:37.210] 正在從關鍵此搜索全面轉向相壓提問
[00:03:37.210 - 00:03:39.050] 如果我們不理解這種變化
[00:03:39.050 - 00:03:42.250] 就會再不知不覺中錯誓大量商機
[00:03:42.250 - 00:03:48.010] 那麼我們平台的買加在用什麼樣的AI工具
[00:03:48.010 - 00:03:50.730] 目前我們平台也會全球買加打造了
[00:03:50.730 - 00:03:52.970] 智能的採購豬手搜索新AI
[00:03:52.970 - 00:03:56.330] 最初也是在漲會上接到了買加的需求
[00:03:56.330 - 00:03:59.690] 希望通過一張設計圖置來採購對應的產品
[00:03:59.690 - 00:04:03.530] 搜索新AI目前是實現這樣的採購搜索需求的
[00:04:03.530 - 00:04:06.730] 下面我們通過兩個案例來指觀的感受一下
[00:04:06.730 - 00:04:08.570] 這個買加的搜索場景
[00:04:09.770 - 00:04:12.170] 第一種搜索場景是買加
[00:04:12.170 - 00:04:14.730] 它去通過一張設計圖置來搜索
[00:04:14.730 - 00:04:18.650] 那對於搜索新AI會幫買加找到智場品的品配
[00:04:18.650 - 00:04:21.370] 而不是說也跳出來對於設計圖置
[00:04:21.370 - 00:04:26.250] 搜索新AI它能夠精準的食別設計圖置中的各項關鍵信息
[00:04:26.250 - 00:04:30.170] 比如產品的規格尺寸財智等細節
[00:04:30.170 - 00:04:31.930] 然後根據這些信息
[00:04:31.930 - 00:04:33.850] 快速在龐大的數據庫中
[00:04:33.850 - 00:04:36.810] 實現出於支品配的供應商品
[00:04:36.810 - 00:04:38.890] 這次要求各位供應商朋友們
[00:04:38.890 - 00:04:40.970] 在展示資深產品的時候
[00:04:40.970 - 00:04:46.410] 要進渴能詳細準確的藍描述產品的各項特性配優勢
[00:04:46.410 - 00:04:49.450] 以便在AI搜索中能夠推薦而出
[00:04:49.450 - 00:04:52.570] 那麼這種搜索場景其實大大的取提高了
[00:04:52.570 - 00:04:55.290] 我們買加來尋找合適公益商的掃領
[00:04:55.290 - 00:04:57.370] 同時也提醒我們的各位商朋友
[00:04:57.370 - 00:05:01.530] 卻不斷提升資深的數字化展示能力和產品質料
[00:05:01.530 - 00:05:04.570] 只有這樣才能在AI驅動的採購讓潮中
[00:05:04.570 - 00:05:07.210] 更好的背買加發信任選擇
[00:05:07.210 - 00:05:10.490] 我們再來看第二個搜索場景
[00:05:10.490 - 00:05:15.370] 買加去通過描述採購需求來進行文本搜索
[00:05:15.370 - 00:05:17.850] 買加的採購需求非常明確
[00:05:17.850 - 00:05:20.570] 希望在中國採購高品質的路燈
[00:05:20.570 - 00:05:23.170] 各種技術參數也都明確列出了
[00:05:23.170 - 00:05:27.690] 同樣的搜索顯然它也能夠根據這些明確的買加採購信息
[00:05:27.690 - 00:05:29.690] 去批貝供應商和產品
[00:05:29.690 - 00:05:34.410] 上這種明確採購的明確具體的採購需求的買加商機
[00:05:34.410 - 00:05:37.370] 應該都是比較高質量的有更精價值的
[00:05:37.370 - 00:05:40.330] 但同時買加也會對共一商的要求更高
[00:05:40.330 - 00:05:42.250] 比如說像這個案例中
[00:05:42.250 - 00:05:45.450] 買加的需求中提到了良好的信用機錄
[00:05:45.450 - 00:05:48.730] 又出口到歐盟國家經驗支持產品定制
[00:05:48.730 - 00:05:51.770] 還得有在為豐富的客戶案例可供參考
[00:05:51.770 - 00:05:55.130] 這體現出買加不僅是關注產品的質量
[00:05:55.130 - 00:05:58.250] 同時也注重共一商的綜合實力和信用
[00:05:58.250 - 00:06:00.970] 同時這體現我們各位共一商朋友
[00:06:00.970 - 00:06:06.290] 要想被買加的AI搜索到不僅要在產品質量和技術參數上的表
[00:06:06.290 - 00:06:09.290] 還要注重自身的信用精神和案例機率
[00:06:09.290 - 00:06:15.080] 上買加積極的展示自己的優勢和能力
[00:06:15.080 - 00:06:19.640] 好 上面我們了解了平台買加使用搜索信用AI搜索的兩個場景
[00:06:19.640 - 00:06:21.680] 下面關鍵的問題來了
[00:06:21.680 - 00:06:24.280] 蘇信用AI它的大腦是如何來工作的
[00:06:24.280 - 00:06:27.880] 如何來為我們的買加匹配供應商和產品
[00:06:28.040 - 00:06:32.840] 蘇信用AI探目前具備產品搜索模式和智能採購模式
[00:06:32.840 - 00:06:35.720] 並且擁有五大全新的定情
[00:06:35.720 - 00:06:41.320] 這兩種採購模式的區別是根據買加的不同搜索場景來設計
[00:06:41.320 - 00:06:44.520] 產品搜索模式是能夠無限創描
[00:06:44.520 - 00:06:46.920] 獲得快速及時的搜索結果
[00:06:46.920 - 00:06:50.200] 智能採購模式探購身入分析採購需求
[00:06:50.200 - 00:06:52.520] 匹配最佳的產品和供應商
[00:06:52.520 - 00:06:56.440] 並以核實供應商的資質會更加的系統和全面
[00:06:56.440 - 00:06:58.440] 這其實類似於GPSIC
[00:06:58.440 - 00:06:59.720] 在你開啟
[00:06:59.720 - 00:07:03.080] 這個深度思考模式和不開啟這個模式的區別
[00:07:03.080 - 00:07:07.320] 這兩個模式也實際用戶的實際使用場景來不取的
[00:07:07.320 - 00:07:11.480] 那像這個五大全新引擎可以快速給大家介紹一下
[00:07:11.480 - 00:07:14.520] 智能對話引擎他就像一個切心的住手
[00:07:14.520 - 00:07:18.600] 能夠一買加流暢交流金準立即買加的採購需求
[00:07:18.600 - 00:07:22.360] 產品與供應商搜索引擎像一個強大的貪色器
[00:07:22.360 - 00:07:27.320] 他在海量CG中快速定為符合買加要求的產品和供應商
[00:07:27.320 - 00:07:31.080] 符出成資引擎會加買加需求模糊的時候
