# 7.2025 年10月全网大讲堂

language=zh
language_probability=1.000
model=tiny

[00:00:02.770 - 00:00:06.850] 各位慧恩彩們大家好 我是中師大王雲部的耿噴
[00:00:06.850 - 00:00:09.410] 很高興和大家下面在直播間
[00:00:09.410 - 00:00:13.210] 今天的課程主題是10月全網大家常常
[00:00:13.210 - 00:00:19.170] 直播間今天不知道有沒有已經和中師大王合作的比較久的課部分
[00:00:19.170 - 00:00:23.250] 如果有的話可能會有知道我們這個細節課程道
[00:00:23.250 - 00:00:27.490] 希望大家能讓我們在前幾天做的會比較多一些
[00:00:27.490 - 00:00:32.730] 主要是向課部分去定期傳遞平台的最新功能活動
[00:00:32.730 - 00:00:34.010] 資訊等方向
[00:00:35.010 - 00:00:39.130] 這兩年因為其他方向的推送會跟辨解一些
[00:00:39.130 - 00:00:41.690] 比如像後台系統類的推送
[00:00:41.690 - 00:00:45.770] 大家也能第一時間去了解到最新的功能變化了
[00:00:46.410 - 00:00:51.170] 不過我們還是接到了部分關注平台動向的扣反會
[00:00:51.170 - 00:00:56.650] 希望有相關的課程能夠把每一段時間的功能運營方向
[00:00:56.650 - 00:00:58.570] 能夠判年起來做強劍
[00:00:58.570 - 00:01:01.530] 這樣可以更好的去瞭解平台的方向
[00:01:01.530 - 00:01:04.170] 為自己的運營、調整做參考
[00:01:04.170 - 00:01:06.650] 也不容易措過一些功能變化
[00:01:06.650 - 00:01:11.610] 所以這次我們重新啟動的卻讓大家想能了細節課程
[00:01:11.610 - 00:01:18.010] 這次的10月大獎堂分為溫固和知心兩版敗
[00:01:18.010 - 00:01:20.810] 溫固的內容會稍微不偏多一些
[00:01:20.810 - 00:01:26.250] 我會把從今年6月開始到現代的平台重要功能的動態
[00:01:26.250 - 00:01:29.530] 做書領和大家一起刷一下這些功能的
[00:01:29.530 - 00:01:31.530] 是指揮原因背景
[00:01:31.530 - 00:01:34.090] 它能為我們帶來什麼樣的作用
[00:01:34.090 - 00:01:38.650] 以及我們要怎麼去應用這些已經上線的功能
[00:01:38.650 - 00:01:43.670] 去獲得更好的推送效果
[00:01:43.670 - 00:01:45.510] 我們先來看溫固
[00:01:45.510 - 00:01:50.150] 這張是今年6月開始到10月的中國知道網上線
[00:01:50.150 - 00:01:54.550] 和工藝商三關的主要功能的時間線
[00:01:54.550 - 00:01:56.070] 還是有挺多的
[00:01:56.070 - 00:01:57.590] 各個方向都會有
[00:01:57.590 - 00:01:59.510] 各位商星期權益上線
[00:01:59.510 - 00:02:01.270] 今年13年零上線
[00:02:01.270 - 00:02:03.270] 產明地靠火指標升級
[00:02:03.270 - 00:02:06.070] SKU功能上線等等
[00:02:06.070 - 00:02:08.230] 一個個講序要花很長的時間
[00:02:08.230 - 00:02:09.830] 讓我們把它合併規內
[00:02:09.830 - 00:02:12.550] 從功能的背景影響維度
[00:02:12.550 - 00:02:13.430] 去處發
[00:02:13.430 - 00:02:16.230] 去整理出幾條方向建出來
[00:02:16.230 - 00:02:21.080] 這樣就能更好更快地去理解了
[00:02:21.080 - 00:02:24.280] 所有的功能我們可以歸為四條方向線
[00:02:24.280 - 00:02:26.040] 功能上星期線
[00:02:26.040 - 00:02:27.560] 回覆對提升線
[00:02:27.560 - 00:02:28.760] 展現交易線
[00:02:28.760 - 00:02:32.200] 以及推廣的消息
[00:02:32.200 - 00:02:35.480] 我們先看功能上星期線
[00:02:35.480 - 00:02:38.040] 6月5日中國知道網隊
[00:02:38.040 - 00:02:41.640] 功能上星期權益進行進一步的升級
[00:02:41.640 - 00:02:43.160] 兩個重要的方向
[00:02:43.160 - 00:02:46.120] 一提高搜索排名優勢
[00:02:46.120 - 00:02:50.760] 同能條件下星期越高搜索排名優勢越強
[00:02:50.760 - 00:02:55.160] 並且這項優勢將在不斷地增加
[00:02:55.160 - 00:02:58.440] 2新增新級流量基地
[00:02:58.440 - 00:03:00.200] 三星級以上的工藝商
[00:03:00.200 - 00:03:02.200] 可獲取流量基地
[00:03:02.200 - 00:03:03.360] 新級越高
[00:03:03.360 - 00:03:05.200] 基地越大
[00:03:05.200 - 00:03:08.760] 流量基地包括中國知道網隊外營消油鍵
[00:03:08.760 - 00:03:10.080] 中國知道網買家
[00:03:10.080 - 00:03:12.600] APP部分的推薦位
[00:03:12.600 - 00:03:14.520] 站在各個磚口的產品
[00:03:14.520 - 00:03:16.360] 或者是工藝商的推薦位
[00:03:16.360 - 00:03:19.080] 展會產品推薦位等等
[00:03:19.080 - 00:03:20.400] 中國知道網的工藝商
[00:03:20.400 - 00:03:22.600] 新級是綜合平定
[00:03:22.600 - 00:03:25.200] 工藝商服務海外買家的意願
[00:03:25.200 - 00:03:27.480] 很能力的分層體性
[00:03:27.480 - 00:03:28.440] 通常來說
[00:03:28.440 - 00:03:30.360] 工藝商新級越高
[00:03:30.360 - 00:03:33.520] 它的綜合服務能力也越強
[00:03:33.520 - 00:03:36.560] 同時平台的搜索結果也很早
[00:03:36.560 - 00:03:40.200] 就有工藝商新級的標誌去外線了
[00:03:40.200 - 00:03:43.520] 買家是可以直接看到平台推廣的
[00:03:43.520 - 00:03:45.640] 工藝商新級情況
[00:03:45.640 - 00:03:48.440] 通過平台數據和買家的反規顯示
[00:03:48.440 - 00:03:53.320] 高新級的工藝商會更加受到買家的新案
[00:03:53.320 - 00:03:59.800] 買家希望優先看到更多高新級的優質的工藝商和它的產品
[00:03:59.800 - 00:04:02.120] 所以在平台推廣的推廣的消色列中
[00:04:02.120 - 00:04:08.880] 工藝商新級就成為了選商選品的核心指標之一
[00:04:08.880 - 00:04:12.520] 左側大家可以看到在功能發布的當月
[00:04:12.520 - 00:04:14.800] 各新級巡盤的對比情況
[00:04:14.800 - 00:04:19.120] 新級的高或許巡盤的能力也越強
[00:04:19.120 - 00:04:24.080] 提升工藝商新級是獲取這項權益的唯一的途徑
[00:04:24.080 - 00:04:30.160] 各位商新級需要達到三星級以上才能夠獲得流氧的獎勵
[00:04:30.160 - 00:04:35.280] 三星也是當前平台工藝商的正常的一個水平平均值
[00:04:35.280 - 00:04:41.280] 需要大家至少保持三星級以上或許新級的基本權益
[00:04:41.280 - 00:04:45.120] 五星享有當前共一商新級的最高權益
[00:04:45.120 - 00:04:48.440] 如果可以的話我們為自己設定一個小目標
[00:04:48.440 - 00:04:54.400] 充足五星、贏取共一商新級的好力
[00:04:54.400 - 00:04:58.560] 實際平台進一步的規範共一商新級對流氧的影響
[00:04:58.560 - 00:05:03.440] 對活躍度低的用戶進行流氧的贊權處理
[00:05:03.440 - 00:05:07.840] 將優質買家流氧匹配給優質活躍共一商
[00:05:07.840 - 00:05:09.760] 挑戰對象的各位兩類
[00:05:09.760 - 00:05:16.080] 共一商新級全議是零星的公司或是公司整體
[00:05:16.080 - 00:05:21.120] 最近三十天的平均回復時間超過了24小時
[00:05:21.120 - 00:05:24.800] 這兩類公司上的流氧將受到影響
[00:05:24.800 - 00:05:28.400] 因為我要促進買賣雙方的高校匹配
[00:05:28.400 - 00:05:30.640] 除了要求買家回復
[00:05:30.640 - 00:05:33.520] 故意上也同樣需要去做提升
[00:05:33.520 - 00:05:37.120] 這樣才能夠去形成一個良性的循環
[00:05:37.120 - 00:05:42.160] 促進平台買賣雙方的整體的年輕提升
[00:05:42.160 - 00:05:45.600] 這樣就給我們設置的一個保底的目標了
[00:05:45.600 - 00:05:49.520] 零星將影響共一商新級所有選一的獲取
[00:05:49.520 - 00:05:52.400] 所以請務必獲出零星級別
[00:05:52.400 - 00:05:55.600] 保證共一商新級一星級以上
[00:05:55.600 - 00:05:59.600] 平均回復時間至少控制在24小時之內
[00:05:59.600 - 00:06:04.990] 但這是一個最低的目標
[00:06:04.990 - 00:06:07.790] 以上兩類公司共一商新級全議的大方向
[00:06:07.790 - 00:06:09.550] 其實這兩個新級全議的變化
[00:06:09.550 - 00:06:14.030] 出發點是為了買買賣雙方的高校匹配
[00:06:14.030 - 00:06:17.310] 故意上新級一定程度上能夠反映著
[00:06:17.310 - 00:06:20.190] 共一商在平台推廣情況
[00:06:20.190 - 00:06:23.150] 比如當共一商產品的新級低的話
[00:06:23.150 - 00:06:26.430] 他的產品信息內容是存在問題的
[00:06:26.430 - 00:06:28.110] 當共一商影響內新級低
[00:06:28.110 - 00:06:29.630] 影響力的新級低的話
[00:06:29.630 - 00:06:34.350] 他的更近買家的即時性上也是存在問題的
[00:06:34.350 - 00:06:38.830] 共一商新級全議的變化並不是說對部分科部僅僅僅打壓
[00:06:38.830 - 00:06:44.270] 而是為了讓共一商能夠更好的去展示自己的綜合能力
[00:06:44.270 - 00:06:50.390] 這些才能在平台這樣才能夠在平台去抓住買家 抓住零單
[00:06:51.390 - 00:06:52.590] 一個數據
[00:06:52.590 - 00:06:58.670] 優質展示形勢和豐富的信心內容是能夠讓產品的轉化率
[00:06:58.670 - 00:07:00.990] 去提升到707歲上的
[00:07:00.990 - 00:07:04.310] 這就是共一商新級的真正等出發點
[00:07:04.310 - 00:07:07.630] 接下來我們就為要者共一小新級的提升
[00:07:07.630 - 00:07:11.030] 他還有哪一些功能的變化和主義事項
[00:07:11.030 - 00:07:13.850] 7月4日
[00:07:13.850 - 00:07:21.890] 中國知道網對產品利中的核心產品的高興戰品和產品飛手褲率這兩項前進考核
[00:07:21.890 - 00:07:25.930] 核心產品的高興戰品的是指的是主大產品
[00:07:25.930 - 00:07:30.090] 廣告產品和展示聽的展開產品
[00:07:30.090 - 00:07:34.290] 考核達到4.6星及以上的產品的戰品情況
[00:07:34.890 - 00:07:39.930] 產品飛手褲率考核則是從2025年1月7日起
[00:07:39.930 - 00:07:48.150] 新發布或者是新修改的重複產品在所有產品中的戰品
[00:07:48.150 - 00:07:51.510] 分開來看我們先看重複產品
[00:07:51.510 - 00:07:55.470] 為什麼在產品利考核中會加入這項設置
[00:07:55.470 - 00:08:01.150] 是因為現在的推廣模式更多的從前幾年的以亮音流
[00:08:01.150 - 00:08:04.350] 向以致音流的方向作轉變
[00:08:04.350 - 00:08:12.270] 現在無論是5個也好其他所說的也好都不是很喜歡大亮的重複產品的出現
[00:08:12.270 - 00:08:15.550] 如果被所說的已經判定為二一作弊
[00:08:15.550 - 00:08:19.190] 是有可能受到相關的成發甚至信息
[00:08:19.190 - 00:08:23.430] 將不再被收入最終是影響我們自己的報告
[00:08:23.430 - 00:08:25.270] 而從買家的角度去看
[00:08:25.270 - 00:08:30.710] 過多的重複產品會影響他們對產品信息的流量體驗
[00:08:30.950 - 00:08:35.830] 去大大降低買家針對產品發送旋盤的機率
[00:08:35.830 - 00:08:40.430] 目前中國知道往的重複產品分為三代高度重複
[00:08:40.430 - 00:08:43.510] 明稱重複和圖片重複
[00:08:43.510 - 00:08:48.110] 這三代都會影響到產品非常複雲的考核
[00:08:48.110 - 00:08:51.310] 明稱重複是說我們的產品的標題
[00:08:51.310 - 00:08:55.790] 兩個產品的標題完全一樣的時候就會被稱為明稱重複
[00:08:55.790 - 00:08:59.630] 圖片重複是說的是產品的主圖第一章圖片
[00:08:59.630 - 00:09:04.750] 兩個產品的第一章圖片重複的時候就會被認定為圖片重複
[00:09:04.750 - 00:09:09.110] 高度重複是系統會撒謬這兩個產品的整體的信息
[00:09:09.110 - 00:09:18.830] 當圖片明稱屬性描述這幾項綜合下來出現了一個很高的重複產品
[00:09:18.830 - 00:09:23.190] 三種情況在科技的右側也給大家去詳細練出來
[00:09:23.190 - 00:09:28.030] 目標新發佈的產品不要再出現重複的產品
[00:09:28.030 - 00:09:32.630] 二五年1月7號之前上傳的產品目前是不考核的
[00:09:32.630 - 00:09:41.590] 但是需要注意的是如果你要修改這部分的產品的話就一定要保證它不能再出現在重複產品的對電了
[00:09:42.630 - 00:09:47.990] 左側的圖上有標了兩個劍頭有AMM一個功能的客戶
[00:09:47.990 - 00:09:55.430] 去重點看一下重複產品是可以用AMI的功能去進行調整的非常方便
[00:09:57.660 - 00:10:06.740] 再看核心產品的高興產品平台數據總據4.6星4.77星高興級產品比4.5星的產品整體的
[00:10:06.740 - 00:10:10.820] 巡盤轉化力能夠提升到8%以上
[00:10:12.100 - 00:10:15.700] 這個數據還是非常的可觀的高興級的產品在
[00:10:15.700 - 00:10:23.620] 是圖片認證上的要求會更高而這些要求也是買家很看中的部分
[00:10:24.260 - 00:10:30.180] 我們自己可以在產品菜單所有產品數去摔選出自己的主大產品
[00:10:30.180 - 00:10:34.100] 綁定廣告產品和展示廳展開產品的新計情化
[00:10:36.240 - 00:10:44.840] 新計計換是比較重要今年這一年圍繞的新疙瘩的配套功能我們也發現時間重點整理一下
[00:10:45.600 - 00:10:50.480] 中國知道目前的產品新疑的分層我們看做作圖三個層級
