# 1.星级体系详解（供应商星级及产品星级）

language=zh
language_probability=1.000
model=tiny

[00:00:00.880 - 00:00:06.880] 大家好,歡迎大家收聽由中國製造網官方出品的《國運商新疾可塵》
[00:00:06.880 - 00:00:14.880] 文字歌成主要為繞國運商新疾平定體系,詳細解讀各的理想指標,大家聊天如何提升新疾
[00:00:14.880 - 00:00:27.850] 其中產品的一社期道的產品新疾也會通不介紹,首先我們記錄本資科稱第一部分,新疾平定體系
[00:00:27.850 - 00:00:41.700] 週日造網一直至至於買美雙方的游泽建年和商機對接,為了對新的買加線上採過需求編號,我們將對新疾體系作針對性的持續升級
[00:00:41.700 - 00:00:49.700] 助理科為商加一個明確的運路及大高根據精針的產品和企業形象,帶來更多的商機
[00:00:49.700 - 00:01:01.700] 新疾體系作為平台和商量產品新疾平均和國運商的能力的重要指標,透過明確的指標效,帶大家聊天,什麼樣的產品和國運商更受買加的關應
[00:01:01.700 - 00:01:08.700] 通過國運商新疾和產品新疾權益,讓更多的優商優品或更多的商機機會
[00:01:09.700 - 00:01:25.700] 接下來從國運商新疾的貴渡據的想見,國運商新疾是中日到網東和平定,國運商服務和海外買加運運的能力分分體系,只在幫助國運商成長,提升海外買加體驗,透進商機轉化
[00:01:25.700 - 00:01:34.700] 中日到網的國運商新疾跟據國運商服務的利益分為一星,二星,單星,四星,五星,五個層級
[00:01:34.700 - 00:01:51.700] 為大家新疾的國運商為一星,國運商新疾月高代表企業的都混合的地獄場,一星程度也代表在外貿必須必須與遇的成長入境,希望更多稀手上加能不斷成長成為實力上加行業路透
[00:01:51.700 - 00:02:02.500] 歸於商通過提升能力成為一星期公於商將統部或取專輸星期全議,當前的星期全議包括六下
[00:02:02.500 - 00:02:14.500] 作為排名優勢,並以活動轉入,云戰回優先報名,二月曝代獎勵,深星基本獎勵及新疾國運商推寡轉區
[00:02:14.500 - 00:02:28.810] 二月曝代獎勵,至於買賺5FQ後,歸上在C780之內成功報價及各個報價獎勵並查看到對應的買賺優銷,區同是買足三個條件
[00:02:28.810 - 00:02:45.810] 一是歸於商新疾為一星及以上,二是高級不會員,近三月沒有報價震法紀錄,但是高級會員推寡期間沒有貿易糾紛,請您今的不應左右重點關注,儘快提升到一星以上,最早想要報價獎勵等私自全議
[00:02:45.810 - 00:03:03.250] 因為活動轉入,只一般活動需要新疾國運商太多報名,部分活動會有更經�ед的信息要求,例如每年的超越穿海積,金秋太加會,部分活動長管需要揮上新疾達到三星際上的報名
[00:03:03.250 - 00:03:38.050] 雲轉會優先入住權益,只報名轉會時,新疾國運商可想有優先審合入住的權益,新疾國運商推往轉區,只國運商新疾佩套的培育活動,報名申請訊願引幾個入住,在MAC首也有專屬的推緩入口,申請積分獎勵,指當公司的新疾頭要提升,及當前新疾大於福奇內的歷史推高新疾勢,最後您去商勵的積分獎勵,
[00:03:38.050 - 00:03:43.650] 早點積分指案提升的新疾話分可過得兩千至兩萬幾分不等
[00:03:43.650 - 00:04:01.850] 需要重點關注的是修國排名有史,排名參與前才通過展示時,在同論條件下,及排名滿足與買家所有的資品配民眾,目入準確,排名新疾相同,主打分職相同這些條件
[00:04:01.850 - 00:04:21.850] 侮辱上新疾越高,受到排名有史越明顯,考慮到新入住會員的運軸提問提,平台位新會員提供了新疾保護期,會員上開通平台的前兩個自然越內,金牌會員不足一心的按照一心保護,但會員不足兩心的按照兩心保護
[00:04:21.850 - 00:04:51.810] 選一主要負擔搜索排名有史,RFQ報價長利,運軸活動轉入,需要注意的是新會員新疾保護期,自高級會員服務上限日開示計算,越開通接彈不保護,很多人會問,在哪裏查看自己的不如商新疾,等到Witcher Office之後,在首月的不如商新疾板塊,可以看到每月三日更新的品定性,
[00:04:51.810 - 00:05:02.570] 該新疾取資上個錢越最後一天的新疾數據,比如4月查看的,就是3月31日的取質,同時也能查看到下月預測新疾。
[00:05:02.570 - 00:05:10.250] 3月預測新疾每月實施更新,有兩天的同步實驗差,預測去羅班更新的時間保持一致。
[00:05:11.010 - 00:05:24.890] 在新疾板塊還能查看新疾工運商的權益,新疾權益將根據當前新疾以及下月預測新疾之間腳高的新疾來決定,大家請及是玩善新疾,一更快獲取相關權益。
[00:05:25.530 - 00:05:37.180] 點擊的立即提升,將近入工運商新疾的想起也,將近也會顯示所有以完全疾待本程則是一指標,
[00:05:38.100 - 00:05:46.140] 我的表現以及下一次新疾工運商的品訊表現,中日到網還為大家提供的成長工率以及,
[00:05:46.140 - 00:05:52.540] 任務,貴張餐考對應的工率完成將會任務及格提升對指標的分。
[00:05:52.540 - 00:05:57.140] 完成的立提升下,及格成長為更高級別的新疾工運商。
[00:06:01.790 - 00:06:08.430] 貴張的考核主要分為四項能力,貴張提供成長貪考,第一,產品力。
[00:06:09.070 - 00:06:15.870] 代表產品優化金接,包括4.5星際上產品占品,觀點是品動徒產品占品,
[00:06:16.270 - 00:06:22.430] 金酒天有訪問讓的產品占品,以及核心產品高星際占品核產品被重慮。
[00:06:23.350 - 00:06:30.430] 第二,展示力,主要我要企業展示核徒運產品的新疾度參考,包括3000全金展示,
[00:06:30.670 - 00:06:37.550] 企業恆夫海報、公司市品,實際徒展示,企業不太難目,公司描述,
[00:06:37.550 - 00:06:42.510] 實力標籤以及主運產品和產品占區占台國區款。
[00:06:43.230 - 00:06:48.110] 第三,飲消理,製造結合企業的飲消意願和運銷能力,
[00:06:48.110 - 00:06:51.310] 為可以買家提供高小型的夫體業。
[00:06:51.710 - 00:06:58.590] 營效理將,通過近30天幾十回復,上次營銷,商品轉化以及金酒天在線排駕,
[00:06:59.150 - 00:07:04.270] 全方為工入企業民確診的方向,第四,保障你,
[00:07:04.990 - 00:07:12.190] 只要我要雙加的和微晶引,旅園的利等,相關入據進行中和品定,包括產品健康,
[00:07:12.190 - 00:07:16.510] 賬號健康,交易保障,投出糾紛等多個指標,
[00:07:18.880 - 00:07:21.600] 這台將解貴運雙新級的品定方法,
[00:07:22.560 - 00:07:29.120] 貴運雙新級的按照產品利,展示力,銀銷利,保障你次大臨上清新總和品定,
[00:07:29.120 - 00:07:32.720] 平台這些合貴運雙次大能力指標的風呼數據表現,
[00:07:33.440 - 00:07:36.480] 與每月三日給出貴運雙的品定新級,
[00:07:37.440 - 00:07:40.640] 品定新級取得次大能力相中的最低型級,
[00:07:41.280 - 00:07:44.480] 該新級將直接影響回遇上左常有的新式權益,
[00:07:45.440 - 00:07:50.240] 具體分舉要求為,算能力相軍達到60分級上位一星,
[00:07:51.120 - 00:07:59.280] 7分級上位2星,80分級上位3星,85分級上位4星,90分級上位5星,
[00:08:00.880 - 00:08:06.480] 以上是公寓雙新級的整體處理,接下來進入個人的相似解讀,
[00:08:07.280 - 00:08:08.880] 首先是產品利解讀,
[00:08:09.280 - 00:08:13.040] 產品利主要靠和五項指標,
[00:08:13.040 - 00:08:15.280] 5星際上產品戰比,
[00:08:15.280 - 00:08:17.840] 觀點是品動度產品戰比,
[00:08:17.840 - 00:08:20.160] 進九日戰有訪讓產品戰比,
[00:08:20.160 - 00:08:23.680] 核心產品高興級戰比,產品非常復率,
[00:08:23.680 - 00:08:26.000] 才沒為大家解讀個指標。
[00:08:26.000 - 00:08:29.600] 5星際上產品戰比,
[00:08:29.600 - 00:08:33.120] 即是5星產品出意推幻產品說,
[00:08:33.120 - 00:08:37.140] 核心產品高興級戰比,
[00:08:37.380 - 00:08:40.340] 只高興級核心產比出出意核心產品說,
[00:08:41.380 - 00:08:43.700] 核心產品只得是出大產品,
[00:08:43.700 - 00:08:45.940] 廣告產品,戰台產品,
[00:08:45.940 - 00:08:49.780] 當高興級核心產品說大育的100條石,死相得脈分,
