# 6.【展示力】公司视频

language=zh
language_probability=1.000
model=tiny

[00:00:01.300 - 00:00:04.580] 展示力心机中如何设置公司视频
[00:00:05.180 - 00:00:08.940] 首先我们要将公司视频上传直播来库
[00:00:09.220 - 00:00:11.100] 选择展示听出台库
[00:00:11.300 - 00:00:12.700] 点击视频
[00:00:13.700 - 00:00:15.380] 点击上传视频
[00:00:15.500 - 00:00:19.450] 上传视频号 甜蜘蛛好标题
[00:00:19.450 - 00:00:20.890] 封面的信息
[00:00:21.050 - 00:00:22.730] 选择节展示
[00:00:25.680 - 00:00:27.160] 上传成功号
[00:00:27.360 - 00:00:29.200] 我们回到展示听
[00:00:29.200 - 00:00:30.760] 管理展示听
[00:00:31.680 - 00:00:33.120] 编辑展示听
[00:00:35.200 - 00:00:36.400] 整合公司业
[00:00:37.960 - 00:00:39.760] 在这个位置点击边险
[00:00:41.580 - 00:00:42.700] 配选择
[00:00:43.420 - 00:00:44.940] 我们刚才上传的
[00:00:45.500 - 00:00:46.500] 公司视频
[00:00:48.260 - 00:00:48.940] 注意
[00:00:49.140 - 00:00:50.300] 只有选合通过且
[00:00:50.300 - 00:00:51.460] 只要正常视频
[00:00:51.460 - 00:00:52.620] 他可以获得买得
