# 10.订单发货流程

language=zh
language_probability=1.000
model=tiny

[00:00:00.940 - 00:00:06.540] 大家好,歡迎來到中國製造榜交易系列課程
[00:00:06.540 - 00:00:11.220] 今天的課程內容是訂單發貨流程
[00:00:11.220 - 00:00:22.940] 買家在支付安款項後,訂單狀態可能會經歷,等代中,審核中,代發貨等狀態
[00:00:22.940 - 00:00:29.340] 請注意,訂單只有在,代發貨狀態下才可以發貨
[00:00:29.740 - 00:00:38.940] 入境為,唯,交易,交易訂單管理,代發貨和貨運中
[00:00:38.940 - 00:00:49.140] 發貨有兩個節點,一是當領收到,不放,或全部還下後,訂單出現發貨按鈕
[00:00:49.140 - 00:00:53.740] 之後,即可全部,或分批刺法禍
[00:00:53.740 - 00:00:59.540] 二是若貨物為按照系統約定,全部發出
[00:00:59.540 - 00:01:08.540] 即使當前,訂單狀態沒過運中,人和點擊發貨進行發貨操作
[00:01:08.540 - 00:01:16.740] 需要注意的是,訂單需在約訂的最持發貨時間之前進行發貨
[00:01:16.740 - 00:01:22.740] 若超期發貨,會影響,訂單的即使發貨率
[00:01:22.740 - 00:01:27.940] 點擊發貨後則進入到訂單的發貨中心
[00:01:27.940 - 00:01:32.540] 供應商需提交徵食有效的,無有信息
[00:01:32.540 - 00:01:43.620] 第一步,請上傳報關單,首先,寧需要選擇海關監管方式
[00:01:43.620 - 00:01:48.020] 有四種海關監管方式可供選擇
[00:01:48.020 - 00:01:55.620] 寧衣櫻櫻,九六櫻櫻,九七櫻,九八櫻
[00:01:55.620 - 00:02:05.420] 如何選擇,寧可點擊藍色字梯,如何選擇,海關監管方式進行查看
[00:02:05.420 - 00:02:11.820] 當寧選擇寧櫻櫻櫻,九七櫻櫻,九八櫻櫻櫻
[00:02:11.820 - 00:02:16.620] 需提交有效的,暴觀單和物流信息
[00:02:16.620 - 00:02:25.020] 需要注意的是,請您按照,暴觀單,必總如時填寫,暴觀單經隔
[00:02:25.020 - 00:02:32.220] 來當寧選擇,九六櫻櫻櫻櫻櫻,則需提交有效的物流單局
[00:02:32.220 - 00:02:42.620] 包括,但不限於,快地面單,提單,加蓋工章的倉庫出果單,等有效物流單局
[00:02:42.620 - 00:02:49.420] 在此,監管方式下,不強制要求您提供,暴觀單心息
[00:02:51.440 - 00:02:55.040] 第二步,填寫發貨信息
[00:02:55.040 - 00:03:00.440] 平台支持供您商,整批此,我多批此發貨
[00:03:00.640 - 00:03:12.240] 若您選擇整批此發貨,則點擊選擇本次發貨產品,並選擇當前訂單中所有的產品
[00:03:12.240 - 00:03:26.100] 若您選擇多批此發貨,可點擊,新增發貨批此,多次填寫產品信息和物流信息
[00:03:26.100 - 00:03:29.500] 第三步,填加物流信息
[00:03:29.500 - 00:03:37.900] 您可選擇中國製造網平台物流發貨,也可選擇現下自由物流
[00:03:37.900 - 00:03:46.700] 若您選擇中國製造網平台物流發貨,您可在夜面上點擊藍色字體
[00:03:46.700 - 00:03:54.700] 即刻下單,獲到微霧國際物流版塊,查價,以下單
[00:03:54.700 - 00:04:04.300] 完成後,可點擊,關聯物流訂單,綁定平台物流訂單號
[00:04:04.300 - 00:04:14.100] 若您選擇現下自由物流發貨,可點擊,提交物流品證,輸入物流信息
[00:04:14.300 - 00:04:24.900] 這你需要準確輸入物流信息,系統將自動追蹤提交的快地來物流服務的軌跡信息
[00:04:24.900 - 00:04:29.300] 以共買賣雙方追蹤物流軌跡
[00:04:29.300 - 00:04:38.900] 但海運,空運,路運等物流方式暫時不支持系統追蹤
[00:04:39.300 - 00:04:45.300] 同時運輸方式中,也新增了多式點運選項
[00:04:45.300 - 00:04:53.500] 各種運輸方式具體區別,可點擊,甜血規範進行查看
[00:04:53.500 - 00:05:01.100] 有效的物流品證,也可點擊查看標準品證勢力
[00:05:01.500 - 00:05:10.500] 以上信息,甜血覽必之後,最後還需點擊,也面左下角確認發貨按鈕
[00:05:10.500 - 00:05:13.900] 點擊後,則完成了發貨
[00:05:13.900 - 00:05:26.010] 發貨完成後,共一商可對以天家的物流信息進行查尋、律修改
[00:05:26.210 - 00:05:38.010] 查尋、物流信息入境為,Viu交易交易訂單管理查看訂單、物流信息
[00:05:38.010 - 00:05:50.010] 修改、物流信息入境為,Viu交易交易訂單管理、貨運中、修改物流
[00:05:50.010 - 00:05:55.410] 共一商可通過後台自主修改物流信息
[00:05:55.410 - 00:06:01.810] 但目前緊織持訂單狀態為貨運中的訂單
[00:06:01.810 - 00:06:07.010] 如果訂單以完成,無法修改物流信息時
[00:06:07.010 - 00:06:13.010] 共一商可有見智,N-Ly Trading at Made in China.com
[00:06:13.010 - 00:06:18.210] 說明情況,並付上正確的物流面單
[00:06:22.150 - 00:06:25.950] 最後,若買家為首動確認收貨
[00:06:25.950 - 00:06:34.950] 系統,也將根據不同運輸方式,與共一商發貨後的指定時間節點自動確認收貨
[00:06:34.950 - 00:06:41.950] 具體系統自動確認收貨的時間節點,請見圖示說明
[00:06:41.950 - 00:06:48.160] 以上就是訂單發貨流程的所有內容
[00:06:48.160 - 00:06:54.160] 若有問題,歡迎隨時連信我嗎?感謝您的支持
