# 13.在线交易相关费用

language=zh
language_probability=1.000
model=tiny

[00:00:00.020 - 00:00:05.260] 大家好,欢迎来到中国製造榜,在现交易系列课程。
[00:00:05.260 - 00:00:11.900] 今天我们将为大家,想细介绍在现交易相关废用的具体能容。
[00:00:11.900 - 00:00:18.100] 帮主大家了解交易服务费,与体现废用的具体标准和规则。
[00:00:18.100 - 00:00:22.500] 首先,我们来了解一下资金总缘。
[00:00:22.500 - 00:00:25.740] 在微欧台的交易导航软下,
[00:00:25.980 - 00:00:29.780] 您可以看到资金总缘模块分为3个部分,
[00:00:30.780 - 00:00:32.540] 第一,我的资金,
[00:00:33.180 - 00:00:36.420] 这里展示您赵互夏的多币种资金,
[00:00:36.420 - 00:00:39.700] 包含美元,人民币,欧元,
[00:00:40.700 - 00:00:42.900] 第二,带观脸外会,
[00:00:43.620 - 00:00:47.940] 这里显示的是买家通过替器,会款式平台账户,
[00:00:47.940 - 00:00:54.180] 背观脸定单的资金,同样包含美元,人民币,和欧元。
[00:00:54.740 - 00:01:00.820] 第三,交易费率,这里公式了,所有收款方式,包括体体,
[00:01:01.460 - 00:01:03.180] 好,配保,
[00:01:03.180 - 00:01:10.020] 格了Bore Pay Pro,以及本地支付的交易服务费,和反而仍然仍然比体现的手袭费率。
[00:01:10.620 - 00:01:15.140] 请注意,所有这些费率都是根据您过去三个月,
[00:01:15.140 - 00:01:19.740] 遗到账的交易总额,GMV,进行动台和算的。
[00:01:20.460 - 00:01:25.900] 具体,您所说的飞率等级,请以平台规则和后台显示为准。
[00:01:26.940 - 00:01:33.060] 我们具体来看第一部分,我的资金,该板块支持一战事查看,
[00:01:33.060 - 00:01:38.380] 美元,人民币,欧元,都比种的资金总额,预明系。
[00:01:38.700 - 00:01:43.820] 前每一笔资金都会按状态进行画分,具体如下。
[00:01:44.380 - 00:01:49.700] 一,可用资金,只可立即发起体现操作的资金。
[00:01:50.420 - 00:01:54.860] 二,带入仗资金,只买家已经负款成功,
[00:01:55.420 - 00:01:59.660] 但定单纯于选合中,带发货,过配送中状态,
[00:01:59.660 - 00:02:04.660] 赞为完全入仗的资金,三,动节资金。
[00:02:05.460 - 00:02:11.220] 只因设计体现任合,定单退款或交易巨富等情况,
[00:02:11.220 - 00:02:13.620] 导致暂时无法使用的资金。
[00:02:14.500 - 00:02:20.460] 四,顾定保证金。平台会依据供应商的资质进行平估,
[00:02:20.460 - 00:02:24.100] 收取领导一千美金不等的保证金。
[00:02:24.740 - 00:02:28.580] 虚注意的是,该保证金无需提前脚拿,
