# 17.买家如何支付

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:02.400] 大家好,歡迎觀看中國知道
[00:00:02.400 - 00:00:04.360] 在建交易系列課程
[00:00:04.360 - 00:00:06.160] 本次課程的主題是
[00:00:06.160 - 00:00:07.420] 買家裡和支付
[00:00:07.420 - 00:00:09.520] 課程主要分為3個部分
[00:00:09.520 - 00:00:11.260] 一部分是支付流程
[00:00:11.260 - 00:00:12.660] 幫助大家了解
[00:00:12.660 - 00:00:13.380] 買家層
[00:00:13.380 - 00:00:14.540] 哪裡進入支付
[00:00:14.540 - 00:00:15.960] 如何完成支付
[00:00:15.960 - 00:00:17.920] 第二部分是支付方式
[00:00:17.920 - 00:00:20.060] 介紹我們目前支持的課程
[00:00:20.060 - 00:00:21.080] 不可能方式
[00:00:21.080 - 00:00:23.240] 第三部分是常見問題
[00:00:23.240 - 00:00:25.040] 針對大家在日常工作中
[00:00:25.040 - 00:00:28.560] 經常遇到的買家支付相關的運運減大
[00:00:28.560 - 00:00:31.760] 首先我們先來看第一部分是付流程
[00:00:31.760 - 00:00:33.940] 買家可以通過兩種取得
[00:00:33.940 - 00:00:35.480] 查看的支付訂單
[00:00:35.480 - 00:00:38.280] 而別是PC專和APP專
[00:00:38.280 - 00:00:40.440] 接下來我們引PC專為你
[00:00:40.440 - 00:00:42.800] 也是下具體的操作副手
[00:00:42.800 - 00:00:45.080] 第一步買家登陸政府後
[00:00:45.080 - 00:00:46.640] 第一次點擊進步
[00:00:46.640 - 00:00:48.560] 導航冷衝的conception
[00:00:48.560 - 00:00:51.920] 然後選擇買我的在山選P門
[00:00:51.920 - 00:00:55.520] 安餐的時候就可以看到所有代支付的訂單了
[00:00:55.520 - 00:00:56.320] 第二步
[00:00:56.320 - 00:00:57.840] 在訂單列表用
[00:00:57.840 - 00:01:00.440] 買家可以查看需要支付的訂單
[00:01:00.440 - 00:01:02.240] 訂單類型
[00:01:02.240 - 00:01:03.560] 點擊對你的按鈕
[00:01:03.560 - 00:01:05.080] 進入訂單下期
[00:01:05.080 - 00:01:06.000] 具體來說
[00:01:06.000 - 00:01:07.560] 如果是全款訂單
[00:01:07.560 - 00:01:08.720] 點擊配置
[00:01:08.720 - 00:01:10.560] 如果是所謂款訂單
[00:01:10.560 - 00:01:12.560] 前當前需要支付手款
[00:01:12.560 - 00:01:14.680] 點擊可以引收P門
[00:01:14.680 - 00:01:17.200] 如果手款不需要支付一塊
[00:01:17.200 - 00:01:18.200] 做點擊
[00:01:18.200 - 00:01:19.200] TaybanenSpanel
[00:01:19.200 - 00:01:20.200] 第三步
[00:01:20.200 - 00:01:22.120] 來加進入訂單下期
[00:01:22.120 - 00:01:22.800] 列後
[00:01:22.800 - 00:01:24.120] 確認訂單下期
[00:01:24.120 - 00:01:24.560] 無
[00:01:24.560 - 00:01:26.600] 再次點擊對你的支付按鈕
[00:01:26.600 - 00:01:27.200] 其可
[00:01:27.200 - 00:01:28.200] 全款訂單
[00:01:28.200 - 00:01:29.200] 點擊配置
[00:01:29.200 - 00:01:29.800] 出款
[00:01:29.800 - 00:01:30.800] 點擊配置
[00:01:30.800 - 00:01:31.600] 收P門
[00:01:31.600 - 00:01:32.700] 微款點擊
[00:01:32.700 - 00:01:34.200] TaybanenSpanel
[00:01:34.200 - 00:01:36.000] 接下來我們看第二步
[00:01:36.000 - 00:01:37.200] 支付方式
[00:01:37.200 - 00:01:39.000] 目前我們的太險交易
[00:01:39.000 - 00:01:40.000] 支持的多種
[00:01:40.000 - 00:01:41.000] 支付方式
[00:01:41.000 - 00:01:42.400] 包括卡軍副
[00:01:42.400 - 00:01:43.000] Pedro
[00:01:43.000 - 00:01:43.500] Metro
[00:01:43.500 - 00:01:44.000] Pedro
[00:01:44.000 - 00:01:44.500] Pedro
[00:01:44.500 - 00:01:45.500] 銀行轉帳
[00:01:45.500 - 00:01:47.500] 以及無種本地支付方式
[00:01:47.500 - 00:01:49.500] 這裡需要特別說明的是
[00:01:49.500 - 00:01:50.300] 交易訂單
[00:01:50.300 - 00:01:52.000] 增為STS訂單和
[00:01:52.000 - 00:01:53.100] 安心收訂單
[00:01:53.100 - 00:01:55.700] 他們在支付方式上有所不同
[00:01:55.700 - 00:01:56.800] STS訂單
[00:01:56.800 - 00:01:57.400] 包括
[00:01:57.400 - 00:01:58.420] 快節出口和
[00:01:58.420 - 00:02:00.500] 自營出口兩種出口方式
[00:02:00.500 - 00:02:01.800] 快節出口方便
[00:02:01.800 - 00:02:03.300] 無論是全款訂單
[00:02:03.300 - 00:02:04.800] 還是所謂款訂單
[00:02:04.800 - 00:02:06.000] 所有支付方式
[00:02:06.000 - 00:02:07.000] 均均持
[00:02:07.000 - 00:02:08.300] 自營出口方便
[00:02:08.300 - 00:02:09.300] 訂單進俄
[00:02:09.300 - 00:02:10.300] 小雨等雨
[00:02:10.300 - 00:02:11.500] 8000美金式
[00:02:11.500 - 00:02:13.500] 支持所有支付方式
[00:02:13.500 - 00:02:15.500] 金俄超過8000美金式
[00:02:15.500 - 00:02:17.300] 僅支持銀行轉帳
[00:02:17.300 - 00:02:18.900] 和無種本地支付
[00:02:18.900 - 00:02:20.300] 安心收訂單
[00:02:20.300 - 00:02:21.300] 僅包含
[00:02:21.300 - 00:02:23.500] 自營出口一種出口方式
[00:02:23.500 - 00:02:24.100] 並且
[00:02:24.100 - 00:02:25.900] 支持銀行轉帳
[00:02:25.900 - 00:02:26.900] 進行支付
[00:02:26.900 - 00:02:28.700] 首先是卡支付
[00:02:28.700 - 00:02:30.600] 卡支付支持信用卡和
[00:02:30.600 - 00:02:31.300] 儲蓄卡
[00:02:31.300 - 00:02:32.900] 在金額限制方面
[00:02:32.900 - 00:02:35.000] STS快節出口支持
[00:02:35.000 - 00:02:37.100] 小雨五千美金的卡支付
[00:02:37.100 - 00:02:38.500] 自營出口支持
[00:02:38.500 - 00:02:40.500] 小雨當千美金的卡支付
[00:02:40.500 - 00:02:43.900] 在支付時需要輸出卡的限定
[00:02:43.900 - 00:02:44.700] 卡號
[00:02:44.700 - 00:02:47.300] 以及CBC過CBB安全
[00:02:47.300 - 00:02:49.300] 也就是一般在卡背面
[00:02:49.300 - 00:02:51.300] 可以查看到的三位數字
[00:02:51.300 - 00:02:52.500] 需要注意的是
[00:02:52.500 - 00:02:54.100] 通過卡支付的訂單
[00:02:54.100 - 00:02:56.300] 貴金額平台空線生活
[00:02:56.300 - 00:02:57.700] 如果整個未通過
[00:02:57.700 - 00:02:59.300] 訂單將會未關閉
[00:02:59.300 - 00:03:01.300] 接下來是前包支付
[00:03:01.300 - 00:03:03.300] 支持三種電子前包
[00:03:03.300 - 00:03:03.900] 配包
[00:03:03.900 - 00:03:05.500] 配包配合不夠配
[00:03:05.500 - 00:03:07.900] 買家點擊對應的前包選項後
[00:03:07.900 - 00:03:09.900] 需要登幕自己的前包照顧
[00:03:09.900 - 00:03:11.300] 完成支付
[00:03:11.300 - 00:03:14.100] 買家點擊對應的前包選項後
[00:03:14.100 - 00:03:15.900] 需要登入自己的前包照顧
[00:03:15.900 - 00:03:16.700] 完成支付
[00:03:16.700 - 00:03:18.100] 金額限制方面
[00:03:18.100 - 00:03:21.300] STS快節出口支持小雨五千美金
