# 3.如何设置运费模板

language=zh
language_probability=1.000
model=tiny

[00:00:00.180 - 00:00:03.940] 大家好,这里是中国之造王交易运步
[00:00:03.940 - 00:00:09.140] 很高兴,今天和大家一起分享关于运费模板的试诺
[00:00:09.140 - 00:00:14.260] 我们先来看一下运费模板试诺的概念或者是定义
[00:00:14.260 - 00:00:17.860] 大家可以通俗的理解为同样的一个户物
[00:00:17.860 - 00:00:20.140] 送到全球不同的国家
[00:00:20.140 - 00:00:22.580] 并不同的运输方式去运输
[00:00:22.580 - 00:00:26.300] 那最终的运费的价格是有差异的
[00:00:26.300 - 00:00:30.500] 那对于共产来说,如果提前做好准备工作
[00:00:30.500 - 00:00:34.500] 让全球不同的买家能够看到自己
[00:00:34.500 - 00:00:38.980] 对于国家的运费以及对于的运输时效呢
[00:00:38.980 - 00:00:41.300] 这就是运费模板的试诺
[00:00:41.300 - 00:00:43.940] 大家可以看到,运模板设置
[00:00:43.940 - 00:00:47.020] 总体分为两大部种第一大部种
[00:00:47.020 - 00:00:49.740] 是把运费模板提前设置好
[00:00:49.740 - 00:00:52.620] 第二大部种是在产品的边级眼
[00:00:52.620 - 00:00:55.740] 选择已经提前设置好的
[00:00:55.740 - 00:01:01.780] 运费模板,试诺好之后能够呈现出来的具体效果
[00:01:01.780 - 00:01:03.100] 是什么样子呢?
[00:01:03.100 - 00:01:07.260] 也就是国外的买家,在前台能够看到的
[00:01:07.260 - 00:01:10.460] 这个星期是什么样子呢?我们来看一下
[00:01:10.460 - 00:01:14.700] 这当图是共云商提前试诺好了运费模板
[00:01:14.700 - 00:01:17.220] 在前台大家可以直观的看到
[00:01:17.220 - 00:01:21.020] 能够看到对于的国家的运费的金额
[00:01:21.020 - 00:01:24.020] 以及选择的物流运输方式
[00:01:24.020 - 00:01:27.580] 把如果共云商选得了多个物流运输方式
[00:01:27.580 - 00:01:33.300] 点开小三角之后也可以看到其他的物流运输方式
[00:01:33.300 - 00:01:37.300] 共买家进行选择,比如说当前选择的是UPS
[00:01:37.300 - 00:01:40.300] 如果共云商同时也设置了
[00:01:40.300 - 00:01:45.780] 叠决要搬来个词,那他可以买对于买家来说,他有共多的选择
[00:01:45.780 - 00:01:48.180] 那同时也能够看到
[00:01:48.180 - 00:01:52.660] 送打的时间也就是买家对十笑的这个了解
[00:01:52.660 - 00:01:56.740] 如果买家对这条产品信息本身很感兴趣
[00:01:56.740 - 00:01:59.700] 而且在运输的运费金额
[00:01:59.700 - 00:02:02.980] 运输方式以及时间都比较买一的情况下
[00:02:02.980 - 00:02:06.580] 那他就可以直接点起买那进行下单了
[00:02:06.580 - 00:02:08.740] 那相对于传统的
[00:02:08.740 - 00:02:10.980] 没有甚至运费模板的产品来说
[00:02:10.980 - 00:02:15.220] 他就解去了,完蛋双方多次沟通确认的过程
[00:02:15.220 - 00:02:18.820] 比如说沟通确认,适合包园,运费多少钱
[00:02:18.820 - 00:02:23.060] 你什么的于是方式,运输以及多久可以送打等等
[00:02:23.060 - 00:02:27.340] 这样的话从来就提高了买卖双方
[00:02:27.340 - 00:02:29.540] 定单转化的一个效率
[00:02:29.540 - 00:02:35.140] 既然运费模板的这个试诺能够有如此大的作用
[00:02:35.140 - 00:02:38.900] 接下来我们就看一下具体如何试诺
[00:02:38.900 - 00:02:42.740] 首先看一下运费模板试诺的操作路径
[00:02:42.740 - 00:02:46.260] 实在更商的操作互台交易板块
[00:02:46.260 - 00:02:48.060] 点开于《并模板管理》
[00:02:48.060 - 00:02:52.340] 大家可以因入业联看到的是《广方运费模板试诺》
[00:02:52.340 - 00:02:55.220] 在《广方运费模板试诺》的基础上
[00:02:55.220 - 00:03:00.620] 也可以公于商自己去新建自第一的《广方运费模板》
[00:03:00.620 - 00:03:03.860] 试诺的全现了《广方试公约商的主张户》
[00:03:03.860 - 00:03:06.460] 以及有商机关系全现的自助户
[00:03:06.460 - 00:03:10.260] 接下来我们就主意看一下《广方运费模板试诺》
[00:03:10.260 - 00:03:15.060] 以及《新建运费模板试诺》操作的细节说明
[00:03:15.060 - 00:03:18.700] 《广方运费模板试诺》大家可以通俗的理解为
[00:03:18.700 - 00:03:22.420] 中国知道往本身可以给《广方运费模板试诺》
[00:03:22.420 - 00:03:30.660] 关于《广方的《广方运费模板试诺》的时候是自动选择了功
[00:03:30.660 - 00:03:35.420] 中国知道已经提供了《广方运费模板试诺》的物流运费成为商
[00:03:35.420 - 00:03:41.220] 然后在《西夏眠的国家地区试诺》上和《新建运费模板试诺》是同样的
[00:03:41.220 - 00:03:44.500] 这个时候《广方运费模板试诺》可能会有一个疑问
[00:03:44.500 - 00:03:48.340] 中国知道往给大家提供了《广方运费模板试诺》
[00:03:48.340 - 00:03:53.540] 《广方运费模板试诺》也有现象合作的户代或者成运费
[00:03:53.540 - 00:03:57.580] 现在《广方运费》它的实效怎么样
[00:03:57.580 - 00:04:03.660] 下个总要的这个时候我们在《广方运费试诺》的计划期
[00:04:03.940 - 00:04:08.660] 点开《《广方运费试诺》》就进入《广方运费试诺》的结土的见面
[00:04:08.660 - 00:04:15.900] 也就是《广方运费诺》的《广方运费诺》的争计物流给大家可以有现象的一个查询价格十效的
[00:04:15.900 - 00:04:21.580] 等一个功能比如说我同样是一票货,十二公斤,送到美国去
[00:04:21.580 - 00:04:27.740] 我线下的货义会给我报一个广方运费的价格比如说《快地试诺》的好钱
[00:04:27.740 - 00:04:31.060] 空運到美食都好錢 海運到美食都好錢
[00:04:31.060 - 00:04:33.480] 這個時候我用同樣的戶物
[00:04:33.480 - 00:04:36.940] 在中共知道的後台也去查詢這個價格
[00:04:36.940 - 00:04:39.980] 看哪個價格上 更華算
[00:04:39.980 - 00:04:42.240] 哪個實效上更合適
[00:04:42.240 - 00:04:44.140] 這個時候如果說
[00:04:44.640 - 00:04:47.440] 根據買家的一個實際的需求
[00:04:47.440 - 00:04:49.740] 再來選擇最終的輸出方式
[00:04:49.740 - 00:04:53.740] 這是官方因為美國版設置的一個整體的情況
[00:04:53.740 - 00:04:56.840] 細節的情況大家分別主義來看一下
