# 4.订单创建流程

language=zh
language_probability=1.000
model=tiny

[00:00:00.210 - 00:00:06.770] 大家好,歡迎收看本期關於中國之道網訂單創建流程的獎勵視頻
[00:00:06.770 - 00:00:14.130] 現在,我們將詳細介紹STS交易訂單和安心收訂單的創建全流程
[00:00:14.130 - 00:00:18.570] 幫助您更安全高效的完成跨境交易
[00:00:18.570 - 00:00:23.290] 首先,我們了解一下兩種核心的訂單的一行
[00:00:23.530 - 00:00:27.610] 第一種是交易訂單,也叫STS訂單
[00:00:27.610 - 00:00:30.170] 它是一種安全單保服
[00:00:30.170 - 00:00:34.970] 能夠快速提升買買雙方的信任轉化商機
[00:00:34.970 - 00:00:39.170] 它支持快節出口和自營出口兩種方式
[00:00:39.170 - 00:00:43.010] 周房市也非常多樣包括塔之富
[00:00:43.010 - 00:00:48.090] 黑票銀行轉帳和本地支付這集種注方式
[00:00:48.090 - 00:00:54.370] 第二種是安心收訂單,它更適用於已經建立信任的買買雙方
[00:00:54.370 - 00:00:57.370] 實現快速收款的這樣一個目的
[00:00:57.370 - 00:01:00.530] 它的出口方式僅限自營出口
[00:01:00.530 - 00:01:05.970] 支付方式的話,也僅支持銀行轉帳和本地支付
[00:01:05.970 - 00:01:10.850] 接下來,我們一部一部看無何之創建訂單
[00:01:10.850 - 00:01:14.370] 第一個,進入新建訂單頁面
[00:01:14.370 - 00:01:19.370] 請用主張戶或有升機管理全線的資產戶
[00:01:19.370 - 00:01:23.130] 在後台找到交易訂單管理
[00:01:23.130 - 00:01:27.450] 新建交易訂單STS,即可以開始了
[00:01:27.450 - 00:01:32.450] 第一個,我們趁完之後,就到了第二個環節
[00:01:32.450 - 00:01:34.970] 是創建訂單的詳細內容
[00:01:34.970 - 00:01:38.210] 首先,我們需要確認訂單的類型
[00:01:38.210 - 00:01:43.210] 這裡如果您創建的訂單是要名單,可以在顏面的右上角
[00:01:43.210 - 00:01:48.210] 選擇開啟樣品單,一邊後續頓準確的跟緊你單
[00:01:48.210 - 00:01:57.450] 下一部,確認訂單必種,目前我們支持訂單選擇美元人民幣和歐元三個幣種
[00:01:57.450 - 00:02:00.490] 您可以和買雜圈好後選擇
[00:02:00.490 - 00:02:05.850] 這裡也要強調一下,如果選擇了人民幣或者歐元訂單的話
[00:02:05.850 - 00:02:14.370] 需要您即使關注面面上關於買家支付幣種,款項管理規則和曝覽秘種的建議
[00:02:14.370 - 00:02:17.930] 您免後續訂單產生和規風險
[00:02:17.930 - 00:02:22.930] 在下面,您繼續填寫買家身份清洗和睡物清洗
[00:02:22.930 - 00:02:29.730] 這裡請務必按照買家的真實清洗,買家遊箱必須要準確
[00:02:29.730 - 00:02:34.010] 同時的話,這個遊箱使用來接受訂單清洗的
[00:02:34.010 - 00:02:42.970] 收獲地址是獲得運輸、地址,這裡一定要按照實際,您這邊獲得運送到的地址來填寫
[00:02:42.970 - 00:02:46.770] 上單地址可以默認與收獲地址保持一致
[00:02:46.770 - 00:02:53.050] 如果買家,專門提供的話,您也可以填寫買家對應的張南地址信息
[00:02:53.050 - 00:03:03.050] 這個地址平台將用於風險交驗,至於睡物清洗,就是要您提供買家對應公司的注射信息
[00:03:03.050 - 00:03:07.650] 這一項的話,屬於您或填寫下,您可以選擇是否填寫
[00:03:07.650 - 00:03:13.770] 下面一個環節的話,就到了我們填寫產品,信息和背主這樣一個環節
[00:03:13.770 - 00:03:20.130] 您可以從已經省和通過的交易品或商機品種,選擇產品
[00:03:20.130 - 00:03:29.090] 請注意,紫張護創建定單師只能夠選擇自己名價的這個產品來填寫對應的產品信息
[00:03:29.090 - 00:03:36.890] 請您與買家確認好後仔細填寫產品的單價,處量,規格等信息
[00:03:36.890 - 00:03:46.490] 在背主信息裡可以補充合充,雙方約定的關於產品規格,交付條件,等等特出條款或者說明
[00:03:46.490 - 00:03:55.970] 最多的話,支持上傳物個附件,在下一個環節的話,就是要去圈物流星期,這也是比較重要的環節
[00:03:55.970 - 00:04:04.250] 平台提供了多種的物流方式,包括快地、海運、空運、多式連運、等等方式
[00:04:04.250 - 00:04:09.010] 如果您設置了運費模擺,系統也會自動特算出運費
[00:04:09.250 - 00:04:18.650] 運費的話,這領事指您需要向買家收取的運輸費用,您可以選擇平台物流進行查價來測任運費
[00:04:18.650 - 00:04:25.410] 當然,您也可以自行引擁,您現象的物流公司溝通具體的費用信息後來提醒
[00:04:25.410 - 00:04:30.850] 如果無論是需要買家收取運費的話,這邊直接提醒領就可以了
[00:04:30.930 - 00:04:38.490] 保險費一般是,提醒物流保險的費用,如果無需向買家收取的話,直接提醒領就可以了
[00:04:38.490 - 00:04:43.650] 下一項是比較重要的約定發貨是7這項
[00:04:43.650 - 00:04:55.930] 這項的話,您必須嚴格執行,您可以選擇在收到預付款,或者微款後一段時間可以選擇,指定發貨是7進發貨
[00:04:55.930 - 00:05:09.410] 如果後續,因為您沒有按照定單理選擇發貨是7,按時發貨的話,如果發生投搜化,我們會按照您定單的貧血日期進行判則
[00:05:09.410 - 00:05:12.330] 所以說,您一定要去嚴格執行
[00:05:12.330 - 00:05:16.930] 最後一項的話,就是我們貧血的貌易數語
[00:05:16.930 - 00:05:24.330] 貌易數語的話,您可以去參考驗面上提供負於解釋的圖片選擇合適的數語
[00:05:24.330 - 00:05:30.930] 貌易數語是用來約束定單交付過程中,買賣雙方的責任和藝物
[00:05:30.930 - 00:05:39.130] 如果後續發生了貌易優分,貌易數語將作為重要的依據進行判則,您一定要仔細提醒
[00:05:39.130 - 00:05:48.130] 到了下一項的款節,就是我們確認定單的出口方式,我們平台目前提供了兩種出口方式的選項
