# 5.订单报价流程

language=zh
language_probability=1.000
model=tiny

[00:00:00.880 - 00:00:06.280] 大家好,欢迎来到中国製造宝,在现交易系列课程。
[00:00:06.280 - 00:00:11.280] 今天我们将为大家,想谢介绍,定单爆价流程。
[00:00:11.280 - 00:00:17.680] 当主大家掌握,快速小银买家一家,准确完成爆价的方法。
[00:00:17.680 - 00:00:21.280] 现在,让我们开始重视内容。
[00:00:21.280 - 00:00:28.480] 当买家发起一家定单后,共一商需要即使进行爆价,会取消拆作。
[00:00:28.880 - 00:00:39.080] 爆价入口味于,微欧意面,交易,交易定单管理,代爆价列表,点击极可查看并确认爆价。
[00:00:39.080 - 00:00:48.680] 请注意,只有主帐号以及开通了交易全线,明下负责产品的字帐号才能收到意价定单同职。
[00:00:48.680 - 00:00:55.880] 除了在平台内看到定单,您还会通过短信和有件收到提醒。
[00:00:55.880 - 00:01:00.080] 第一步,请先确认产品信息和背助。
[00:01:00.080 - 00:01:05.480] 仔细核对产品的单价,数量,SQ规格,等信息。
[00:01:05.480 - 00:01:13.480] 无语我不确定之处,建议通过有件,TM消息,或电话于买家锅通确认,
[00:01:13.480 - 00:01:24.480] 背主欄可以衣服充和同内容,双方约定的特殊调款,产品要求等重要信息,最多支持上传,五个四件。
[00:01:24.880 - 00:01:34.080] 第二步,确认物流信息,无流方式支持快地,多是连运,海运,空运,路运,有传的。
[00:01:34.080 - 00:01:45.280] 如果您以赦制运费模板,系统会自动侧算运费,运费和保险费,如果不需要收取,可以直接贴贴铁铁。
[00:01:45.480 - 00:01:57.280] 发货时间请物币言格之下,避免贸易风险,您可以选择,欲付款道账,为款道账后发货,或者制定具体日期法获。
[00:01:58.680 - 00:02:03.080] 贸易数语请根据您与买家的实际越定进行选择。
[00:02:04.280 - 00:02:14.880] 第三步,确认出口方式,平台提供两种出口方式,自应出口是使用供领商,公司自身的台头进行暴关。
[00:02:15.280 - 00:02:29.680] 需要自行,或委托扮理暴关退税等手续。不限制定单金项,或款只能体限制境内对工转户,发货后,学校停台提交,物流停证和暴关单。
[00:02:30.280 - 00:02:41.880] 快节出口,仅是用于5,000美金及以下的定单,可自主选择暴关方式,或款和体限制对工转户或法人个人转户。
[00:02:41.880 - 00:02:44.880] 发货后,需要提交物流平证。
[00:02:45.880 - 00:02:58.280] 第四步,确认负款信息和制保验货服务,负款信息可根据实际越定运过甜蟹,与负款坚项,需不定于0.5美元。
[00:02:58.280 - 00:03:14.280] 至保验货是可选服务,若于买家鞋商一致,选择此项,费用有买家支付到平台,不记入定单总价,买家支付后,平台会连信你根据辩货进度。
[00:03:14.280 - 00:03:24.280] 报价完成后,有一个非常方便的功能,您可以负质负款练接,直接发送给买家,方便对方外素负款。
[00:03:25.280 - 00:03:35.280] 操作很简单,体交定单后,点击。负质负款练接,即可通过,再线聊天,或有件,发送给买家。
[00:03:37.690 - 00:03:40.690] 买家打开练接后,可以看到多种支付方式。
[00:03:40.690 - 00:03:48.690] 义是一行转仗,买家需要登陆战号才能查看说款仗户信息,二十卡支付。
[00:03:49.690 - 00:03:53.690] 请注意,资赢出后定单不支持此支付方式。
[00:03:54.690 - 00:03:58.690] 三十赢赢不支持。请注意,赢出后定单同样不支持。
[00:03:59.690 - 00:04:05.690] 资赢本地支付,支持包括奥总,TSE,Oxo等,多种方式。
[00:04:06.690 - 00:04:08.690] 具体可参逃,买冒一家支南。
[00:04:09.690 - 00:04:12.690] 以上就是定单爆价流程的详细介绍。
[00:04:13.690 - 00:04:17.690] 希望本课程能帮助您更顺常的处理定单爆价。
[00:04:18.690 - 00:04:29.690] 如果您在操作中,必须让任何问题,欢迎通过交易服务中心业面的,再线客服务,或通过业面上的联系方式,联系我们,感谢大家的观看。再见。
