# 7.取消订单流程

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:04.500] 大家好,欢迎来到中国装备装宝交易系列赋球球
[00:00:04.500 - 00:00:08.500] 今天的科学内容是在现交易举挑点男友场
[00:00:08.500 - 00:00:13.000] 一将我们在现交易片段举行对应该进行可能活的数量
[00:00:13.000 - 00:00:18.500] 关于电端修改可以常跑在现交易电端修改流程对应该的科球
[00:00:18.500 - 00:00:21.500] 除此之外我们还可以举小点男
[00:00:21.500 - 00:00:29.500] 如果我们遇到这种情况,咱们加小灯后逛上没办法连新方买家或者是出现了其他的一场情况
[00:00:29.500 - 00:00:31.500] 就是要取小点男
[00:00:31.500 - 00:00:37.500] 那么我们先来看一下在哪些情况下是我们自己可以取小点男的
[00:00:37.500 - 00:00:43.500] 政府有数说买买雙方在哪些电端状态下是可以自发的其小点男
[00:00:43.500 - 00:00:49.500] 当电端状态为代报将是紧信、一家电端买家端是不可以取小的
[00:00:49.500 - 00:00:51.500] 关上商端可以取小
[00:00:51.500 - 00:00:56.500] 当电端状态为不还向代收起或者是买家代捲人是
[00:00:56.500 - 00:01:01.500] 一时所有的电端买家端我会让商端都可以取小
[00:01:01.500 - 00:01:06.500] 当电端状态是在法火时也是支持所有的电端
[00:01:06.500 - 00:01:11.500] 买家端可以通过推法上下法次,关上端责不可能取小
[00:01:11.500 - 00:01:16.500] 当电端状态为法火时就是所有的电端内型
[00:01:16.500 - 00:01:22.500] 买家端在确认说过后的三天内都可以不过推款申请取小的电端
[00:01:22.500 - 00:01:24.500] 而关上端就可以取小
[00:01:24.500 - 00:01:28.500] 这不我们将来看一下具体的操作流程
[00:01:28.500 - 00:01:31.500] 首先关上上回取小电端的情况
[00:01:31.500 - 00:01:34.500] 一个是立下电端报价师
[00:01:34.500 - 00:01:37.500] 在关上没有互台
[00:01:37.500 - 00:01:40.500] 交易电端和买力代报价通单中
[00:01:40.500 - 00:01:43.500] 找到需要取小的电端
[00:01:43.500 - 00:01:44.500] 点击取小报价
[00:01:44.500 - 00:01:47.500] 选择取小的原因并取小
[00:01:47.500 - 00:01:49.500] 就可以取小就比电端
[00:01:49.500 - 00:01:52.500] 关于商取小电端的情况是电端
[00:01:52.500 - 00:01:54.500] 把小带出此时
[00:01:54.500 - 00:01:56.500] 在交易电端管理
[00:01:56.500 - 00:01:59.500] 在把小带出此的电端中
[00:01:59.500 - 00:02:01.500] 可以找到需要取小的电端
[00:02:01.500 - 00:02:04.500] 关键选状修改电端
[00:02:04.500 - 00:02:07.500] 在下面会谈出取小电端的选项
[00:02:07.500 - 00:02:08.500] 点击取小电端
[00:02:08.500 - 00:02:11.500] 选择取小的原因就可以取小
[00:02:11.500 - 00:02:13.500] 便取小自体电端
[00:02:14.500 - 00:02:16.500] 最后我们再来看一下
[00:02:16.500 - 00:02:18.500] 买家无法取小电端
[00:02:18.500 - 00:02:20.500] 在买家的后台
[00:02:20.500 - 00:02:22.500] 成绩成绩
[00:02:22.500 - 00:02:24.500] 买Alters查看图比可送的
[00:02:24.500 - 00:02:28.500] 和配弄安啥图的这两种电端内向
[00:02:28.500 - 00:02:30.500] 找到需要取小的电端
[00:02:30.500 - 00:02:32.500] 关键选状
[00:02:32.500 - 00:02:33.500] 会快速为为人
[00:02:33.500 - 00:02:36.500] 下面会谈出一个很搜
[00:02:36.500 - 00:02:39.500] Alter选择取小原因就可以取小
[00:02:39.500 - 00:02:43.500] 你上就是关于小电端流程
[00:02:43.500 - 00:02:44.500] 一个将军
[00:02:44.500 - 00:02:46.500] 如果你还有其他问题请
[00:02:46.500 - 00:02:48.500] 关键选择点细握
