# 10.证书验真与品质关联

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:03.060] 位於中國之外往的會員,大家好
[00:00:03.060 - 00:00:05.380] 本次課程將為大家講解
[00:00:05.380 - 00:00:12.270] 證書驗證和品質連證相關的服務和功能
[00:00:12.270 - 00:00:15.770] 這裡將從四部分展開為大家詳細介紹
[00:00:15.770 - 00:00:23.590] 包括品質連證,證書驗證服務、證書管理功能和FACO總結
[00:00:23.590 - 00:00:29.910] 第一部分,品質連證,為什麼需要共產會員做品質連證之間使
[00:00:29.910 - 00:00:31.970] 我們總買加測刊
[00:00:31.970 - 00:00:37.350] 部分買加和專業的採用商,對共產商專業證書有明確的需求
[00:00:37.350 - 00:00:42.470] 在塑索早平的過程中只看有特殊政府的企業和產品
[00:00:42.470 - 00:00:48.370] 比如說歐盟市產版買加,電子皆系行業對於CE證書的要求
[00:00:48.370 - 00:00:52.970] 美國市堂的買加對於FCC證書的要求
[00:00:52.970 - 00:00:59.370] 從光商侵看,很多企業非常中心打造企業企業的產品優勢
[00:00:59.370 - 00:01:04.490] 是此將產品送往檢測機構內政變貨的任何
[00:01:04.490 - 00:01:09.350] 平台將驗證通過的證書副宇專屬標實
[00:01:09.350 - 00:01:14.850] 並進一步與產品管理展示出企業和產品插語化的優勢
[00:01:14.850 - 00:01:21.130] 一步一步因得買加的信任,其身,商機轉化
[00:01:21.130 - 00:01:27.530] 我們去看一下,驗證通過的證書目前在平台打起一面呈現
[00:01:27.530 - 00:01:32.650] 首先,它會獲得平台的專屬標實,玩意外的
[00:01:32.650 - 00:01:39.050] 在展示聽中,因選擇硬證通過的證書使它是明顯區分於
[00:01:39.050 - 00:01:43.010] 未通過驗證的證書的
[00:01:43.010 - 00:01:51.710] 其次,硬證通過的產品證書,成功關聯產品之後會展示在產品搜索結果也和產品相顯
[00:01:51.710 - 00:01:58.370] 我們可以看到在公司民證後方會有相應的產品證書呈現出來
[00:01:59.370 - 00:02:07.590] 這裡最多透傳三個產品證書,在產品相顯業的產品民證下方也會呈現出對應的證書
[00:02:07.590 - 00:02:10.910] 解析證書logo會看到詳細的證書
[00:02:10.910 - 00:02:12.590] 內容
[00:02:12.590 - 00:02:16.800] 那什麼社證書驗證呢?
[00:02:16.800 - 00:02:25.660] 證書驗證是由平台委託的國際權威機三方機構比如說SIS專為高級委員延遣定者
[00:02:25.660 - 00:02:29.000] 為了確保共一項的證書真是有效
[00:02:29.260 - 00:02:34.120] 證書一旦通過驗證將按照平台的規則及於一展示
[00:02:34.120 - 00:02:41.040] 目前只指驗定的證書類型主要包括管理體系證書、產品證書、專利、商標
[00:02:41.040 - 00:02:49.980] 這裡我們需要注意一下管理體系證書僅只指驗證公司自由證書其他三類證書可以
[00:02:49.980 - 00:02:53.080] 驗證受選使用的證書
[00:02:57.160 - 00:02:59.520] 那我們看一下證書驗證服務
[00:03:00.280 - 00:03:07.700] 當你需要有驗證的證書時首先你需要在展示侵內上傳完整的證書信息
[00:03:07.700 - 00:03:11.040] 之後選擇該證書進行其交證證
[00:03:11.040 - 00:03:14.620] 其交時你需要具有相應的證書證書
[00:03:15.640 - 00:03:17.120] 其交成功之後
[00:03:17.120 - 00:03:18.720] 第三方進行驗證
[00:03:18.720 - 00:03:22.560] 五個工作日之後就可以查看現在的驗證結果
[00:03:23.320 - 00:03:29.400] 功能上線出期我們為2024年在院的公民商免費證於五次
[00:03:29.400 - 00:03:30.500] 驗證服務
[00:03:31.260 - 00:03:32.800] 證五次驗證服務
[00:03:32.800 - 00:03:34.600] 使用於消息三個月
[00:03:34.600 - 00:03:36.140] 如果說您
[00:03:36.380 - 00:03:39.340] 證五次服務全部用完了已經沒有
[00:03:39.340 - 00:03:42.640] 相應的服務驗證似說但是這時候你還有
[00:03:42.640 - 00:03:45.340] 證書需要驗證的話可以到
[00:03:45.340 - 00:03:47.520] 萬貌服務市場進行購買
[00:03:47.520 - 00:03:50.980] 以次服務對應一個證書五十元以次
[00:03:51.440 - 00:03:54.300] 購買的驗證服務使用於消息一個月
[00:03:55.080 - 00:03:56.600] 驗證服務一旦使用
[00:03:56.600 - 00:03:59.340] 平台是不接受任何顯示的退款心情
[00:04:00.700 - 00:04:02.240] 這裡我們需要注意一下
[00:04:02.760 - 00:04:04.800] 當您有需要的時候再去購買
[00:04:06.950 - 00:04:08.990] 我們看一下證書驗證的規則
[00:04:11.080 - 00:04:14.400] 這裡需要大家一定要仔細地看一下
[00:04:14.660 - 00:04:17.980] 避免浪費服務驗證的次數
[00:04:18.760 - 00:04:19.520] 第一
[00:04:19.520 - 00:04:21.820] 請其交真實有效的證書
[00:04:22.540 - 00:04:24.880] 請其交有效侵的證書
[00:04:25.140 - 00:04:27.200] 搬著時間最好是在五年內
[00:04:27.460 - 00:04:28.720] 搬著時間過早
[00:04:28.720 - 00:04:30.020] 等無法查循到
[00:04:30.020 - 00:04:31.300] 辦法證書的記錄
[00:04:31.800 - 00:04:32.320] 第三
[00:04:32.580 - 00:04:34.360] 發生機構需要符合資訊
[00:04:34.620 - 00:04:37.440] 且能夠在官網查循到真實有效的報告
[00:04:37.700 - 00:04:38.460] 一次
[00:04:38.720 - 00:04:42.560] 證書名稱證書編號需要於上盤證書保持一致
[00:04:42.820 - 00:04:44.340] 證書上的公司名稱
[00:04:44.340 - 00:04:45.880] 與網站名稱一致
[00:04:46.140 - 00:04:47.420] 中文的或者是英文的
[00:04:47.680 - 00:04:48.960] 軍需保持一致
[00:04:49.220 - 00:04:50.500] 證書業所完整
[00:04:51.820 - 00:04:53.700] 我管理其其證書
[00:04:53.700 - 00:04:55.620] 緊織持自由政府的印證
[00:04:55.620 - 00:04:56.720] 證書證書
[00:04:56.720 - 00:04:58.620] 關於商標和接受數據
[00:04:58.620 - 00:04:59.760] 但是需要提高
[00:04:59.760 - 00:05:01.040] 提交數據資料
[00:05:01.540 - 00:05:04.020] 數據人和背數據人需要有合作
[00:05:04.020 - 00:05:05.380] 或者是關聯關係
[00:05:05.640 - 00:05:07.180] 提交好平常會判斷
[00:05:07.180 - 00:05:08.720] 數據關聯師傅成立
[00:05:09.220 - 00:05:10.260] 這個數據模板
[00:05:10.260 - 00:05:13.060] 我們在上盤證書的時候也可以去下載
[00:05:13.060 - 00:05:15.580] 下載上來去前行回傳到
[00:05:15.880 - 00:05:17.160] 對應的顏面
[00:05:17.420 - 00:05:18.160] 6
[00:05:18.160 - 00:05:20.560] 證書管理其其證書的印證範圍
[00:05:20.560 - 00:05:22.060] 是指上盤證書史
[00:05:22.060 - 00:05:24.060] 加上方面假設的證書名稱
[00:05:24.460 - 00:05:26.880] 請上標和專利需要在國家
[00:05:26.880 - 00:05:28.560] 知識產權級能查取
[00:05:28.560 - 00:05:29.960] 顯示有效狀態
[00:05:30.220 - 00:05:31.660] 所以說上盤之前
[00:05:31.660 - 00:05:33.120] 請公司商朋友物幣
[00:05:33.120 - 00:05:34.060] 自行查取一下
[00:05:35.080 - 00:05:35.860] 8
[00:05:36.100 - 00:05:37.640] 數據的專利證書
[00:05:38.140 - 00:05:39.960] 需要將專利元件和
[00:05:39.960 - 00:05:42.240] 數據書發在一起拍照上傳
[00:05:42.760 - 00:05:43.280] 9
[00:05:43.520 - 00:05:44.560] 同一個證書
[00:05:44.560 - 00:05:46.080] 請不要重複幾角
[00:05:46.280 - 00:05:48.280] 多個證書請分開幾角
[00:05:48.680 - 00:05:49.540] 實在目前
[00:05:49.540 - 00:05:52.480] 顏面真的是國際通用標準證書
[00:05:52.480 - 00:05:54.080] 國內標準證書
[00:05:54.080 - 00:05:54.480] 散布
[00:05:54.480 - 00:05:55.280] 顏面真
[00:05:55.280 - 00:05:56.480] 請物體交
[00:05:57.480 - 00:05:58.880] 大家已經在提交
[00:05:58.880 - 00:06:00.480] 顏面之前仔細去看一看
[00:06:00.480 - 00:06:01.480] 顏面規則
[00:06:01.480 - 00:06:02.480] 並免繞粉
[00:06:02.480 - 00:06:03.880] 顏面覆刺數
[00:06:06.080 - 00:06:07.380] 接下來第三部分
[00:06:07.380 - 00:06:09.880] 主要就是證書管理功能的操作者
[00:06:10.680 - 00:06:12.780] 本次證書管理做了一些
[00:06:12.780 - 00:06:13.980] 優化升級
[00:06:13.980 - 00:06:15.880] 首先證書管理入考
[00:06:15.880 - 00:06:16.680] 我們
[00:06:17.080 - 00:06:18.880] 現在把它移到了
[00:06:19.280 - 00:06:21.280] 展示聽管理認證資訊
[00:06:21.280 - 00:06:22.680] 綜合認證管理證理
[00:06:23.280 - 00:06:25.680] 之前是在修改公司下方
[00:06:26.080 - 00:06:28.480] 比較入口比較隱蔽
[00:06:28.480 - 00:06:30.080] 現在我們把它提出來
[00:06:30.080 - 00:06:31.680] 放在管理認證資訊
[00:06:31.680 - 00:06:33.080] 綜合認證管理證一句話
[00:06:33.480 - 00:06:34.480] 然後聽見的證書
[00:06:34.480 - 00:06:36.080] 是按照清價時間
[00:06:36.080 - 00:06:37.080] 造取盤鍊
[00:06:39.540 - 00:06:41.940] 然後目前的證書內閒文化
[00:06:41.940 - 00:06:43.340] 發生成三檔化
[00:06:46.340 - 00:06:47.940] 一塊水認證檢測了
[00:06:48.140 - 00:06:49.940] 主要包括產品證書
[00:06:50.340 - 00:06:53.140] 陳寧解策報告管理其其證書
[00:06:53.340 - 00:06:54.940] 要化是支持產權內
[00:06:55.140 - 00:06:57.140] 我要包括專利
[00:06:57.540 - 00:06:59.540] 商標、軟件註做權
[00:06:59.740 - 00:07:01.940] 其他的像行業自治證書
[00:07:01.940 - 00:07:04.740] 由於證書都可以放到其他證書裡面
[00:07:10.460 - 00:07:11.660] 新功能上限之後
[00:07:11.660 - 00:07:13.460] 原有證書會突破過來
[00:07:13.660 - 00:07:15.460] 我們會按照證書內閒文體
[00:07:15.460 - 00:07:17.460] 推到新管理念念
[00:07:17.460 - 00:07:19.060] 如果無法提推到證書
[00:07:19.060 - 00:07:21.060] 和統一規列到其他裡面
[00:07:22.060 - 00:07:24.460] 共一商可以完善證書
[00:07:25.460 - 00:07:26.660] 再提到其他信心
[00:07:28.460 - 00:07:29.460] 同時這次功能
[00:07:29.460 - 00:07:32.460] 我們對RBugon內有效證書做了同步
[00:07:33.260 - 00:07:37.260] 您可以在Witch Office 看到您在RBugon裡已經
[00:07:38.260 - 00:07:39.660] 做過驗證的證書
[00:07:40.660 - 00:07:41.860] 這裡主要包括
[00:07:43.260 - 00:07:44.260] 管理其其證書
[00:07:44.260 - 00:07:46.260] 產品證書專利和商標
[00:07:46.260 - 00:07:47.540] 讓我們具體看一下
[00:07:47.540 - 00:07:49.660] RBugon內證書同步的說明
[00:07:50.060 - 00:07:51.260] 他的同步條件是
[00:07:51.260 - 00:07:53.060] 近三年的RBugon
[00:07:53.060 - 00:07:55.260] 且證書在有效侵內
[00:07:55.260 - 00:07:57.260] 同步的證書內行主要包括
[00:07:57.260 - 00:07:58.260] 管理其其證書
[00:07:58.260 - 00:08:00.660] 產品證書專利和商標
[00:08:00.660 - 00:08:03.060] 同步後證書會非為
[00:08:03.060 - 00:08:05.860] 會有會出現一個代版上的狀態
[00:08:05.860 - 00:08:08.260] 這時候就需要我們的工人商去
[00:08:08.260 - 00:08:10.460] 確認完善證書信息業
[00:08:11.460 - 00:08:13.260] 等於完善其交之後
[00:08:13.260 - 00:08:15.060] 會進入平台審核
[00:08:15.060 - 00:08:16.060] 審核
[00:08:16.060 - 00:08:17.660] 沒有問題
[00:08:18.460 - 00:08:20.460] 這時候證書就會呈現一個
[00:08:20.460 - 00:08:21.460] 夜真通過的狀態
[00:08:25.200 - 00:08:26.600] 好的 我們接下來看一下
[00:08:26.600 - 00:08:27.600] 如果你有信證書
[00:08:27.600 - 00:08:29.000] 如果上傳信證書
[00:08:29.800 - 00:08:31.200] 在我們的證書裏表
[00:08:31.200 - 00:08:32.600] 也上方就可以看到
[00:08:32.600 - 00:08:34.200] 上傳信證書的入口
[00:08:34.600 - 00:08:36.600] 這裡選擇上傳證書之後
[00:08:36.600 - 00:08:38.400] 首先選擇證書分組
[00:08:38.400 - 00:08:39.800] 您是上傳哪一類的
[00:08:39.800 - 00:08:41.000] 選任證簡潮類
[00:08:41.000 - 00:08:42.800] 知識產權類還是其他證書
[00:08:42.800 - 00:08:44.800] 接下來我們選擇證書類型
[00:08:45.200 - 00:08:47.000] 任證簡潮類有對應的
[00:08:47.000 - 00:08:47.800] 產品證書
[00:08:47.800 - 00:08:48.600] 產品簡潮報告
[00:08:48.600 - 00:08:50.000] 管理其器證書
[00:08:50.000 - 00:08:51.480] 接下來我們來
[00:08:52.600 - 00:08:53.400] 一
[00:08:53.400 - 00:08:54.400] 具體看一下
[00:08:54.400 - 00:08:56.800] 每類證書上傳的具體要求
[00:08:57.600 - 00:08:59.800] 首先選上傳產品證書
[00:08:59.800 - 00:09:01.800] 產品證書是由專業
[00:09:01.800 - 00:09:04.400] 認證機構受益的一份全為證明
[00:09:04.400 - 00:09:05.400] 證明其言聲
[00:09:05.400 - 00:09:07.600] 產品經過特定的測驗
[00:09:07.600 - 00:09:08.800] 檢測或蘋果
[00:09:08.800 - 00:09:10.600] 達到認證機構設定的
[00:09:10.600 - 00:09:12.400] 質量標準安全規範
[00:09:12.400 - 00:09:14.600] 性能標準或手和要求
[00:09:14.600 - 00:09:17.600] 我們看到這裡有一份產品證書
[00:09:17.600 - 00:09:19.400] 首先在上傳的時候
[00:09:19.400 - 00:09:20.940] 我們需要選擇認證簡潮
[00:09:20.940 - 00:09:21.700] 產品證書
[00:09:22.600 - 00:09:24.300] 上傳這一種證書原建
[00:09:24.300 - 00:09:25.100] 證書原建
[00:09:25.100 - 00:09:26.520] 支持普遍格
[00:09:26.520 - 00:09:27.800] 普遍格
[00:09:27.800 - 00:09:29.400] 或者是TDIF的格式
[00:09:29.400 - 00:09:30.920] 索遍支持TDIF的基金
[00:09:30.920 - 00:09:31.440] 基金
[00:09:31.440 - 00:09:31.940] 基金
[00:09:31.940 - 00:09:34.600] 或者偏偏大小不要超過5張
[00:09:34.600 - 00:09:35.600] TDIF的文藏
[00:09:35.600 - 00:09:36.400] 文藏不大長
[00:09:36.400 - 00:09:37.600] 不要超過10張
[00:09:38.200 - 00:09:40.300] 這時候我們需要找到證書上的認證
[00:09:40.300 - 00:09:41.300] 主題名稱
[00:09:42.600 - 00:09:43.300] 然後
[00:09:44.500 - 00:09:46.700] 該份證書是您公司自由的
[00:09:46.700 - 00:09:47.800] 還受權使用的
[00:09:47.800 - 00:09:48.800] 選擇罪應的
[00:09:48.800 - 00:09:50.800] 選擇軍燈的證書名稱
[00:09:50.800 - 00:09:51.800] 證書名稱
[00:09:51.800 - 00:09:53.800] 我們可以在下輪後領去選擇
[00:09:53.800 - 00:09:55.800] 目前下輪後領的
[00:09:55.800 - 00:09:56.800] 證書名稱
