# 11.专场活动营销手册

language=zh
language_probability=1.000
model=tiny

[00:00:00.430 - 00:00:03.390] 中國這次往的會員朋友們大家好
[00:00:03.390 - 00:00:05.670] 我是本次課程的講師斯南
[00:00:05.670 - 00:00:08.870] 本次課程主題為專長活動力銷手策
[00:00:08.870 - 00:00:11.510] 主要為大家介紹什麼是專長活動
[00:00:11.510 - 00:00:14.630] 對於共一山來說為什麼要報名專長活動
[00:00:14.630 - 00:00:18.310] 以及報名專長活動有怎樣的影銷技巧
[00:00:18.310 - 00:00:20.670] 接下來我們一來看一下
[00:00:20.670 - 00:00:22.950] 首先什麼是專長活動呢
[00:00:22.950 - 00:00:27.790] 專長活動其實是中國這次往平台上的一種一銷活動形勢
[00:00:27.790 - 00:00:31.470] 為共一山提供一個展示和推廣產品的機會
[00:00:31.470 - 00:00:34.150] 大共一山通過參加專長活動
[00:00:34.150 - 00:00:37.030] 將資深的產品展示給更多的買家
[00:00:37.030 - 00:00:40.030] 從而增加報光度和商機機會
[00:00:40.030 - 00:00:45.470] 那刻建中為大家列明了一場活動案例大家可做參考
[00:00:45.470 - 00:00:49.550] 那對於共一山來說為什麼要報名專長活動呢
[00:00:49.550 - 00:00:51.270] 其實有兩個方面
[00:00:51.270 - 00:00:54.270] 第一個方面是為了銀河買家的需要
[00:00:54.270 - 00:00:58.350] 第二個方面就是獲得柄外的一些流量
[00:00:58.350 - 00:01:00.350] 首先是第一個方面
[00:01:00.350 - 00:01:03.030] 因為通過調言我們也能發現
[00:01:03.030 - 00:01:06.350] 受一些數字體驗的一箱一些影響
[00:01:06.350 - 00:01:10.470] 買家對於好的敲案值已經發生了重大的轉變
[00:01:10.470 - 00:01:13.750] 這就對於逼端共一山來說
[00:01:13.750 - 00:01:17.150] 對其產品和服務進行傳統輸出之外
[00:01:17.150 - 00:01:21.470] 也要去同樣實現這種曾經是參與時的一些內容
[00:01:21.470 - 00:01:27.270] 來為我們逼端買家打造這種長性化的一些構建和
[00:01:27.270 - 00:01:32.550] 銀河空間這樣才能提升資深的品牌和新精針力
[00:01:32.550 - 00:01:35.790] 因此其實目前逼端業務長性化
[00:01:35.790 - 00:01:37.990] 因此需求是不但提升的
[00:01:37.990 - 00:01:42.500] 因此基於海外採購
[00:01:42.500 - 00:01:47.500] 品類變化確實以及買家對於產品金系化需求
[00:01:47.500 - 00:01:53.020] 在家上買家對於不同長級在產品成像有更高的要求和新標準
[00:01:53.020 - 00:01:55.820] 所以中國製造網也為中國製造
[00:01:55.820 - 00:02:01.340] 一些供應商兩身定制了不同長級的展示長官
[00:02:01.340 - 00:02:06.340] 讓採購雙方能在短時間內快速的完成旋品和疲憐
[00:02:06.340 - 00:02:09.660] 有像超級出海計金秋彩加會
[00:02:09.660 - 00:02:12.740] 一戰是長金彩購多於言活動
[00:02:12.740 - 00:02:15.780] 中國品牌利行業產業旦
[00:02:15.780 - 00:02:19.260] 這樣的一些令活動大家都可以進行期待
[00:02:21.260 - 00:02:24.940] 當我們的供應商報名了專長活動之後
[00:02:24.940 - 00:02:29.940] 審核通過的一些產品機可以入住活動專題
[00:02:29.940 - 00:02:32.700] 讓我們根據實際的一些宣傳情況
[00:02:32.700 - 00:02:36.980] 會居家在中國製造網手頁的一些廣告位
[00:02:36.980 - 00:02:40.620] 以及PCD案出品段以及買家IPAA等
[00:02:40.620 - 00:02:44.780] 多許都會有對應的一些廣告投放
[00:02:44.780 - 00:02:47.540] 來幫助我們的一些專長活動商家
[00:02:47.540 - 00:02:49.780] 獲得更多的專屬流量
[00:02:51.340 - 00:02:56.340] 因此以上為甚麼供應商要報名專長活動
[00:02:56.340 - 00:02:59.940] 為了更好的活動專長活動流量
[00:02:59.940 - 00:03:04.180] 對供應商來說如何有效的參與專長活動
[00:03:04.180 - 00:03:06.780] 目前也提供了7部走
[00:03:06.780 - 00:03:12.900] 一些策略來助理供應商更有效的參與進專長活動中
[00:03:13.900 - 00:03:16.020] 關於7部走策略
[00:03:16.020 - 00:03:17.340] 包含什麼內容呢
[00:03:17.340 - 00:03:19.180] 這邊也為大家獵命了
[00:03:19.380 - 00:03:22.380] 第一部就是查看操民活動
[00:03:22.380 - 00:03:25.020] 第二部查看活動了想請要求
[00:03:25.020 - 00:03:27.700] 第三部報名符合要求的產品
[00:03:27.700 - 00:03:30.180] 第4部即時關注報名結果
[00:03:30.180 - 00:03:33.660] 第5部油化帳號等再回到上線
[00:03:33.660 - 00:03:36.800] 第六部活動期間寶持帳號和ικ
[00:03:36.800 - 00:03:39.820] 第7部活動結束進行復盤
[00:03:39.820 - 00:03:42.460] 接下來我們也一來看一看
[00:03:42.460 - 00:03:44.660] 7部走的想起的些內容
[00:03:44.660 - 00:03:48.560] 首先 初步走的第二部查看
[00:03:48.560 - 00:03:54.960] 那具体的陆境就是在我们后台引稍平台活动专场活动这个位置
[00:03:54.960 - 00:04:00.960] 可以查看平台上线的一些靠报名的一些活动内容
[00:04:00.960 - 00:04:05.360] 那这里可以跟大家分散两个活动状态的一个说明
[00:04:05.360 - 00:04:07.760] 第一个是关于无法报名
[00:04:07.760 - 00:04:11.160] 如果活动出现无法报名的灰灾案友
