# 4.前期筹备-中国制造网账号搭建筹备

language=zh
language_probability=1.000
model=tiny

[00:00:02.000 - 00:00:04.000] 通過自大碗的會員朋友們大家好
[00:00:04.000 - 00:00:06.000] 我是本次課程的講師等昆
[00:00:06.000 - 00:00:08.000] 本次課程的主要為大家講解
[00:00:08.000 - 00:00:11.000] 中國知道網站在大陸大見的籌備工作
[00:00:12.000 - 00:00:15.000] 當我們開通,中國知道網會員服務登陸到後台
[00:00:15.000 - 00:00:17.000] 準備大見的張戶的時候
[00:00:17.000 - 00:00:20.000] 最重要的籌備工作是拿記相
[00:00:20.000 - 00:00:23.000] 留下工作需要我們放在最重要的優先機
[00:00:23.000 - 00:00:26.000] 兩射著兩下載,兩射準備
[00:00:26.000 - 00:00:29.000] 兩射著是需要先射著安全手機
[00:00:29.000 - 00:00:31.000] 張戶的安全不用忽視
[00:00:31.000 - 00:00:35.000] 設置自張戶,給到自張戶共同的操作選現
[00:00:35.000 - 00:00:37.000] 張自張戶即使登陸使用
[00:00:37.000 - 00:00:40.000] 兩個下載是需要我們下載
[00:00:40.000 - 00:00:42.000] 中國知道網的兩射應用軟件
[00:00:42.000 - 00:00:46.000] 手機專的供應商案和在線聊天工具買通
[00:00:46.000 - 00:00:49.000] 這兩個軟件可以提升我們的工作效率
[00:00:49.000 - 00:00:51.000] 也能觸進我們的商機達成
[00:00:51.000 - 00:00:53.000] 最後兩射準備
[00:00:53.000 - 00:00:55.000] 醫事了解中國知道網的圖片
[00:00:55.000 - 00:00:57.000] 和視頻的要求
[00:00:57.000 - 00:01:01.000] 方便我們的提前準備好後續上傳傳頻的圖片
[00:01:01.000 - 00:01:02.000] 和視頻素材
[00:01:02.000 - 00:01:05.000] 不要我最後圖片準備好了
[00:01:05.000 - 00:01:06.000] 才發現
[00:01:06.000 - 00:01:09.000] 和中國知道網的展示要求完全不疲慨
[00:01:09.000 - 00:01:11.000] 二十要開始學習
[00:01:11.000 - 00:01:13.000] 中國知道網的操作課程
[00:01:13.000 - 00:01:15.000] 個而建議在張戶的時候
[00:01:15.000 - 00:01:19.000] 一定要先發尚一到兩天的時間學習
[00:01:19.000 - 00:01:21.000] 了解規則的細節推廣要求
[00:01:21.000 - 00:01:23.000] 才能在後續的推廣中
[00:01:23.000 - 00:01:24.000] 失敗空備
[00:01:24.000 - 00:01:29.580] 先看安全手機的設置
[00:01:29.580 - 00:01:33.580] 安全手機的功能是為了保護會員使用中國知道網的照顧安全
[00:01:33.580 - 00:01:38.580] 因為我們的旋盤信息交易信息都會在我們的張戶後來顯示
[00:01:38.580 - 00:01:43.580] 這些信息如果被到是很有可能給我們造成經濟上的損失
[00:01:43.580 - 00:01:45.580] 所以
[00:01:45.580 - 00:01:48.580] 這是我們達到一個丈夫第一步需要做的事
[00:01:48.580 - 00:01:50.580] 無論如此照顧
[00:01:50.580 - 00:01:54.580] 不要因為怕麻煩而丟掉了最重要的安全環節
[00:01:54.580 - 00:01:56.580] 等於後台
[00:01:56.580 - 00:01:58.580] 張戶中心安全服務
[00:01:58.580 - 00:02:00.580] 點擊第一把定後
[00:02:00.580 - 00:02:02.580] 在以下操作頁面
[00:02:02.580 - 00:02:04.580] 輸入需要綁定的手機號碼
[00:02:04.580 - 00:02:06.580] 點擊或許願政碼
[00:02:06.580 - 00:02:11.580] 輸入短期限政碼並保存後安全手機就綁定成功
[00:02:11.580 - 00:02:13.580] 綁定安全手機後
[00:02:13.580 - 00:02:18.580] 我們可以根據自身的需要分別起用以下的安全保護服務
[00:02:18.580 - 00:02:19.580] 登陸保護
[00:02:19.580 - 00:02:20.580] 密碼保護
[00:02:20.580 - 00:02:21.580] 有相保護
[00:02:21.580 - 00:02:25.580] 登陸保護是張戶登陸存在一場的時候
[00:02:25.580 - 00:02:27.580] 需要輸入短線限政碼
[00:02:27.580 - 00:02:29.580] 進行身份驗證才可以登陸
[00:02:29.580 - 00:02:32.580] 密碼保護是修改登陸密碼的時候
[00:02:32.580 - 00:02:34.580] 需要輸入短線限政碼
[00:02:34.580 - 00:02:35.580] 才可以進行修改
[00:02:35.580 - 00:02:38.580] 有相保護是在修改主有相的時候
[00:02:38.580 - 00:02:45.110] 需要輸入短線限政碼才可以進行修改
[00:02:45.110 - 00:02:47.110] 車子子當戶
[00:02:47.110 - 00:02:49.110] 中國知道網址是進行分枷戶的管理
[00:02:49.110 - 00:02:51.110] 在擁有一個主張戶的同時
[00:02:51.110 - 00:02:54.110] 可以在令行天家氣的子當戶
[00:02:54.110 - 00:02:57.110] 自然戶也同樣擁有獨立的
[00:02:57.110 - 00:02:58.110] 後臺操作
[00:02:58.110 - 00:03:01.110] 實現獨立於主張戶管理於主張戶
[00:03:01.110 - 00:03:06.110] 所有子當戶的同意是有主張戶負責指定的
[00:03:06.110 - 00:03:09.110] 絕色同意為業務員
[00:03:09.110 - 00:03:12.110] 主要負責處理指定的尋拍有件
[00:03:12.110 - 00:03:13.110] 以及產品的信息
[00:03:13.110 - 00:03:15.110] 相對於主張戶
[00:03:15.110 - 00:03:17.110] 自然戶在管理權信上是有所限制的
[00:03:17.110 - 00:03:20.110] 以保證部分的信息的機密性
[00:03:20.110 - 00:03:22.110] 變以我們業務的統出管理
[00:03:22.110 - 00:03:24.110] 只讓戶最少使用的兩個權限
[00:03:24.110 - 00:03:26.110] 信息管理和商機管理
[00:03:26.110 - 00:03:28.110] 可以簡單的理解為
[00:03:28.110 - 00:03:32.110] 信息管理就是子張戶可以自己去發布產品
[00:03:32.110 - 00:03:36.110] 商機管理就是子張戶自己可以去收拾拋的消息
[00:03:36.110 - 00:03:38.110] 設施的步驟
[00:03:38.110 - 00:03:39.110] 登陸到後臺
[00:03:39.110 - 00:03:40.110] 照護設置
[00:03:40.110 - 00:03:41.110] 子張戶
[00:03:41.110 - 00:03:42.110] 點擊
[00:03:42.110 - 00:03:43.110] 天家子張戶
[00:03:43.110 - 00:03:45.110] 另外
[00:03:45.110 - 00:03:46.110] 這邊也坐下提醒
[00:03:46.110 - 00:03:48.110] 子張戶在中國知道網上
[00:03:48.110 - 00:03:51.110] 是以他的遊箱去登陸到後臺
[00:03:51.110 - 00:03:53.110] 進行相關的操作
[00:03:53.110 - 00:03:55.110] 主張戶可以隨時
[00:03:55.110 - 00:03:57.110] 修改子張戶的所有信息
[00:03:57.110 - 00:04:02.440] 包括密碼
[00:04:02.440 - 00:04:03.440] 利用下載上
[00:04:03.440 - 00:04:04.440] 我們在電腦上
[00:04:04.440 - 00:04:06.440] 先下載中國知道網上
[00:04:06.440 - 00:04:07.440] 即使聊天工具
[00:04:07.440 - 00:04:08.440] 賣通
[00:04:08.440 - 00:04:09.440] 我們的平台推廣的時候
[00:04:09.440 - 00:04:10.440] 產品顏面
[00:04:10.440 - 00:04:11.440] 展示經驗面
[00:04:11.440 - 00:04:13.440] 都會有賣通的標實
[00:04:13.440 - 00:04:15.440] 買家除了給我們發送審判外
[00:04:15.440 - 00:04:18.440] 也會通過賣通來合我們聯繫
[00:04:19.440 - 00:04:21.440] 如果不想措施商機的話
[00:04:21.440 - 00:04:24.440] 就需要去及時下載通
[00:04:24.440 - 00:04:26.440] 我們收到時買後
[00:04:26.440 - 00:04:27.440] 如果買家的賣通在線
[00:04:27.440 - 00:04:29.440] 我們也可以通過賣通
[00:04:29.440 - 00:04:31.440] 賣家之間聯繫
[00:04:31.440 - 00:04:33.440] 賣通和我們後台的旋盤頁面
[00:04:33.440 - 00:04:34.440] 也是打通的
[00:04:34.440 - 00:04:36.440] 可以降低溝通成本
[00:04:36.440 - 00:04:38.440] 或去更快的公布效果
[00:04:39.440 - 00:04:41.440] 作為及時聊天工具
[00:04:41.440 - 00:04:43.440] 賣通也有非常多的使用功能
[00:04:43.440 - 00:04:44.440] 文件傳輸
[00:04:44.440 - 00:04:45.440] 多於原翻譯
[00:04:45.440 - 00:04:47.440] 視頻語音等等
[00:04:47.440 - 00:04:49.440] 下載的位置
[00:04:49.440 - 00:04:51.440] 大家登錄到後台首頁後
[00:04:51.440 - 00:04:53.440] 在首頁的
[00:04:53.440 - 00:04:55.440] 最下方正中間的位置
[00:04:55.440 - 00:04:57.440] 就能看到我們的賣通
[00:04:57.440 - 00:04:58.440] 下載圖標了
[00:04:58.440 - 00:05:00.440] 點擊可以直接下載
[00:05:00.440 - 00:05:05.060] 經常也會有客戶問
[00:05:05.060 - 00:05:07.060] 中國知道網友有首頁關
[00:05:07.060 - 00:05:08.060] 我們收到旋盤
[00:05:08.060 - 00:05:10.060] 想要在首機上回覆
[00:05:10.060 - 00:05:11.060] 會跟方便
[00:05:11.060 - 00:05:14.060] 中國知道網市有公共一張APP
[00:05:14.060 - 00:05:17.060] 旋名是中國知道網的外貿易又住手
[00:05:17.060 - 00:05:21.060] 他能隨時隨地去接收處理旋盤
[00:05:21.060 - 00:05:23.060] 除理買家的採購需求
[00:05:23.060 - 00:05:25.060] 與買家實施下談
[00:05:25.060 - 00:05:28.060] 也會有中國知道網罪熱門的一些活動
[00:05:28.060 - 00:05:29.060] 資訊推薦
[00:05:29.060 - 00:05:32.060] 包括線上和線下的活動
[00:05:32.060 - 00:05:34.060] 我們可以直接掃碼客戒中的二位馬
[00:05:34.060 - 00:05:35.060] 集體下載
[00:05:35.060 - 00:05:38.060] 或者我們在首機應用市場去搜索
[00:05:38.060 - 00:05:41.060] 中國知道網的外貿易又住手
[00:05:41.060 - 00:05:45.560] 這張是我們公共一上APP主要的
[00:05:45.560 - 00:05:47.560] 功能展示面
[00:05:47.560 - 00:05:49.560] 大家看第一張
[00:05:49.560 - 00:05:51.560] 有尋盤和採購需求的入口
[00:05:51.560 - 00:05:55.560] 方便我們每天及時報價回覆買家旋盤
[00:05:55.560 - 00:05:57.560] 還會有數據羅盤的推廣數據
[00:05:57.560 - 00:05:58.560] 每天
[00:05:58.560 - 00:06:00.560] 健控我們的推廣情況
[00:06:00.560 - 00:06:01.560] 中國知道
[00:06:01.560 - 00:06:05.560] 活動日令可以去參加最新的活動陪迅
[00:06:05.560 - 00:06:07.560] 中間的這張消息頻道
[00:06:07.560 - 00:06:10.560] 也就是我們首機版的外通
[00:06:10.560 - 00:06:13.560] 在首機上及時代的天空去和買家
[00:06:13.560 - 00:06:15.560] 即使是年紀
[00:06:15.560 - 00:06:17.560] 最右側的是公共一張的APP
[00:06:17.560 - 00:06:19.560] 有一些其他的一些功能
[00:06:19.560 - 00:06:21.560] 想拍圖片
[00:06:21.560 - 00:06:22.560] 拍攝品
[00:06:22.560 - 00:06:25.560] 拍攝後可以直接上海到後台
[00:06:25.560 - 00:06:26.560] 實現同步
[00:06:26.560 - 00:06:27.560] 分享方面
[00:06:27.560 - 00:06:29.560] 一些訂單的確認
[00:06:29.560 - 00:06:32.560] 公司信息的修改也可以在首機版完成
[00:06:32.560 - 00:06:38.090] 最後是素材準備
[00:06:38.090 - 00:06:39.090] 有了張互以後
[00:06:39.090 - 00:06:42.090] 我們要先準備好上傳的素材
[00:06:42.090 - 00:06:45.090] 會經常有剛剛開動的客戶問
[00:06:45.090 - 00:06:47.090] 中國知道網有沒有一個素材哭
[00:06:47.090 - 00:06:50.730] 我可以把所有的图片先上传上去
[00:06:50.730 - 00:06:53.730] 方便后边传图片的时候直接使用
[00:06:54.330 - 00:06:55.170] 是有的
[00:06:55.170 - 00:06:58.290] 在我们的展示听菜单素材固难
[00:06:58.290 - 00:07:03.450] 我们可以把我们准备好的图片和视频先同一上传到这个理
[00:07:03.450 - 00:07:05.010] 进行管理背份
[00:07:05.010 - 00:07:09.490] 后去天家产品的时候可以直接从这里引用
[00:07:09.490 - 00:07:13.450] 同时这里的图片和视频也是共享的
[00:07:13.450 - 00:07:15.450] 其他自杂户都可以使用
[00:07:18.460 - 00:07:19.620] 先看一下图片
[00:07:19.620 - 00:07:22.060] 我们在准备图片的时候可以按照
[00:07:22.060 - 00:07:24.460] 课间中的格式进行准备
[00:07:24.460 - 00:07:27.660] 这是目前中国知道网上最匹配的格式
[00:07:27.660 - 00:07:28.620] 这匹记
[00:07:28.620 - 00:07:29.460] 这匹一记
[00:07:29.460 - 00:07:30.540] 偏记的格式
[00:07:30.540 - 00:07:32.660] 大小小于WMB
[00:07:32.660 - 00:07:34.740] 880-15000
[00:07:34.740 - 00:07:36.180] 相似为家
[00:07:36.180 - 00:07:38.820] 图片一般我们建议正方形
[00:07:38.820 - 00:07:41.620] 因为大部分的图片在展示的面
[00:07:41.620 - 00:07:44.260] 都是正方形的展示效果
[00:07:45.260 - 00:07:47.460] 图片上不允许天家电话
[00:07:47.460 - 00:07:51.180] 有像其实聊天工具二位马等年期信息
[00:07:51.180 - 00:07:56.420] 不然后面在上传产品的时候会被反回处理的
[00:07:56.420 - 00:07:58.860] 在把图片上传到素材固的时候
[00:07:58.860 - 00:08:02.060] 我们可以一次性倒入50张图片
