# 新课抢先学_2. 邮件营销（上）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:07.150] 大家好
[00:00:07.150 - 00:00:10.150] 歡迎來到這一系列的課程
[00:00:10.150 - 00:00:14.150] 這些課程內容都是給你有見有關係
[00:00:14.150 - 00:00:20.150] 其實雖然到這每天都要看自己的有像看客戶有沒有回覆我們的優劍
[00:00:20.150 - 00:00:24.150] 其實還是有兩種反尸
[00:00:24.150 - 00:00:29.150] 可以利用來吸引更多的客戶同時也可以保留
[00:00:29.150 - 00:00:30.150] 老客戶
[00:00:30.150 - 00:00:33.150] 第一種是叫不同的有劍
[00:00:33.150 - 00:00:36.150] 每天到這利用的這種取道
[00:00:36.150 - 00:00:39.150] 都是跟不同有劍相關的
[00:00:39.150 - 00:00:42.150] 但是還有另外一個取道
[00:00:42.150 - 00:00:44.150] 也都是跟有劍有關係
[00:00:44.150 - 00:00:45.150] 就有劍影響
[00:00:45.150 - 00:00:49.150] 所以我們在這一系列的課程裡面都會學習
[00:00:49.150 - 00:00:52.150] 關於這兩個取道的潛力
[00:00:52.150 - 00:00:57.150] 還有這些取道能給你帶來的好處
[00:00:57.150 - 00:01:00.150] 我們要把主持是什麼在哪裡
[00:01:00.150 - 00:01:04.150] 同時我們還是會隨時我們要從哪裡開始
[00:01:04.150 - 00:01:07.150] 做有劍影響我們需要什麼工具
[00:01:07.150 - 00:01:10.150] 要怎麼設計一些有劍等等
[00:01:10.150 - 00:01:13.150] 這是我們會學習的內容
[00:01:13.150 - 00:01:15.150] 所以內容還是挺豐富
[00:01:15.150 - 00:01:18.150] 也包含很多不同的方面
[00:01:18.150 - 00:01:21.150] 從有劍影響的初幾介紹
[00:01:21.150 - 00:01:23.150] 比如說這個是什麼樣子去到
[00:01:23.150 - 00:01:25.150] 然後這個去到給不同的有劍
[00:01:25.150 - 00:01:27.150] 有什麼樣的一些區別
[00:01:27.150 - 00:01:29.150] 潛力是什麼
[00:01:29.150 - 00:01:33.150] 能給平排帶來的好處是什麼等等
[00:01:33.150 - 00:01:36.150] 所以我們一步一步的了解這個去到
[00:01:36.150 - 00:01:38.150] 當同時我們還是會隨時
