# 新课抢先学_3. 邮件营销（下）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:10.140] 那正好 安欲來到這個部分的內容
[00:00:10.140 - 00:00:15.260] 我們在這期內的課程有十到很多的關於郵政影校
[00:00:15.260 - 00:00:18.280] 我們先遲到了郵政影校的一些特點
[00:00:18.280 - 00:00:20.280] 有些影校的潛力
[00:00:20.280 - 00:00:24.420] 還有其他跟郵政影校相關的CC
[00:00:24.420 - 00:00:27.420] 比如說如果我們決定做郵政影校
[00:00:27.420 - 00:00:29.660] 我們有些影校的流程是什麼
[00:00:29.660 - 00:00:33.900] 我們需要準備什麼資料什麼工具
[00:00:33.900 - 00:00:35.440] 什麼素材
[00:00:35.440 - 00:00:41.580] 同時我們的工具要如何
[00:00:41.580 - 00:00:45.160] 我們的工具 張耗要如何諸测
[00:00:45.160 - 00:00:49.500] 這一些都是我們在前面的內容都有學到的
[00:00:49.500 - 00:00:51.820] 那我們現在要學習
[00:00:51.820 - 00:00:55.060] 如果我們決定做郵政影校的話
[00:00:55.060 - 00:00:58.220] 我們一定需要有一些訂閱者
[00:00:58.220 - 00:01:00.860] 我們一定需要有人可以看我們的郵政影校
[00:01:00.860 - 00:01:04.180] 否則我們發言也沒什麼效果的
[00:01:04.180 - 00:01:06.740] 這些訂閱者
[00:01:06.740 - 00:01:10.580] 最好是台灣主動管助我們的郵政影校
[00:01:10.580 - 00:01:13.020] 但是如果我們剛開始做
[00:01:13.020 - 00:01:14.820] 還沒有做過的訂閱者
[00:01:14.820 - 00:01:18.260] 或者也沒有多了一件沒有其他兵台可以一家
[00:01:18.260 - 00:01:20.420] 有些影校的短口
[00:01:20.420 - 00:01:22.500] 我們還是可以考慮
[00:01:22.500 - 00:01:26.460] 三轉一部分的有限列表
[00:01:26.460 - 00:01:28.260] 在我們的工具上面
[00:01:28.260 - 00:01:35.460] 然後看能不能給他們發送這些有件
[00:01:35.460 - 00:01:38.320] 所以可以的話按照你們
[00:01:38.320 - 00:01:42.980] 想要在目前用的這種CRM系統
[00:01:42.980 - 00:01:47.500] 可以看你們不能把你們的CRM系統跟
[00:01:47.500 - 00:01:51.060] 沒有清裝好就連在一起
[00:01:51.060 - 00:01:54.860] 有時候沒有清還是會有自己的API
[00:01:54.860 - 00:01:57.560] 你們可以問一下你們技術統是
[00:01:57.560 - 00:02:00.260] 的是否能這樣進行
[00:02:00.260 - 00:02:02.060] 沒辦法進行的話
[00:02:02.060 - 00:02:05.300] 我們可能需要辛苦一點就需要追比一下
[00:02:05.300 - 00:02:08.460] 這一些成為我們的訂閱者的客戶
[00:02:08.460 - 00:02:12.300] 他們是否是也是我們自己的客戶
[00:02:12.300 - 00:02:14.860] 所以這個是需要大家
[00:02:14.860 - 00:02:16.220] 回去看一下
[00:02:16.220 - 00:02:19.900] 資料的CRM系統是否有這個功能
[00:02:19.900 - 00:02:20.740] 有這個棒
[00:02:20.740 - 00:02:23.100] 有這個可能是可以加這個
[00:02:23.100 - 00:02:28.540] 那個清洗的這個部分
[00:02:28.780 - 00:02:31.860] 然後客戶最好是
[00:02:31.860 - 00:02:35.340] 他同意收到我們的有件影校的有件
[00:02:35.340 - 00:02:37.740] 他再可以收到有件
[00:02:37.740 - 00:02:38.620] 這等於是說
[00:02:38.620 - 00:02:42.340] 如果我們已經有一批客戶
[00:02:42.340 - 00:02:43.660] 有限
[00:02:43.660 - 00:02:47.100] 我們可以先給他們發一份有件說
[00:02:47.100 - 00:02:51.340] 感謝你對我們公司的管住和支持
[00:02:51.340 - 00:02:53.780] 我們最近開始做有件影校
[00:02:53.780 - 00:02:57.340] 你是否願意成為我們的第一月者
[00:02:57.340 - 00:03:00.100] 等到他們演技術的同意
[00:03:00.100 - 00:03:04.380] 或者他們代表自己是同意的話
[00:03:04.380 - 00:03:08.860] 那還是可以讓他們收到我們的有件影校
[00:03:08.860 - 00:03:11.100] 其實這個有件影校的動口
[00:03:11.100 - 00:03:13.300] 很多時候不僅是在
[00:03:13.300 - 00:03:15.460] 所謂的在一個驗驗
[00:03:15.460 - 00:03:16.580] 一個住路業
[00:03:16.580 - 00:03:18.500] 還可以放到寶客
[00:03:18.500 - 00:03:23.100] 也可以放到客戶練習我們的表格裡面
[00:03:23.100 - 00:03:26.900] 所以為什麼有時候把這個有件影校的工具
[00:03:26.900 - 00:03:29.700] 跟我們的CRMC同連在一起的話
[00:03:29.700 - 00:03:31.100] 還是更好的
[00:03:31.100 - 00:03:33.860] 這等於是說我們給客戶機會
[00:03:33.860 - 00:03:34.900] 等到他
[00:03:34.900 - 00:03:37.340] 再給我們留一個寻討的時候
[00:03:37.340 - 00:03:39.380] 他同時也可以稱為我們
[00:03:39.380 - 00:03:41.980] 有件音銷的訂閱指
[00:03:41.980 - 00:03:43.540] 那這還是最理想的
[00:03:43.540 - 00:03:47.300] 就等於我們已經放著還是會收集客戶的有相
[00:03:47.300 - 00:03:48.660] 那要不這件
[00:03:48.660 - 00:03:51.260] 問一下他原因不容易稱為我們的
[00:03:51.260 - 00:03:51.980] 訂閱指
[00:03:51.980 - 00:03:54.340] 關注我們的有件影校
[00:03:54.340 - 00:03:56.820] 如果不行的話我們還是可以先
[00:03:56.820 - 00:04:00.100] 試一下商場我們的客戶有相列表
[00:04:00.100 - 00:04:02.260] 但是最好還是需要
[00:04:02.260 - 00:04:06.580] 那他們現在同意就可以給他們發這些有件影校
[00:04:06.580 - 00:04:08.820] 那我們需要怎麼
[00:04:08.820 - 00:04:11.380] 怎麼商場這些新西怎麼
[00:04:11.380 - 00:04:16.500] 這麼噴到我們可以把這些有件影校的內容發給誰呢
[00:04:16.500 - 00:04:17.580] 我們
[00:04:17.580 - 00:04:18.980] 著色我們
[00:04:18.980 - 00:04:20.660] 沒有進入正好以後
[00:04:20.660 - 00:04:22.980] 有一個部分叫Odencize
[00:04:22.980 - 00:04:25.580] 就等於是說受眾的意思
[00:04:25.580 - 00:04:26.980] 那我們今天進那裡
[00:04:26.980 - 00:04:30.020] 而且我們剛諸色這個正好的時候
[00:04:30.020 - 00:04:31.500] 我們在首頁
[00:04:31.500 - 00:04:33.220] 已經給看到有這個功能
[00:04:33.220 - 00:04:34.460] 有這個部分
[00:04:34.460 - 00:04:36.140] 你到我們
[00:04:36.140 - 00:04:38.540] 上床或者挑選一些
[00:04:38.540 - 00:04:40.340] 可以稱為我們訂閱指
[00:04:40.340 - 00:04:43.580] 或者可以說到我們有這影校的客戶
[00:04:43.580 - 00:04:45.340] 那我們要上個選擇
[00:04:45.340 - 00:04:47.740] 我們可以送我們
[00:04:47.740 - 00:04:50.500] 的另外一個平台
[00:04:50.500 - 00:04:52.780] 那過來這些新西
[00:04:52.780 - 00:04:57.020] 還是說我們可以上床一個文章
[00:04:57.020 - 00:04:59.900] 還是說我們可以負著正點
[00:04:59.900 - 00:05:01.420] 客戶的有相
[00:05:01.420 - 00:05:02.900] 這些都可以
[00:05:02.900 - 00:05:05.540] 但是這就是我們已經做了這些
[00:05:05.540 - 00:05:08.140] 我們還是可以出了客戶的有相
[00:05:08.140 - 00:05:11.100] 還是可以看到客戶的信名
[00:05:11.100 - 00:05:13.340] 還有也可以看到客戶
[00:05:13.420 - 00:05:17.980] 它跟我們有件以校的互動率多少
[00:05:17.980 - 00:05:19.260] 這順名我們
[00:05:19.260 - 00:05:20.500] 可以看到
[00:05:20.500 - 00:05:22.940] 跟它平時有沒有打開
[00:05:22.940 - 00:05:23.980] 這已經有沒有打開
[00:05:23.980 - 00:05:26.140] 我們給它們發的有件
[00:05:26.140 - 00:05:27.260] 然後它
[00:05:27.260 - 00:05:28.260] 有沒有點擊
[00:05:28.260 - 00:05:30.860] 我們給它們發的有件的
