# 新课抢先学_4. 参展攻略（上）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:08.590] 首先我在這一個展規的課上
[00:00:08.590 - 00:00:10.230] 這課當中我分了6坦克
[00:00:10.230 - 00:00:11.870] 那今天是第一坦克
[00:00:11.870 - 00:00:15.270] 就是如何選擇合使我們自己的展規
[00:00:15.270 - 00:00:16.910] 那在這坦克當中
[00:00:16.910 - 00:00:19.350] 我更多的特朵點是講出
[00:00:19.350 - 00:00:22.270] 我們要秘訊我們自己的餐展的目的
[00:00:22.270 - 00:00:23.790] 那麼展規的分類
[00:00:23.790 - 00:00:27.230] 和我們自己參加這個降低展規的成本
[00:00:27.710 - 00:00:28.950] 第二個呢
[00:00:28.950 - 00:00:32.150] 就是在準備展規的有關細節
[00:00:32.150 - 00:00:34.150] 那麼這一點就是強調出
[00:00:34.150 - 00:00:35.790] 我們這個展規的準備
[00:00:35.790 - 00:00:38.110] 這個細節的工作是非常的重要的
[00:00:38.790 - 00:00:41.110] 怎麼樣做到有背無患
[00:00:41.390 - 00:00:44.110] 那麼這細細細列的當中
[00:00:44.110 - 00:00:47.670] 有很多的細節是需要我們細節是需要我們注意的
[00:00:48.950 - 00:00:50.710] 那麼在第三課當中
[00:00:50.710 - 00:00:52.190] 我是講強調出
[00:00:52.190 - 00:00:55.470] 就是如何提高我們的餐展時刻的技巧
[00:00:55.470 - 00:00:56.990] 如何讓客戶
[00:00:56.990 - 00:01:00.070] 一眼看上是我們給客戶留下印象
[00:01:00.070 - 00:01:02.190] 如何和客戶產生年輕
[00:01:02.190 - 00:01:04.950] 如何準確地把握出客戶的需求
[00:01:04.950 - 00:01:06.830] 能在這個短的時間之類
[00:01:06.830 - 00:01:08.630] 非常高效地抓出客戶
[00:01:08.630 - 00:01:11.150] 這些都是我們需要了解的
[00:01:11.150 - 00:01:12.790] 那在第四課當中呢
[00:01:12.790 - 00:01:16.830] 我們餐展效會的展規的效率
[00:01:16.830 - 00:01:18.470] 除了面臺客戶
[00:01:18.470 - 00:01:20.110] 我們還有什麼事情能做
[00:01:20.110 - 00:01:22.590] 我們還有什麼東西能夠去了解的
[00:01:22.590 - 00:01:24.470] 我們如何在展規當中
[00:01:24.470 - 00:01:26.470] 展規的幾天時間之類
[00:01:27.190 - 00:01:28.870] 有效的開發出
[00:01:28.870 - 00:01:32.550] 請來客戶或者有效的抓出市場的慶息
[00:01:32.550 - 00:01:33.670] 在非常的重要
[00:01:33.670 - 00:01:34.750] 在第四課
[00:01:34.750 - 00:01:38.630] 我會強調出餐展規的效率
[00:01:38.630 - 00:01:39.870] 因為我常課呢
[00:01:39.870 - 00:01:40.630] 我會講
[00:01:40.630 - 00:01:43.350] 就是我會講結束之後的更中
[00:01:43.350 - 00:01:45.350] 我們如何跟著我們的客戶
[00:01:45.350 - 00:01:47.110] 有些客戶有印象的
[00:01:47.110 - 00:01:48.830] 我們如何去跟上
[00:01:48.830 - 00:01:49.870] 第六個呢
[00:01:49.870 - 00:01:52.230] 就是具體的一些訊息
[00:01:52.230 - 00:01:55.550] 就像當於市場就是跟中有見的分析
[00:01:55.550 - 00:01:58.590] 我們如何協好一分有見
[00:01:58.590 - 00:02:00.270] 這個都有見上面
[00:02:00.270 - 00:02:01.870] 我們如何進行一個
[00:02:01.870 - 00:02:05.230] 非常有效轉確定位
[00:02:05.230 - 00:02:06.710] 讓客戶進行我們
[00:02:06.710 - 00:02:08.870] 讓客戶對我們身一感興趣
[00:02:09.510 - 00:02:10.470] 那麼市場呢
[00:02:10.470 - 00:02:12.790] 這一批當中呢
[00:02:12.790 - 00:02:14.950] 我是分層了三大塊
[00:02:14.950 - 00:02:16.350] 那麼前面兩堂課呢
[00:02:16.350 - 00:02:18.990] 是關於展會前的一些相關的事情
[00:02:18.990 - 00:02:20.550] 那麼中間的兩堂課呢
[00:02:20.550 - 00:02:22.670] 我是關於餐展當中
[00:02:22.670 - 00:02:25.390] 我們的一些準備要求
[00:02:25.390 - 00:02:27.670] 那麼最後的是展會之後的
[00:02:27.670 - 00:02:30.270] 所以每一塊都非常重要
[00:02:30.270 - 00:02:32.150] 我們做外貿人的當中呢
[00:02:32.150 - 00:02:35.430] 我們很少有時間能夠和客戶
[00:02:35.430 - 00:02:37.070] 直接去面對面的角度
[00:02:37.070 - 00:02:39.110] 我們的客戶五胡思海
[00:02:39.110 - 00:02:42.950] 有時候可能有我們有十萬八張八千米之元
[00:02:42.950 - 00:02:45.030] 那麼很難見一面
[00:02:45.030 - 00:02:46.230] 八千米之元
[00:02:46.230 - 00:02:48.150] 那麼很難見一面
[00:02:48.150 - 00:02:49.790] 如何在展會當中
[00:02:49.790 - 00:02:51.430] 去見到的客戶
[00:02:51.430 - 00:02:52.670] 留下印象
[00:02:52.670 - 00:02:53.990] 開脫出客戶
[00:02:53.990 - 00:02:56.030] 這顯得是非常的重要
[00:02:56.030 - 00:02:58.190] 所以我在這個系列各當中
[00:02:58.190 - 00:02:59.990] 我重點去交流
[00:02:59.990 - 00:03:01.190] 要討論一下
[00:03:01.190 - 00:03:02.990] 如何提高我們的展會的
[00:03:02.990 - 00:03:04.790] 一些準備要效率
[00:03:04.790 - 00:03:06.270] 包括我們後期的
[00:03:06.270 - 00:03:07.470] 這一天的對堂課呢
[00:03:07.470 - 00:03:09.070] 就是如何選擇
[00:03:09.070 - 00:03:11.990] 最合適自己的展會
[00:03:11.990 - 00:03:14.070] 記住是最合適你的
[00:03:14.070 - 00:03:16.550] 在裡面不止待是最好的
[00:03:16.550 - 00:03:18.430] 只能做適最合適的
[00:03:19.430 - 00:03:20.670] 我們來看一下
[00:03:20.670 - 00:03:23.030] 那麼在最合適的展會當中
[00:03:23.030 - 00:03:25.390] 我們可以看到我分層的三塊
[00:03:25.390 - 00:03:27.030] 第一塊我們最長
[00:03:27.030 - 00:03:29.070] 會有一個大蓋的分類
[00:03:29.070 - 00:03:30.870] 有個出制的分類之後
[00:03:30.870 - 00:03:32.190] 我們開始知道
[00:03:32.190 - 00:03:35.390] 我們明確一下我們展會參展的目的
[00:03:35.390 - 00:03:39.510] 然後去學習如何選擇國外的展會
[00:03:39.510 - 00:03:43.310] 第三個是降低餐展成本的方式方法
[00:03:43.310 - 00:03:45.550] 因為這個餐不降低
[00:03:45.550 - 00:03:46.390] 餐不降低
[00:03:46.390 - 00:03:46.830] 餐不降低
[00:03:46.830 - 00:03:49.590] 方式方法是很重要的
[00:03:49.590 - 00:03:51.990] 餐家國外展會非常貴
[00:03:51.990 - 00:03:53.790] 如何降低成本
[00:03:53.790 - 00:03:55.430] 這也顯得非常的重
[00:03:55.430 - 00:03:59.430] 那麼我們就從如何展會的分類
[00:03:59.430 - 00:04:02.510] 就將展會分成了三大類
[00:04:02.510 - 00:04:06.310] 第一類是大型展會
[00:04:06.310 - 00:04:09.670] 這樣的展會一般來說是一種劇形的
[00:04:09.670 - 00:04:11.630] 行業千七百塊
[00:04:11.630 - 00:04:13.830] 有您所知道的
[00:04:13.830 - 00:04:17.070] 基本上都可能涉及去參加展會
[00:04:17.070 - 00:04:19.310] 這個展會就是比較明顯的
[00:04:19.310 - 00:04:21.470] 就是我們的廣交會
[00:04:21.470 - 00:04:23.310] 廣交會可能是上個月
[00:04:23.310 - 00:04:26.590] 剛剛的結束我們大家都可能很多的朋友
[00:04:26.590 - 00:04:29.190] 有過去過參加廣交會
[00:04:29.190 - 00:04:33.790] 所以廣交會到那我們會看到很多的外國人
[00:04:33.790 - 00:04:35.550] 但是問題在於是什麼呢
[00:04:35.550 - 00:04:38.790] 我們很難說在廣交會上面
[00:04:38.790 - 00:04:39.830] 容易承擔
[00:04:39.830 - 00:04:42.670] 好像有意義上的客戶並不是那麼多
[00:04:42.670 - 00:04:45.950] 很多老外國來時就只是簡單的問一下
[00:04:45.950 - 00:04:47.390] 你是做什麼的
[00:04:47.390 - 00:04:50.830] 然後你們是什麼行業的等等
[00:04:50.830 - 00:04:54.470] 他們慌完之後就走了就像走馬關花一樣
[00:04:54.470 - 00:04:56.270] 所以我們在這個廣交會上面
[00:04:56.270 - 00:04:59.150] 我們好像感覺是有制無力
[00:04:59.150 - 00:05:01.070] 就是有有有有制相
[00:05:01.070 - 00:05:04.390] 但是我們感覺我們疫情沒有地方使得
[00:05:04.390 - 00:05:07.470] 這個就是大型展會的特點
[00:05:07.470 - 00:05:10.590] 因為大型展會巨大的
[00:05:10.590 - 00:05:12.510] 比如說廣交會
[00:05:12.510 - 00:05:14.990] 廣交會是相關的歷史背景的
[00:05:14.990 - 00:05:17.310] 比如說它是1957年開始的
[00:05:17.310 - 00:05:21.030] 它是中國目前一是最長的層次最高
[00:05:21.030 - 00:05:22.550] 歸於墨最大
[00:05:22.550 - 00:05:24.710] 商品種類最缺
[00:05:24.710 - 00:05:28.830] 到廣交會上最多的中心國際商務展會
[00:05:28.830 - 00:05:30.430] 所以它是有大
[00:05:30.430 - 00:05:31.870] 有缺
[00:05:31.870 - 00:05:33.830] 到廣交會最多
[00:05:33.830 - 00:05:35.750] 可是最近發現呢
[00:05:35.750 - 00:05:38.550] 就是很多時候
[00:05:38.550 - 00:05:42.670] 雖然說已經打到很多的一個國音墨
[00:05:42.670 - 00:05:44.950] 可是對於我們當中的一些人
[00:05:44.950 - 00:05:47.750] 我們好像並沒有在其中受益
[00:05:47.750 - 00:05:51.190] 那麼一次年9月16月19號之後
[00:05:51.190 - 00:05:54.790] 就要主管交會展南面積達到50萬平方米
[00:05:54.790 - 00:05:57.510] 超過了德國的漢套位
[00:05:57.510 - 00:05:59.030] 47萬平方米
[00:05:59.030 - 00:06:02.870] 那台面積達到66萬全世界規模的一
[00:06:02.870 - 00:06:06.390] 而且每次都有長達一個月的展覽時間
[00:06:06.390 - 00:06:08.630] 4月15號接近一個月的時間
