# 新课抢先学_5. 参展攻略（下）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:07.250] 我们再看后面两位
[00:00:07.250 - 00:00:11.250] 这一位的先生就感觉像一个大老板 桌手的
[00:00:11.250 - 00:00:13.250] 那么它而且特别的清淇
[00:00:13.250 - 00:00:14.250] 非常的温和
[00:00:14.250 - 00:00:18.250] 那么一看就是属于那种皮肌又好 能力又强的那种人
[00:00:18.250 - 00:00:20.250] 你这时候你可以夸它
[00:00:20.250 - 00:00:23.250] 你今天穿的特别的甩器
[00:00:23.250 - 00:00:25.250] 它可能会更喜欢别人感觉到
[00:00:25.250 - 00:00:27.250] 它的清淇感
[00:00:27.250 - 00:00:30.250] 它的这种体贴感之类的
[00:00:30.250 - 00:00:32.250] 那么当你夸它甩器的时候
[00:00:32.250 - 00:00:33.250] 它会觉得
[00:00:33.250 - 00:00:36.250] 你可能会有更好的战美
[00:00:36.250 - 00:00:38.250] 这个只是我的一个建议
[00:00:38.250 - 00:00:41.250] 但是我会对人物的形象会有个分析
[00:00:41.250 - 00:00:43.250] 我在建议就在思考
[00:00:43.250 - 00:00:45.250] 什么样的人去花什么样的方式
[00:00:45.250 - 00:00:48.250] 那么在看右手变了这个老先生
[00:00:48.250 - 00:00:49.250] 专个上老先生
[00:00:49.250 - 00:00:53.250] 它显得去相对比较的延述
[00:00:53.250 - 00:00:56.250] 穿的也是一个普通的穿三
[00:00:56.250 - 00:00:59.250] 那么我就知道了在这个点上的话
[00:00:59.250 - 00:01:01.250] 这个先生是显得比较专业
[00:01:01.250 - 00:01:05.250] 专注于技术专注于细节的考察
[00:01:05.250 - 00:01:07.250] 所以在这个方面场的话
[00:01:07.250 - 00:01:09.250] 如果夸它这个先生
[00:01:09.250 - 00:01:11.250] 我可能会去夸它
[00:01:11.250 - 00:01:13.250] 你真的很专业
[00:01:13.250 - 00:01:16.250] 你肯定是在这个行业当中有很多年的经验
[00:01:16.250 - 00:01:18.250] 或者你可以跟他讲
[00:01:18.250 - 00:01:20.250] 你是教授吗
[00:01:20.250 - 00:01:21.250] 他费色等等
[00:01:21.250 - 00:01:23.250] 那没有所有人都会被想
[00:01:23.250 - 00:01:27.250] 这一趟为老师教授等等
[00:01:27.250 - 00:01:28.250] 因为商人老板
[00:01:28.250 - 00:01:31.250] 这种名词太普遍太多了
[00:01:31.250 - 00:01:33.250] 当你去宽老师的时候
[00:01:33.250 - 00:01:35.250] 会觉得它还是会有一种
[00:01:35.250 - 00:01:37.250] 不一样的感觉
[00:01:37.250 - 00:01:40.250] 会觉得让人会觉得有一种学术份为止感
[00:01:40.250 - 00:01:42.250] 或者说是纯粹的一种对产品
[00:01:42.250 - 00:01:45.250] 细节方面的研究之类的
[00:01:45.250 - 00:01:46.250] 对
