# 新课抢先学_7. 搜索页面焕新，广告转化提效

language=zh
language_probability=1.000
model=tiny

[00:00:00.620 - 00:00:02.260] 各位商家朋友大家好
[00:00:02.260 - 00:00:03.940] 欢迎来到今天的课程
[00:00:03.940 - 00:00:05.260] 我是今天的讲师
[00:00:05.260 - 00:00:07.580] 来自MSA用户成长不得花秋
[00:00:07.580 - 00:00:10.220] 今天给大家分享的是2月3号
[00:00:10.220 - 00:00:11.220] 这是上线的
[00:00:11.220 - 00:00:13.620] 中国製造网广告提起升级
[00:00:13.620 - 00:00:16.420] 今天的内容主要是奉为三个部分
[00:00:16.420 - 00:00:18.420] 首先为大家集中讲解一下
[00:00:18.420 - 00:00:20.780] 这次升级的背景和升级的药顶
[00:00:20.780 - 00:00:25.540] 然后整理了一些大家可能比较疑惑的问题和答案
[00:00:25.540 - 00:00:28.420] 最后也会预留出时间进行答应
[00:00:28.420 - 00:00:30.340] 大家可以再评论去留言
[00:00:30.340 - 00:00:34.060] 我们会针对供信的问题进行实施的文字节
[00:00:34.060 - 00:00:36.900] 更多的设计到广告购买
[00:00:36.900 - 00:00:41.100] 等需求和以问的可以资许您对应的客户经济
[00:00:41.100 - 00:00:44.420] 整理的课程时间大概是在半小时
[00:00:44.420 - 00:00:47.420] 后续也是支持回看的
[00:00:47.420 - 00:00:48.580] 话不多说
[00:00:48.580 - 00:00:50.940] 我们正是进入经济的课程
[00:00:50.940 - 00:00:51.820] 中所周知
[00:00:51.820 - 00:00:55.940] 我们中国製造网为客户提供了课类的广告资源
[00:00:55.940 - 00:00:58.100] 向搜索广告品牌广告
[00:00:58.100 - 00:01:00.660] 我们比较熟悉的有搜索关键词
[00:01:00.660 - 00:01:01.500] TOPRANK
[00:01:01.500 - 00:01:02.820] 固定第一
[00:01:02.820 - 00:01:04.700] 触屏多于等等
[00:01:04.700 - 00:01:08.740] 还有我们聚焦定推随新头经典头等等
[00:01:08.740 - 00:01:13.020] 那为了让我们广告能够更好的转化
