# 1. 5分钟快速了解主流社媒平台

language=zh
language_probability=1.000
model=tiny

[00:00:11.760 - 00:00:16.360] 大家下午好,我们这次的赔讯是用于领机处的学严
[00:00:16.360 - 00:00:19.880] 我们希望通过本节赔讯能够帮助我们的海外公民
[00:00:19.880 - 00:00:23.560] 我们国内的这个公益商成功的创建海外市美的账号
[00:00:23.560 - 00:00:28.560] 有效的区别用海外市美的南南海流量去推荒我们的公司和产品
[00:00:29.560 - 00:00:32.560] 相信每个人的手机上应该都装有微信吧
[00:00:32.560 - 00:00:36.360] 微信作为当前我们人与人之间交流沟通
[00:00:36.360 - 00:00:38.560] 和有效联系的社交美借
[00:00:38.560 - 00:00:41.360] 已经成为我们生活当中逼不可少的工具
[00:00:41.360 - 00:00:44.960] 你们知道现在微信的约火用互时多少吗
[00:00:44.960 - 00:00:48.960] 微信的约火用互,现在已经达到了12.25亿
[00:00:48.960 - 00:00:53.560] 像抖音和新浪微博的约火用互,差不多也在5.5亿左右
[00:00:53.560 - 00:00:58.160] 这个是我们中国主流社美平台的约火用互情况
[00:00:58.160 - 00:01:03.560] 海外社美的平台的约火排名来看的话,Festbook是排在第一位的
[00:01:03.560 - 00:01:06.760] 它的约火用互已经达到27以上
[00:01:06.960 - 00:01:10.960] YouTube的话,它的排名是在第二位约火用互,也有22亿多
[00:01:10.960 - 00:01:14.560] 像我菜不得华,差不多也有21亿的约火用互
[00:01:14.560 - 00:01:20.160] 这个其实是能够让我们深刻的意识到海外社美的这个火约度是非常高的
[00:01:20.160 - 00:01:27.160] 但是我们目前8%左右的工历商其实并没有去有效的利用这个海外社交的媒体
[00:01:27.160 - 00:01:29.560] 去做我们的推广
[00:01:29.960 - 00:01:33.360] 最近我们也会经常接到供应商的反馈
[00:01:33.360 - 00:01:40.160] 希望尝试去利用海外社交媒体的各个取道去推广它的这个公司和产品
[00:01:40.160 - 00:01:44.660] 综合上面的这种各种情况,我们这次的这些客的赔讯
[00:01:44.660 - 00:01:46.760] 主要是从三个方面来讲
[00:01:46.760 - 00:01:50.560] 于是海外主流社美平台的一些属性特点
[00:01:50.560 - 00:01:56.160] 而是海外社美账号这一块创建需要做哪些准备工作
[00:01:56.160 - 00:01:59.560] 我们这个账号创建成功的一些技巧
[00:01:59.560 - 00:02:02.960] 账号解封的具体的解决办法
[00:02:02.960 - 00:02:10.160] 第三就是大家一起来看一下产品做S&S的影响具体的一个入门
[00:02:10.160 - 00:02:16.360] 首先我们来看一下海外社美的主流的这个社美平台的属性和特点
[00:02:16.360 - 00:02:18.960] 看一下我们的这个产品大概适合
[00:02:18.960 - 00:02:21.960] 又现在哪些平台上面去推广
[00:02:21.960 - 00:02:26.560] Facebook是全球范围内目前最大的一个海外社交媒体
[00:02:26.560 - 00:02:29.960] 它的越活用途用户现在已经有27%多
[00:02:29.960 - 00:02:31.960] 日活用户的话也在15%
