# 3. 产品SNS营销入门

language=zh
language_probability=1.000
model=tiny

[00:00:11.760 - 00:00:13.160] 大家下午好
[00:00:13.160 - 00:00:16.760] 接下來跟大家一起看一下內容於這塊
[00:00:16.760 - 00:00:19.260] 首先跟大家一起來看一下
[00:00:19.260 - 00:00:21.360] 我們的這個發布的鐵文
[00:00:21.360 - 00:00:24.960] 在公共主義之後是呈現的方式是什麼樣子的
[00:00:24.960 - 00:00:28.560] 這一張圖就是我們FestBook的鐵文
[00:00:28.560 - 00:00:30.760] 圖片鐵文和視頻鐵文
[00:00:30.760 - 00:00:32.260] 左邊是圖片鐵文
[00:00:32.260 - 00:00:35.360] 右邊是視頻鐵文的這個呈現方式
[00:00:35.360 - 00:00:39.960] 下面的話是領應的圖片鐵文和視頻鐵文
[00:00:40.960 - 00:00:44.960] 接下來是拼的圖片鐵文和視頻鐵文
[00:00:44.960 - 00:00:47.960] 他怎麼區分呢
[00:00:47.960 - 00:00:50.960] 可以看到就是他的左上角
[00:00:50.960 - 00:00:54.960] 會顯示多少秒的這個基本上就是我們的視頻鐵文
[00:00:54.960 - 00:00:57.960] 這個是因此的圖片和視頻鐵文
[00:00:57.960 - 00:01:00.960] 這邊的話顯示的是YouTube的視頻鐵文
[00:01:00.960 - 00:01:04.960] 那麼我們的這個在公共主義上面
[00:01:04.960 - 00:01:06.960] 具體如何發貼和定時
[00:01:06.960 - 00:01:09.960] 簡單帶大家來看一下具體的超做
[00:01:09.960 - 00:01:11.960] 像FestBook這一塊的話
[00:01:11.960 - 00:01:15.960] 我們點擊這個Bisney SIL的創建鐵子就可以了
[00:01:15.960 - 00:01:19.960] 也可以選擇我們左側這邊的創作工作室
[00:01:19.960 - 00:01:21.960] 創作工作室這塊
[00:01:21.960 - 00:01:23.960] 我不建議大家直接在首頁發貼
[00:01:23.960 - 00:01:25.960] 因為部分特色功能的話
[00:01:25.960 - 00:01:28.960] 可能是基本上都是在創作工作室
[00:01:28.960 - 00:01:31.960] 當中的比如說我們定時發貼的這個需要
[00:01:31.960 - 00:01:34.960] 在直接發貼的過程當中是沒有的
[00:01:34.960 - 00:01:38.960] 所以不建議大家在首頁去操作這個發貼
[00:01:38.960 - 00:01:40.960] 如果設計到發貼的話
[00:01:40.960 - 00:01:43.960] 是建議大家直接到創作工作室當中去
[00:01:43.960 - 00:01:48.270] 發布的這個按鈕的旁邊
[00:01:48.270 - 00:01:51.270] 我們點擊定時發布就可以了
[00:01:51.270 - 00:01:53.270] 推特的話地事鐵的位置
[00:01:53.270 - 00:01:55.270] 就像我們圖上面顯示的
[00:01:55.270 - 00:01:59.270] 它會有一個日例加鬧中的一個小圖標
[00:01:59.270 - 00:02:03.270] 臨因這個平台它是不支持定時發貼的
[00:02:03.270 - 00:02:09.270] 平台的話我們直接點擊創建拼圖的形式就可以發貼了
[00:02:09.270 - 00:02:13.270] 上面就是上方的點子圖的貼子
[00:02:13.270 - 00:02:16.270] 它是用於那種多圖展示
[00:02:16.270 - 00:02:19.270] 比如說我的這個菜譜怎麼做飯
[00:02:19.270 - 00:02:21.270] 具體試擊到一些流程的時候
[00:02:21.270 - 00:02:23.270] 可以去創建點子圖
[00:02:23.270 - 00:02:26.270] 我們點擊圖片右側
[00:02:26.270 - 00:02:31.270] 稍後發布的話就可以去安排的拼食時間
[00:02:31.270 - 00:02:34.270] 因此的話就是它是支持手機
[00:02:34.270 - 00:02:36.270] 就請支持手機段去發貼的
[00:02:36.270 - 00:02:39.270] 比如說我們點擊這個在手機一東端的時候
[00:02:39.270 - 00:02:40.270] 點擊這個加號
[00:02:40.270 - 00:02:42.270] 手機段的話發貼它是不支持定時的
[00:02:42.270 - 00:02:44.270] 但是有一個方法可以推電給大家
[00:02:44.270 - 00:02:48.270] 就是我們可以把我們的這個因此的這個炸號
[00:02:48.270 - 00:02:50.270] 給我們FB的炸號做一個保定
[00:02:50.270 - 00:02:53.270] 那把另外之後我們就可以在這個創作工作室當中去
[00:02:53.270 - 00:02:55.270] 定時發貼了
[00:02:55.270 - 00:02:58.270] 具體的操作步驟跟Fest book是一樣的
[00:02:59.270 - 00:03:04.270] YouTube這個平台的話我們點擊右上角的加號
[00:03:04.270 - 00:03:05.270] 上傳視頻
[00:03:05.270 - 00:03:09.270] 我們可以選擇這個具體的這個安排的時間
[00:03:09.270 - 00:03:12.270] 就可以對這個貼子進行定時了
[00:03:12.270 - 00:03:13.270] 這邊幫大家整理了
[00:03:13.270 - 00:03:15.270] 我們在發貼過程當中
[00:03:15.270 - 00:03:18.270] 各個視頻的這個圖片的尺寸要求
[00:03:18.270 - 00:03:20.270] 像這個圖端中所顯示的
[00:03:20.270 - 00:03:23.270] 最佳的這個尺寸和適用的尺寸
