# 4. 社媒推广必备知识之用户画像

language=zh
language_probability=1.000
model=tiny

[00:00:11.860 - 00:00:15.580] 大家好,今日陪信的内容主要是设计到三个方面
[00:00:15.580 - 00:00:18.220] 一个是我们目标用户群体的确定
[00:00:18.220 - 00:00:22.900] 第二个就是我们内容推广的具体的方法技巧
[00:00:22.900 - 00:00:27.060] 还有就是我们有效的利用效果分析工具
[00:00:27.060 - 00:00:31.580] 去统计我们推广的效果并即使调整我们的运测率
[00:00:32.300 - 00:00:36.100] 如果我们需要在FICE目的上面去推广产品的话
[00:00:36.100 - 00:00:38.260] 我们首先需要考虑的是
[00:00:38.500 - 00:00:41.780] 我们怎么样能够锁定到更我们行业
[00:00:41.780 - 00:00:45.460] 或者跟我们产品相关的这一部分用户群体
[00:00:45.460 - 00:00:47.460] FICE目的这个平台的用户
[00:00:47.460 - 00:00:49.060] 现在是什么样子的
[00:00:49.060 - 00:00:52.500] 它大概是有没有什么样子的一些特点
[00:00:52.500 - 00:00:56.740] 关注我包括后面就是我们粉丝运行道一定能成够
[00:00:56.740 - 00:00:58.980] 我们可能是希望了解关注我
[00:00:58.980 - 00:01:01.340] 或者是在我主义的这一部分粉丝
[00:01:01.340 - 00:01:03.140] 它大概有什么样子的
[00:01:03.140 - 00:01:05.860] 接下来我会依在大家来训终答案
[00:01:06.580 - 00:01:09.140] 我们可以先了解一下FICE目的平台
[00:01:09.140 - 00:01:11.940] 现在用户群体大概是什么样子的
[00:01:11.940 - 00:01:16.340] 然后根据我们的行业产品去找相关脸的用户
[00:01:16.340 - 00:01:19.940] 去增粉粉丝增绑到一定的成央之后
[00:01:19.940 - 00:01:25.060] 我们可能就需要了解一下我们粉丝了解一下我们的用户
[00:01:25.060 - 00:01:28.180] 首先我们先来看一下FICE目的平台
[00:01:28.180 - 00:01:30.500] 自身的群体用户群体
[00:01:30.500 - 00:01:33.540] FICE目的目前的越活用户是27多
[00:01:33.540 - 00:01:36.020] 日活用户是在15亿多
