# 5. 社媒推广必备技能之内容营销

language=zh
language_probability=1.000
model=tiny

[00:00:11.860 - 00:00:18.500] 大家好,接下來的話,會跟大家具體來看一下內容運營的一些方法和技巧
[00:00:18.500 - 00:00:21.020] 主要從一下親的方面來分享
[00:00:21.020 - 00:00:27.140] 就是發體的形式上面的選擇發體主體確定
[00:00:27.140 - 00:00:30.300] 我們這個鐵文獲得高分的技巧
[00:00:30.300 - 00:00:32.780] 我們發布時間上面的選擇
[00:00:32.780 - 00:00:37.140] 怎麼樣去提升我們跟粉絲之間的互動率
[00:00:37.140 - 00:00:42.020] 怎麼樣去做直播帶禍和開外兒的網紅營銷
[00:00:42.020 - 00:00:45.060] 首先的話,我們可以來看一下鐵文
[00:00:45.060 - 00:00:48.140] 就是我們怎麼樣去選擇這個具體的形式
[00:00:48.140 - 00:00:52.980] 我們在發體的時候,一般都是可以選擇像圖片類的鐵文
[00:00:52.980 - 00:00:56.860] 視頻類的鐵文,直播類的鐵文、輪波圖
[00:00:56.860 - 00:01:01.980] 像行動招畫或轉發、一件分享的鐵文都是可以的
[00:01:01.980 - 00:01:05.460] 其實我們選擇拿種類型
[00:01:05.460 - 00:01:07.660] 它是沒有統一的說法的
[00:01:07.660 - 00:01:12.620] 沒有說法說視頻類的鐵文一定要比圖片的鐵文效果好
[00:01:12.620 - 00:01:17.340] 比如說我們如果說查明涉及到像保養、維修
[00:01:17.340 - 00:01:20.340] 有這種視頻直到類的話,可能會更親心明料
[00:01:20.340 - 00:01:23.340] 我建議大家分享這種視頻類的鐵文
[00:01:23.340 - 00:01:28.100] 比如說我們可能舉辦了一場活動發布這個活動鐵文的話
[00:01:28.100 - 00:01:31.740] 會更有目標性,我建議大家可以發布一個
[00:01:31.740 - 00:01:34.940] 目標類的活動類的鐵文
[00:01:34.940 - 00:01:39.180] 我們的圖片鐵文的話,它其實是支持多圖展示的
[00:01:39.180 - 00:01:44.300] 但是一般超過四張圖片的話,在MV發體的展示上面
[00:01:44.300 - 00:01:47.740] 它就會有一個折疊,隱藏到二級隱明區
[00:01:47.740 - 00:01:50.940] 需要點擊這個家號才能看到後面的圖片
[00:01:50.940 - 00:01:54.460] 所以建議大家在上傳圖片鐵文的時候
[00:01:54.660 - 00:01:57.540] 盡量上傳一到三張圖片就可以了
[00:01:58.540 - 00:02:01.300] 輪波圖的話類似於多圖
[00:02:01.300 - 00:02:05.300] 但是FB這塊的話,這些已經逐漸弱化了功能
[00:02:05.300 - 00:02:11.860] 它跟多圖的區別在於輪波圖上面是可以支持放練接的
[00:02:11.860 - 00:02:19.100] 我們的用戶點擊圖片之後,它可以進入到希望它跳轉的往紙頁面
[00:02:19.100 - 00:02:23.060] 圖上的三個鐵文都是採用輪波圖的形式
[00:02:23.060 - 00:02:28.860] 像左面的這兩個,這種拼接圖,我們在設計的時候,可能花了一點小薪式
[00:02:28.860 - 00:02:35.340] 就是把一個產品拆成兩半,輪波展式,多一點拼接的沒改,有一一點小不同
[00:02:35.340 - 00:02:37.860] 可以抓住我們用戶的一個眼球
[00:02:37.860 - 00:02:43.060] 右側的話,就不做任何設計的話,上傳人之後大概就是這樣子顯示的
[00:02:43.060 - 00:02:51.660] 行動裝換類的鐵文,就是說我們可以在發布鐵文的時候,設置CTI的行動按鈕
[00:02:51.660 - 00:02:58.820] 比如說立機群價,詳細了解或者是像打電話給我三個Messi的
[00:02:58.820 - 00:03:04.020] 或者是像我猜不留言等等行動按鈕都是可以設置的
[00:03:04.020 - 00:03:12.820] 如果我們在公共主義上面做了直播,這個直播的話,它會以鐵文的形式展示在我們的攤藍影當中
[00:03:12.820 - 00:03:21.460] Messi的電話,如果說如果做了直播的話,就像圖上面所顯示的,下面就是我們直播的視頻
[00:03:21.460 - 00:03:31.820] 這裡的活動鐵文,不是指的,就是我們發貼的內容,而是說類型上面,去創建一個活動鐵文
[00:03:31.820 - 00:03:42.660] 填寫這個活動的名稱,地底、日期、時間和說明,輸入和選擇跟我們活動相關的關鍵詞,方面用戶去搜索到
[00:03:42.660 - 00:03:54.500] Fascimoc的線上活動的話,它是有報名是否感興趣,包括支付和社群構建的活動功能
[00:03:54.500 - 00:04:02.740] 比如我們有一些線上的顏桃會,直播預熱,都是建議大家可以用活動的形式來設置的
[00:04:02.740 - 00:04:11.900] 我們可以把FB上面比較好的這個鐵文轉發到我們的這個Time Light上,也可以將我們
[00:04:11.900 - 00:04:18.020] 就是已經在中國製造網上面發布好的產品信息,已經分享到海外的視頻的平台上
[00:04:18.020 - 00:04:24.380] 這樣我們就不需要再去重新上傳圖片,或者是編機產品的文案信息
[00:04:24.380 - 00:04:32.540] 這種方式有一個好處,用戶這邊看到我們在國內有知名的平台上面去推廣產品
[00:04:32.540 - 00:04:40.460] 有知名的企業,來為我們去被說,它會增加用戶粉絲對於我們這個網頁的細人感
[00:04:40.460 - 00:04:47.450] 以上是產品鐵文形式的選擇,我們可以發布哪些內容呢?
[00:04:47.450 - 00:04:56.170] 如果說我們每天就是進發布產品宣傳類的信息,那麼這個主頁的內容上面肯定是比較酷造的
[00:04:56.170 - 00:05:04.610] 在主題內容上面,除去向新品報品之外,大家可以選擇一些比如說像行業資訊類,出銷類的
[00:05:04.610 - 00:05:13.450] 買家成功故事、品牌宣傳、服務、僅日祝福、公義等等,作用我們的這個鐵文內容來發布
[00:05:13.450 - 00:05:24.970] 行業資訊類的鐵文內容,建議大家可以從買家的角度去考慮選擇對買家來說,他們這邊來看會比較有價值的信息
