# 1.秒懂社媒营销•第一节

language=zh
language_probability=1.000
model=tiny

[00:00:00.340 - 00:00:04.500] 哈囉大家好 我是這邊是來自中國製造網的酒令老師
[00:00:04.500 - 00:00:09.500] 今天的話會跟大家介紹一下海外設美的一些平台特幸
[00:00:09.500 - 00:00:14.420] 然後今天的主要是個程度的話會從Facebook以及Skwan兩個指導
[00:00:14.420 - 00:00:16.580] 對大家進行一個整體的一個介紹
[00:00:16.580 - 00:00:21.700] 希望大家能夠通過這個課程快速去熟悉各個生命平台的一些屬性跟特點
[00:00:21.700 - 00:00:25.420] 然後可以跟至個平台的特幸去針對性的運營
[00:00:25.420 - 00:00:34.060] 這開始的地方的話其實可以跟大家去介紹一些數字以及為什麼我們要去做海外設美營銷呢
[00:00:34.060 - 00:00:37.580] 這邊有一些標籠的數字大家可以先看一下
[00:00:37.580 - 00:00:42.300] 首先百分之八十的一個中國出海品牌
[00:00:42.300 - 00:00:48.140] 其實在目前為止是沒有去建立一個屬於自己的海外設交平台的帳號
[00:00:48.140 - 00:00:56.460] 對於海外的設交媒體銷來說我們去做這麼一個個人的一個使用媒體照號運營
[00:00:56.460 - 00:01:03.100] 還是一個藍害的階段也比較去適合一些國內的國內商取做一些跨境出海的嘗試
[00:01:03.100 - 00:01:11.340] 第二塊的話目前全球已經有超過8.8.8%的一些設交媒體平台用戶
[00:01:11.340 - 00:01:15.580] 這個數字的話的戰全球互聯網總數理個90.3%
[00:01:15.580 - 00:01:23.820] 如果說我們在這個地方去花費一些經歷的話其實是可以去預想到我們能夠收獲一些什麼樣的粉絲群體
[00:01:23.820 - 00:01:25.820] 以及什麼樣的粉絲數量
[00:01:25.820 - 00:01:29.460] 第三塊的話也是根據些數據顯示
[00:01:29.460 - 00:01:38.380] 通過社交媒體銷獲得用戶的方式其實對比傳統的營銷方式來說結成了大概有4%左右的營銷成本
[00:01:38.380 - 00:01:45.660] 傳統營銷方式大家了解到的可能就是先下得一些廣告然後就是實體的外廣告等等
[00:01:45.660 - 00:01:50.460] 線上的話其實更多的就是廣告推廣已經進行切都廣告等等
[00:01:50.460 - 00:01:58.100] 通過是要沒停下方式我們也可以使用一些廣告費或者是付費的營銷方式去進行一些我們自己個人的營銷
[00:01:58.100 - 00:02:03.580] 這塊的話其實對比一些傳統營銷方式還是能夠結身很大一部分成本的
[00:02:03.580 - 00:02:08.060] 第四塊的話也是根據用戶調查顯示
[00:02:08.060 - 00:02:15.660] 百分之七十左右的用戶其實更加地去清向於過滿自己在Facebook等是知道沒幾上面有關注過的一些品牌
[00:02:15.660 - 00:02:23.860] 這個品牌的第一其實比較廣一個就是對於一些我們常國人之中比較經常看到一些快銷品牌
[00:02:23.860 - 00:02:29.180] 比如說一些大牌的保險或者說其他的一些快銷品
[00:02:29.180 - 00:02:34.980] 然後說吃品等等如果你在是到面前上面有去刷到過的話其實會比一些沒有去做
