# 2. 秒懂社媒营销•第二节

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:03.060] 哈囉大家好,今天是我們玩戰海灣設備的第二節克
[00:00:03.060 - 00:00:10.000] 今天的話,會從三個平台對大家進行一個主要的入門介紹以及如何去處設自己的個人戰後
[00:00:10.000 - 00:00:12.800] 以及張後發布的一些基本進行的教學
[00:00:12.800 - 00:00:15.880] 第一個平台的話,我們今天會從YouTube開始
[00:00:15.880 - 00:00:17.800] 首先,介紹一下這個平台
[00:00:17.800 - 00:00:23.040] YouTube的話,其實大家都比較了解,它是全球最大的在線視頻網站
[00:00:23.040 - 00:00:26.880] 然後,它目前的現在的一個月火是在25億左右
[00:00:26.880 - 00:00:29.960] 平均的日火的話,是在1.2億人次
[00:00:29.960 - 00:00:34.820] 每天,它的數字讓學是比較大大概會有11小時的一個播放量
[00:00:34.820 - 00:00:39.160] 這個的話是今年的比較新的一個數字
[00:00:39.160 - 00:00:40.700] 大家可以一起看一下
[00:00:40.700 - 00:00:45.320] YouTube的話,現在可以把它認作是一個比較大的一個搜索引擎
[00:00:45.320 - 00:00:49.160] 除了骨頭,骨頭,以外應該是排名第二大的搜索引擎
[00:00:49.160 - 00:00:55.800] 世界上如果按總人口來計算的話,大概會有31個人口是在使用YouTube
[00:00:55.800 - 00:00:58.360] 解除到2020年底
[00:00:58.360 - 00:01:02.200] YouTube124每天的一個觀看,次數是超過300億元
[00:01:02.200 - 00:01:06.040] SARS的話,其實是YouTube最新推出的一個新的功能
[00:01:06.040 - 00:01:08.840] 因為YouTube本身是一個長視頻平台
[00:01:08.840 - 00:01:13.200] SARS的話,也是不明思議,它是一個比較短的
[00:01:13.200 - 00:01:20.380] 就是我們可以去上傳15秒到1分鐘左右的一個短視頻,如果它的一個隔是在數版的
[00:01:20.380 - 00:01:24.220] 它會自動去歸類到微YouTube124裡面
[00:01:24.740 - 00:01:31.640] 解除到2020年1月,YouTube用火每個月,在該應用上面花費時間將近有24個小時
[00:01:31.640 - 00:01:35.740] 這個時常也是非常的可觀的
[00:01:35.740 - 00:01:40.600] 首先,介紹一下我們怎麼樣的去使用YouTube平台的話
[00:01:40.600 - 00:01:44.180] YouTube的話,它是屬於谷歌其下的
[00:01:44.180 - 00:01:49.820] 所以我們只需要用一個谷歌的帳戶,就可以去動入你的YouTube帳戶
[00:01:49.820 - 00:01:52.380] 這邊的話,可以稍微跟大家演示一下
[00:01:52.380 - 00:01:56.480] 就是你可以一點,機就是YouTube觀望,然後選擇
[00:01:56.480 - 00:01:58.280] 右上角有一個動物的
[00:01:58.280 - 00:01:59.040] 按鈕
[00:01:59.040 - 00:02:04.420] 這邊的話,你是動物好的一個帳戶,如果大家沒有動物的話,可以進去點擊動物
[00:02:04.420 - 00:02:11.060] 如果我們需要所以動物YouTube平台,先需要去注射一個谷歌帳戶
[00:02:11.060 - 00:02:15.420] 我會帳戶的話,就是大家現在翻嘗的一個帳戶
[00:02:15.420 - 00:02:19.520] 所謂谷歌然後是選的谷歌帳戶的一個唱件
[00:02:19.720 - 00:02:24.060] 一個手機號碎要注意的是,就是你一個手機號只能註冊一個國長
[00:02:24.060 - 00:02:30.780] 如果你這個國長戶被封掉了,那最好是換一個新的手機號碎註冊一個新的長戶
[00:02:31.800 - 00:02:36.420] 添些一些,就是基本的性命、用戶的一些信息
[00:02:36.920 - 00:02:44.100] 這邊的話,請不要建議大家用自己的名字,加數字的種族,因為傳數字或者說是其他類型的
[00:02:44.360 - 00:02:48.960] 可能你的帳號,一個是不容易去記主,第二個的話也會有一定的風險
[00:02:51.280 - 00:02:59.980] 主次好了,谷歌帳戶以後,就可以開始去注射你的玩善你的一個YouTube個人信息跟頻道信息
[00:03:00.240 - 00:03:04.600] 這邊的話,也是一樣點擊我們剛剛的YouTube的頻道
[00:03:04.600 - 00:03:08.440] YouTube的一個王子的鏈接然後開始邊擊你的頻道
[00:03:09.460 - 00:03:15.080] 點擊進來以後,可以看到它這邊有一個頻道的一個字定義的頁面
[00:03:15.280 - 00:03:20.960] 可以在這邊先去上傳你的一個照片,就是你用來低音你的一個
[00:03:21.980 - 00:03:28.900] 你的YouTube頻道的一個,是可以顯示在You上角,這邊可以看到因為我覺得是默認的嘛,所以我們又去怎麼去編輯他
[00:03:29.420 - 00:03:33.320] 然後這邊他建議的是上傳一個98成98向速的
[00:03:33.520 - 00:03:37.100] 頭項,然後最好是不要超過4照比
[00:03:37.600 - 00:03:40.420] 4MB,因為大了的話,他可能就沒辦法上傳
[00:03:40.940 - 00:03:43.500] 文件的格式的話是一批NG格式為主
[00:03:44.260 - 00:03:50.920] 這邊的話也可以去上傳一張紅複的圖片,這個會顯示在你的YouTube頻道,一件一點擊進來的地方
[00:03:51.440 - 00:03:54.000] 這是我們看到一些YouTube博主他們的一些
[00:03:54.500 - 00:04:00.140] 張號裡面的一面,裡面會有一張橫平的圖片,這個的話也是可以去同時去上傳的
[00:04:01.160 - 00:04:04.740] 這邊的基本的信息的話,大家可以一起來看一下怎麼去編輯
[00:04:05.000 - 00:04:10.380] 首先是我上的這個頻道的名稱這個頻道的名稱是可以跟別人最近重複的
[00:04:10.380 - 00:04:16.520] 然後也是跟自由TOOTAN內置裡面的一些內容,你看他14天之內是可以跟改名字兩次
[00:04:16.780 - 00:04:25.480] 然後第二個的話就是你的標誌名,標誌名的話一樣的也是可以在14天之內跟改兩次,這個名字的話就是你的一個
[00:04:25.740 - 00:04:26.260] 就是你的立刻
[00:04:26.760 - 00:04:29.840] 自由TOOTOOTAN號的ID,這個ID是不可以重複的
[00:04:30.100 - 00:04:33.940] 你可以選擇用自古人數字的一個方式來自音標誌
[00:04:35.220 - 00:04:38.800] 第三個說明說明的話就是你的照號簡介裡面的內容
[00:04:38.800 - 00:04:43.920] 這個地方的話可以把你公司相關的信息在這個地方去進行呈現
[00:04:45.460 - 00:04:50.840] 下一個是頻道的一個網址這個網址的話是Youtube他自動生成的
[00:04:51.340 - 00:04:56.720] 你可以跟著你的一個前面的就是我們說的標誌名來進行去自音譯
