# 3. 秒懂社媒营销•第三节

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:03.360] 好的今天就是來到我們這一次的
[00:00:03.360 - 00:00:05.440] 完整海外設美的第三節客
[00:00:05.440 - 00:00:08.360] 然後今天主要跟大家介紹的平台
[00:00:08.360 - 00:00:11.200] 是Twitter跟Tiktok兩名平台
[00:00:11.200 - 00:00:15.240] 首先的話呢先跟大家說一下Twitter這平台吧
[00:00:15.240 - 00:00:18.520] Twitter的話呢就是其實最近大家應該也聽到
[00:00:18.520 - 00:00:21.800] 我們就是從Masker說夠Twitter這個平台以來
[00:00:21.800 - 00:00:24.840] 並且到最近的改名為X
[00:00:24.840 - 00:00:26.680] 然後在Twitter這平台上
[00:00:26.680 - 00:00:29.960] 我們能換了其實它的一個資訊其實也是非常多的
[00:00:29.960 - 00:00:32.320] 尤其是最近的一個改名
[00:00:32.320 - 00:00:35.600] 其實要更多的人有關注到Twitter這個平台
[00:00:35.600 - 00:00:38.360] 然後今天的話呢就是我們的介紹呢
[00:00:38.360 - 00:00:40.360] 暫時就是以Twitter這個名字為主
[00:00:40.360 - 00:00:43.160] 就沒有按照它的一個新的名字去介紹它
[00:00:43.160 - 00:00:50.720] Twitter的話呢現在就是跟至2023年年初的一個統計來看
[00:00:50.720 - 00:00:53.920] 它的一個平台如果是在2041左右
[00:00:53.920 - 00:00:56.640] 越過的話呢是在3.3億
[00:00:56.960 - 00:01:00.480] 美日的新增用戶是大概在46萬左右
[00:01:00.480 - 00:01:03.480] 然後Twitter的話呢它的美日的一個Triven的發布
[00:01:03.480 - 00:01:09.280] 也就是說我們稱了一個Twits其實是在5億的一個兩也是非常自達的
[00:01:09.280 - 00:01:13.000] 然後這邊的話呢就是一些更想四等一些數字
[00:01:13.000 - 00:01:15.720] 這邊跟大家領緊個重要的說一下
[00:01:15.720 - 00:01:18.400] 在2022年10月底
[00:01:18.400 - 00:01:21.600] Twitter的一個回用戶其實是達到了5.4億
[00:01:21.600 - 00:01:25.600] 也是非常自達的一個用戶亮級
[00:01:25.600 - 00:01:28.920] Twitter的話呢在全球最火有的一個社交媒體平台
[00:01:28.920 - 00:01:31.480] 綁南中排名在第16位
[00:01:31.480 - 00:01:36.240] 並且呢Twitter在應該在美國就是歐美地區來看
[00:01:36.240 - 00:01:37.640] 台灣用戶中
[00:01:37.640 - 00:01:40.440] Twitter是最受歡迎的新文社交媒體網站
[00:01:40.440 - 00:01:43.280] 這邊它的一個形容只是新文社交
[00:01:43.280 - 00:01:47.280] 所以也可以看出來Twitter這個平台在海外的一個用戶群女中
[00:01:47.280 - 00:01:49.400] 什麼樣的一個認為的一個地位
[00:01:49.400 - 00:01:51.800] 更多的可能是偏像一些新聞
[00:01:51.800 - 00:01:55.360] 第二個呢就是偏像的一個社交
[00:01:55.360 - 00:01:57.400] 這邊的話呢跟大家介紹一下
[00:01:57.400 - 00:02:00.800] 怎麼樣的去注冊一個我們Twitter的一個帳號
[00:02:00.800 - 00:02:04.840] 可以直接去點擊就是複製我平衡上這個網址
