# 1.搜索机制

language=zh
language_probability=1.000
model=tiny

[00:00:03.120 - 00:00:04.660] 各位回合人朋友大家好
[00:00:04.660 - 00:00:06.700] 歡迎大家來到今天的直播間
[00:00:06.700 - 00:00:10.280] 今天我們要分享的主題是中國知道網絡搜索機制
[00:00:11.060 - 00:00:17.720] 希望通過這門客權能夠幫助大家快速準確的去掌握中國知道網絡搜索機制的要點
[00:00:17.980 - 00:00:22.580] 既然能夠更加去高效的天家和優化自己的產品信息
[00:00:22.580 - 00:00:23.600] 提升排名
[00:00:24.360 - 00:00:27.700] 相信排名都是大家很關心的一個話題
[00:00:27.960 - 00:00:32.040] 很多人願意為一個好的排名去購買中國知道網的企業廣告
[00:00:32.240 - 00:00:35.880] 因為排名直接決定著產品的報況
[00:00:37.160 - 00:00:41.520] 而國買廣告就是最為我定而最快的一個方式
[00:00:42.280 - 00:00:51.760] 我們通過了解排名規則以後去優化調整產品是產品符合排名規則就是另外一種的增加排名的方式
[00:00:54.440 - 00:00:55.980] 在產品搜索排名中
[00:00:56.240 - 00:00:58.280] 我這裡有列出了一些問題
[00:00:58.280 - 00:01:02.900] 比如說產品信息如何能夠出現在搜索界為en面
[00:01:03.100 - 00:01:04.700] 如何提升我的產品排名
[00:01:04.960 - 00:01:08.540] 產品名稱設置了關鍵詞還需要在設置嗎
[00:01:09.040 - 00:01:11.340] 主大產品在排名中如何起導作用的
[00:01:11.600 - 00:01:16.460] 這些等等其實都是我們工商經常會遇到的一些問題
[00:01:16.980 - 00:01:20.040] 為了方面大家更好的去學習理解
[00:01:20.300 - 00:01:26.700] 在講中國知道網絡搜索機制規則之前我們一起先來思考一個問題
[00:01:29.430 - 00:01:32.490] 當買家搜索的時候他想看到的是什麼
[00:01:32.690 - 00:01:35.050] 搜索已經又會怎麼去推薦
[00:01:36.330 - 00:01:44.270] 任何一套搜索系統大大五個百度小大論壇你的搜索方說到底都是為搜索者去服務的
[00:01:44.270 - 00:01:46.830] 而不是為信息提供者服務
[00:01:47.330 - 00:01:55.270] 各大平台在優化自己搜索機制的時候實際上是在尋找一種更準確高效的CC推送方式
[00:01:55.530 - 00:01:58.610] 讓搜索者能夠獲得更好的體驗度
[00:01:58.850 - 00:02:01.170] 他們才是平台的中班用戶
[00:02:01.690 - 00:02:07.810] 因此作為信息的體用者如果希望自己的信息能夠獲得更大的
[00:02:08.090 - 00:02:16.010] 保工的機會就要去學會去利用搜索機制的規則去進行用化條件自己的信息
[00:02:16.270 - 00:02:20.890] 而不是按照自己的意志去隨意的去任意地去做設置
[00:02:21.390 - 00:02:24.730] 這就是我們一直所強調的叫換衛思考
[00:02:25.490 - 00:02:29.590] 所以其實搜索機制他看上去非常的複雜
[00:02:29.850 - 00:02:31.890] 其實理解起來也很簡單
[00:02:32.150 - 00:02:38.550] 因為他是為馬家服務的只要我們提供的信息是馬家樂於看到的
[00:02:38.810 - 00:02:43.670] 我們就基本上是符合搜索機制的排骨貴責
[00:02:46.380 - 00:02:49.200] 如果說一個用戶去擺奪去搜索股票
[00:02:49.460 - 00:02:53.040] 那麼出來的結果就不能是方砍的網站
[00:02:53.240 - 00:02:56.360] 其實這家方砍的網站給了再多的廣告費也不行
[00:02:56.620 - 00:02:59.180] 因為他與用戶的搜索是不相符的
[00:02:59.440 - 00:03:01.480] 這樣的搜索機制是失敗的
[00:03:01.740 - 00:03:05.340] 這樣的搜索已經用戶也不會去再次學用
[00:03:06.100 - 00:03:13.780] 我們中午就讓網的搜索機制會在買家書錄門某個搜索思議後會對所有的產品進行一切全門的上標
[00:03:14.540 - 00:03:17.620] 只要一條產品出現了對應的搜索思
[00:03:17.880 - 00:03:20.680] 比如說在民權中關鍵資描述中等等
[00:03:20.680 - 00:03:25.040] 那麼這條產品就參與到本次搜索結果的展示了
[00:03:25.800 - 00:03:30.400] 如果全門搜索以後發現這條產品都沒有任何一出有對應的搜索思
[00:03:30.660 - 00:03:34.500] 那麼搜索結果中就不會顯示這一條產品
[00:03:36.840 - 00:03:39.660] 我們還是用戶去擺奪搜索股票為地
[00:03:39.900 - 00:03:42.980] 假設出現的結果是股票了
[00:03:43.480 - 00:03:49.120] 那麼也應該是全位的網站和專業的論壇他的排名更靠前
[00:03:49.320 - 00:03:54.240] 只量低下的一些體驟和文章他的排名教為靠後
[00:03:55.260 - 00:04:01.400] 中國知道網買家搜索的時候同樣是希望先看到一些高頻制的產品新鮮
[00:04:01.920 - 00:04:05.500] 什麼是高頻制啊包括像我這個產品有豐富的讀問新鮮
[00:04:05.760 - 00:04:10.360] 有一些專業的價格有一些專業的一些描述一些
[00:04:10.620 - 00:04:13.180] 最小喜領利亞交易條件等等
[00:04:13.440 - 00:04:17.800] 因此信息品質高的排名他會更有有事
[00:04:20.920 - 00:04:24.040] 如果單從搜索機制的用戶體驗來說呢
[00:04:24.300 - 00:04:28.140] 應該是只考慮到我們上面說的這兩個因素
[00:04:28.400 - 00:04:30.440] 匹配讀和信息品質
[00:04:30.960 - 00:04:35.820] 但是任何一家搜索引擎都讓不開的話題是英利模式
[00:04:36.080 - 00:04:39.400] 類似於谷歌的進展排名或者是固定排位的廣告
[00:04:39.660 - 00:04:46.560] 畢竟沒有搜索引擎他是此產機構他需要去放張利潤來進一步優化自己的算法
[00:04:46.820 - 00:04:49.380] 並且做更多取到的退款
[00:04:50.400 - 00:04:55.320] 那麼我們作為B2B平台的收費客戶同樣會享受到類似的
[00:04:56.100 - 00:04:58.900] 又是在排名上是優先展示的
[00:05:02.180 - 00:05:06.260] 以上基本就是搜索引擎會考慮到三個主流的搜索因素了
[00:05:06.520 - 00:05:09.340] 匹配讀信息品質和會員級別
[00:05:09.600 - 00:05:10.620] 中共是當然也不理外
[00:05:10.880 - 00:05:17.020] 某些特定的搜索引擎還會根據搜索者的喜號加上按照比如說像時間的排序
[00:05:17.280 - 00:05:18.560] 想價格的排序
[00:05:18.560 - 00:05:24.200] 想千元千面還沒有像現在比較流行的一些AI的推薦一些細化的一些選項
[00:05:27.170 - 00:05:27.930] 說到這裡呢
[00:05:28.190 - 00:05:31.530] 其實也就會比較容易的去理解搜索基礎了
[00:05:31.770 - 00:05:33.830] 中國知道網絡搜索基礎也是一樣的
[00:05:34.090 - 00:05:36.890] 也是在這樣的一個大的原則裡面
[00:05:37.150 - 00:05:42.790] 中國知道網絡搜索主要影響因素的排除到我們所說的這個購買的國高資源以外
[00:05:43.050 - 00:05:46.370] 影響到自然排名最主要的是5個方面
[00:05:46.370 - 00:05:47.910] 金準性
[00:05:48.170 - 00:05:52.250] 產品新級共一削新級主打分之和委員級別
[00:05:53.790 - 00:05:56.090] 金準性就是和買家搜索資的皮配度
[00:05:56.610 - 00:06:03.770] 產品新級共削新級就相當於保證優質的產品和優質的公司能夠優先感試
[00:06:04.550 - 00:06:05.070] 優先感試
[00:06:05.310 - 00:06:07.110] 優先感試中國知道有的分析規則
[00:06:07.370 - 00:06:09.670] 這5點是儲存去貫量的
[00:06:10.170 - 00:06:15.810] 每達成1點就等於為全面的排名加上一層更好的保障
[00:06:18.220 - 00:06:22.580] 下面我們就來分別看一下這幾個因素是如何去發揮作用的
[00:06:23.080 - 00:06:27.700] 我們怎麼樣做才能去符合中國知道的排名規則或者跟它的排名
[00:06:27.960 - 00:06:30.500] 首先我們一起來瞭解一下金準性
[00:06:31.020 - 00:06:34.340] 所謂金準性也可以說是信息的皮配度
[00:06:34.600 - 00:06:40.740] 就是我們發布的產品新級一定叫跟買家可能用來搜索的詞皮配的上
[00:06:41.260 - 00:06:45.860] 這樣才能保證搜索出來的產品是買家想要的東西
[00:06:49.850 - 00:06:54.250] 買家在中國知道老尋找產品的時候一般會有兩種搜索方式
[00:06:54.770 - 00:06:56.810] 目錄搜索和關鍵搜索
[00:06:57.330 - 00:07:01.930] 因此我們的信息金準性分別對應著也是這兩點
[00:07:03.730 - 00:07:06.790] 我們先看目錄的金準性很簡單就一句話
[00:07:07.050 - 00:07:12.170] 就是我們的目錄一定叫去保持準確與產品的類型一致
[00:07:12.430 - 00:07:13.710] 一旦選錯了
