# 2.如何打造优质展示厅（PRO版）

language=zh
language_probability=1.000
model=tiny

[00:00:02.450 - 00:00:04.450] 大家好,我是梗昆
[00:00:04.450 - 00:00:08.850] 今天給大家帶來的是如何打造優質展示廳的科學
[00:00:08.850 - 00:00:11.970] 中國知道往目前的展示廳,分為兩種類型
[00:00:11.970 - 00:00:14.970] 一種是我們通用的展示廳百市
[00:00:14.970 - 00:00:17.570] 一種是展示廳Pro
[00:00:17.570 - 00:00:22.930] 今天的科學是為了展示廳Pro的功能,操作以及設置技巧
[00:00:24.690 - 00:00:28.650] 展示廳是我們向買家展示我們自己產品
[00:00:28.650 - 00:00:30.650] 公司實力的前面窗口
[00:00:30.650 - 00:00:32.970] 他的作用不一樣而遇
[00:00:32.970 - 00:00:36.610] 在往後推廣中買家對於企業的第一印象
[00:00:36.610 - 00:00:39.370] 往往是來自於我們的展示廳的
[00:00:39.370 - 00:00:43.770] 展示廳的設置是能夠讓買家快速的了解
[00:00:43.770 - 00:00:45.610] 我們企業的公司實力
[00:00:45.610 - 00:00:47.770] 服務能力服務意識
[00:00:47.770 - 00:00:54.950] 同時展示廳也是促進商機巡盤轉換的地氣
[00:00:54.950 - 00:00:56.870] 我們看一下這數字
[00:00:56.870 - 00:01:00.150] 平台數據顯示,百分之四的買家
[00:01:00.150 - 00:01:03.150] 在訪問過產品相依以後
[00:01:03.150 - 00:01:06.430] 會繼續去查看企業的展示廳
[00:01:06.430 - 00:01:10.270] 主要會停留在向首頁產品展示廳
[00:01:10.270 - 00:01:12.070] 連線信息頁面
[00:01:12.070 - 00:01:14.790] 也就是接近於一半的買家
[00:01:14.790 - 00:01:17.790] 在給我們去發送食盤之前
[00:01:17.790 - 00:01:20.790] 是需要去看展示廳的信息
[00:01:20.790 - 00:01:24.390] 去促進它去完成尋驗的決定
[00:01:24.390 - 00:01:29.060] 所以展示廳是非常重要的
[00:01:29.060 - 00:01:32.140] 我們先來看一下展示廳Pro的功能量點
[00:01:33.140 - 00:01:35.220] 當對於普通的展示廳版
[00:01:35.220 - 00:01:38.740] 展示廳Pro在可選擇內容豐富度
[00:01:38.740 - 00:01:42.340] 和整體展示框架上都有所升級
[00:01:42.340 - 00:01:43.980] 在內容影銷上
[00:01:43.980 - 00:01:46.020] 有多種不同的內容區塊
[00:01:46.020 - 00:01:47.940] 是可以自由組合
[00:01:47.940 - 00:01:51.420] 向視頻、全景、各種樣式的展態
[00:01:51.420 - 00:01:52.380] 多與能動
[00:01:52.380 - 00:01:54.900] 去提高內容的影銷能力
[00:01:54.900 - 00:01:58.500] 在框架設計上展示廳Pro更強調
[00:01:58.500 - 00:01:59.780] 各性化展示
[00:02:00.060 - 00:02:02.860] 每家各乎可以去按照自己的想法
[00:02:02.860 - 00:02:06.940] 是可以做出自己獨有的公司特色出來的
[00:02:06.940 - 00:02:09.500] 而不是前面與率
[00:02:09.500 - 00:02:11.620] 通過這種多樣化的呈現形式
[00:02:11.620 - 00:02:15.900] 去提高設計的影銷能力
[00:02:15.900 - 00:02:19.220] 接著我們來看一下具體的操作演示
[00:02:19.220 - 00:02:21.220] 為了方面大家快速的了解
[00:02:21.220 - 00:02:26.420] 我們將實際操作去拆分為五個步驟來講解
[00:02:26.420 - 00:02:29.580] 第一步選擇主題
[00:02:29.580 - 00:02:33.380] 我們有展示廳Pro的工商去登陸到我們的
[00:02:33.380 - 00:02:37.180] 為初Aface在展示廳管理拆單
[00:02:37.180 - 00:02:40.780] 展示廳拆單處去點擊新建版本
[00:02:40.780 - 00:02:44.700] 有兩個同用主題以及空白業是可以選擇的
[00:02:44.700 - 00:02:48.580] 同用主題是平台給大家的兩個參考樣們
[00:02:48.580 - 00:02:53.100] 不過各人建議大家可以去直接去選擇空白業
[00:02:53.100 - 00:02:56.100] 空白業更變於大家在首次操作的時候
[00:02:56.100 - 00:02:58.740] 去了解各個區塊功能
[00:02:58.740 - 00:03:01.540] 而且我都選擇了展示廳Pro的
[00:03:01.540 - 00:03:05.540] 還是需要我們去做出自己的特色來的
[00:03:06.740 - 00:03:08.980] 第二步設置主顏面
[00:03:08.980 - 00:03:11.620] 顏面設置可以去修改主題名稱
[00:03:11.620 - 00:03:13.860] 設置整體顏面的背景顏色
[00:03:13.860 - 00:03:15.380] 以及背景圖片
[00:03:15.380 - 00:03:18.940] 背景色是可以根據系統所給的實色器
[00:03:18.940 - 00:03:21.140] 去調整顏色透明度
[00:03:21.140 - 00:03:25.220] 當然也可以去使用我們依有的背景圖片
[00:03:25.220 - 00:03:27.500] 可以從我們的本地電腦上傳
[00:03:27.500 - 00:03:31.700] 也可以從我們的素材固直接去選擇圖片
[00:03:32.660 - 00:03:36.100] 第三步公司的信息設置條件
[00:03:36.100 - 00:03:38.060] 在展示廳Pro的頂部
[00:03:38.060 - 00:03:40.860] 我們去上傳公司的LOGO
[00:03:40.860 - 00:03:44.460] 可以去選擇顯示或者也可以去隱藏
[00:03:44.460 - 00:03:46.180] 我們公司的信息
[00:03:46.180 - 00:03:49.380] 設置背景顏色已經背景圖片
[00:03:49.380 - 00:03:50.820] 元素的設計菜單
[00:03:50.820 - 00:03:56.300] 就在我們的顏面右上方的
[00:03:56.300 - 00:03:58.060] 第四步區塊設置
[00:03:58.060 - 00:04:00.060] 這是最重要的部分
[00:04:00.060 - 00:04:03.420] 這部分就是怎麼去搭建我們的展示廳
[00:04:03.420 - 00:04:07.780] 去呈現給買家所展示的主顏的內容
[00:04:08.420 - 00:04:10.780] 展示廳Pro的區塊分為產品
[00:04:10.780 - 00:04:14.300] 圖文、視頻、公司、四個大的板塊
