# 5.如何发布优质产品

language=zh
language_probability=1.000
model=tiny

[00:00:00.750 - 00:00:04.070] 各位中國製造網的會員朋友們大家好
[00:00:04.070 - 00:00:07.790] 今天我來給大家分享關於如何發品
[00:00:07.790 - 00:00:10.910] 或者如何去發布一條遊品
[00:00:10.910 - 00:00:13.870] 安品是我們線上推廣的基礎
[00:00:13.870 - 00:00:18.190] 一條遊品通常包括明料的產品標題
[00:00:18.190 - 00:00:20.750] 晚上的屬性經美的圖片
[00:00:20.750 - 00:00:22.830] 豐富的詳心驗等等
[00:00:22.830 - 00:00:26.990] 這些內容一定會影響到我們政府的奧光訪問
[00:00:26.990 - 00:00:28.670] 和訓課轉化效果
[00:00:28.910 - 00:00:31.030] 所以發品只關鍵的第一步
[00:00:31.030 - 00:00:32.630] 我們一定要做好
[00:00:32.630 - 00:00:35.150] 首先我們看一下套作陸景
[00:00:35.150 - 00:00:38.030] 在微微後臺產品的導航攔下
[00:00:38.030 - 00:00:39.830] 點接天家產品
[00:00:39.830 - 00:00:41.470] 如果您是自政府
[00:00:41.470 - 00:00:43.310] 需要我們到主張負
[00:00:43.310 - 00:00:45.910] 只開通相關的新系管理全線
[00:00:45.910 - 00:00:47.390] 您才可以添加
[00:00:47.390 - 00:00:49.390] 我相信一個優秀的運人
[00:00:49.390 - 00:00:51.830] 它是不會直接進入島
[00:00:51.830 - 00:00:53.470] 披量發品的階段
[00:00:53.470 - 00:00:56.430] 而是先給我們的賬號第一個目標
[00:00:56.430 - 00:00:59.910] 或者說進行一個上層建築的整體規劃
[00:00:59.910 - 00:01:03.150] 比如我正好處於一個剛起步的階段
[00:01:03.150 - 00:01:05.070] 那麼我的目標一般是
[00:01:05.070 - 00:01:07.830] 可以訂一個大概天家多少條的
[00:01:07.830 - 00:01:09.510] 一個非重複的產品
[00:01:09.510 - 00:01:11.910] 產品數量是否能夠達到我
[00:01:11.910 - 00:01:15.550] 相關的這個賬號全線的50%
[00:01:15.550 - 00:01:17.590] 如果您是萬事會員
[00:01:17.590 - 00:01:19.590] 一般就是一千條起
[00:01:19.590 - 00:01:21.190] 我們的產品目路
[00:01:21.190 - 00:01:23.350] 產品分組該怎麼去分配
[00:01:23.350 - 00:01:25.310] 怎麼去設置等等
[00:01:25.310 - 00:01:27.670] 有了出步的規劃之後
[00:01:27.670 - 00:01:30.430] 我們就開始去選擇合適的目路
[00:01:30.430 - 00:01:33.070] 不同目路下的產品標準屬性
[00:01:33.070 - 00:01:34.190] 是不同的
[00:01:34.190 - 00:01:37.670] 我們要選擇和產品相關的目路才行
[00:01:37.670 - 00:01:40.910] 如何去選定合適的目路呢
[00:01:40.910 - 00:01:42.470] 有三種方法
[00:01:42.470 - 00:01:44.750] 一個是根據一進目路
[00:01:44.750 - 00:01:47.830] 主級篩選出產品的最中目路
[00:01:47.830 - 00:01:48.670] 這個呢
[00:01:48.670 - 00:01:50.670] 得對自己的產品的屬性
[00:01:50.670 - 00:01:53.750] 品類有非常明確的一個控
[00:01:53.910 - 00:01:56.190] 第二個方法就是根據產品的
[00:01:56.190 - 00:01:57.550] 英文關鍵詞
[00:01:57.550 - 00:01:59.950] 在搜索匡中去輸入
[00:01:59.950 - 00:02:01.590] 點擊搜索之後
[00:02:01.590 - 00:02:04.350] 謝同會自動匹配出一個合適動目路
[00:02:04.350 - 00:02:05.350] 好
[00:02:05.350 - 00:02:07.310] 要是您還是不太確定
[00:02:07.310 - 00:02:09.590] 想看看同行是怎麼發品的
[00:02:09.590 - 00:02:11.430] 還可以去MIC官網
[00:02:11.430 - 00:02:14.950] 首頁通過簡索您的產品關鍵詞
[00:02:14.950 - 00:02:17.910] 看看我的同行是怎麼放置的
[00:02:17.910 - 00:02:20.710] 那我們需要關注的是選錯目路
[00:02:20.710 - 00:02:21.870] 降排名
[00:02:21.870 - 00:02:24.310] 在一定要選擇精準的目路
[00:02:24.310 - 00:02:25.870] 盡量不要去選擇
[00:02:25.870 - 00:02:29.550] 阿子也就是其他的這種不精準目路
[00:02:29.550 - 00:02:30.910] 小蘭目路呢
[00:02:30.910 - 00:02:32.270] 我要產品包裝
[00:02:32.270 - 00:02:33.550] 我們一起來看看
[00:02:33.550 - 00:02:36.550] 需要準備哪些維度的信息
[00:02:36.550 - 00:02:39.390] 首先產品的名稱是標題
[00:02:39.390 - 00:02:41.030] 包括我們的關鍵詞
[00:02:41.030 - 00:02:41.950] 屬性
[00:02:41.950 - 00:02:43.110] 貿易信息
[00:02:43.110 - 00:02:44.790] 比如價格
[00:02:44.790 - 00:02:46.670] 實效也還有圖片
[00:02:46.670 - 00:02:47.630] 視頻
[00:02:47.630 - 00:02:50.230] STO型號等等
[00:02:50.230 - 00:02:52.670] 我們先一起來看它名稱
[00:02:52.670 - 00:02:54.630] 產品名稱是關鍵
[00:02:54.630 - 00:02:57.470] 也是影響到產品排名的重點
[00:02:57.470 - 00:03:00.470] 產品名稱的秘名規則是修式詞
[00:03:00.470 - 00:03:02.150] 加中心詞
[00:03:02.150 - 00:03:04.710] 中心詞就是能夠描述產品
[00:03:04.710 - 00:03:06.750] 是什麼的核心詞
[00:03:06.750 - 00:03:08.870] 一般都是用名詞
[00:03:08.870 - 00:03:12.590] 修式詞則是用於修式中心詞的其他詞語
[00:03:12.590 - 00:03:15.750] 可以詞名詞或者形容詞等等
[00:03:15.750 - 00:03:18.550] 一般我們再給產品秘名的詞號
[00:03:18.550 - 00:03:21.830] 長部控制在10個單字左右就可以
[00:03:21.830 - 00:03:22.470] 注意
[00:03:22.470 - 00:03:26.590] 不要再明分中去堆氣重複的關鍵詞
[00:03:26.590 - 00:03:27.990] 並且修式詞
[00:03:27.990 - 00:03:29.190] 順時的調範
[00:03:29.190 - 00:03:30.150] 對於疲派
[00:03:30.150 - 00:03:31.750] 是沒有什麼影響的
[00:03:31.750 - 00:03:33.190] 我也經常會遇到
[00:03:33.190 - 00:03:36.070] 有一些我們的這個工資上朋友們來問
[00:03:36.070 - 00:03:38.550] 中心詞到底要不要選
[00:03:38.550 - 00:03:39.750] 雖然中心詞
[00:03:39.750 - 00:03:41.590] 它是一個非貝貼項
[00:03:41.590 - 00:03:43.750] 但我還是建議去選擇的
[00:03:43.750 - 00:03:45.070] 因為你填了
[00:03:45.070 - 00:03:47.310] 一個中心詞就像當於你的意見
[00:03:47.310 - 00:03:48.750] 去投類一票
[00:03:48.750 - 00:03:51.750] 戒統會綜合跟職場品的目錄
[00:03:51.750 - 00:03:53.670] 名稱中心詞
[00:03:53.670 - 00:03:55.310] 關鍵詞主圖
[00:03:55.310 - 00:03:57.190] 詳情宴等等信息
[00:03:57.190 - 00:03:59.070] 綜合起來去判斷
