# 1.高效运营账号-推广效果提升秘籍

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:06.000] 各位官員商朋友大家好 歡迎來到本次中國製造網站好提升培訓嚇
[00:00:06.000 - 00:00:15.840] 我們每一位在平台上經營的供應商忙引擎都希望自己的站好能夠獲得更多的報光更多的點擊
[00:00:15.840 - 00:00:20.440] 更多的精準商機最終轉化成為穩定持續的訂單
[00:00:20.440 - 00:00:24.840] 但是在實際運營的過程中 我相信大家
[00:00:24.840 - 00:00:27.800] 互動或少都會遇到一些貢獻的困惑
[00:00:27.800 - 00:00:32.280] 比如說產品發了不少 可是包汪量一直上不去
[00:00:32.280 - 00:00:36.680] 我的排名名名還可以為什麼買家不點進來呢
[00:00:36.680 - 00:00:41.640] 循環是有的 但是回復之後 買家就沒有再回了
[00:00:41.640 - 00:00:46.040] 還有的商家名名投入了時間經歷甚至廣告成本
[00:00:46.040 - 00:00:52.440] 但是整體效果卻沒有達到預期不知道從哪裡開始優化
[00:00:52.440 - 00:00:58.280] 我們為了解決大家在實際運營中遇到的這些真實的痛點難點
[00:00:58.280 - 00:01:01.880] 我們本次的課程也會分為多節內容
[00:01:01.880 - 00:01:06.680] 因為我們處於不同推廣階段的商家提供行動建議
[00:01:06.680 - 00:01:15.290] 在開始講這個具體操作之前 我先帶大家看一組數據
[00:01:15.290 - 00:01:20.250] 這個是基於真實的B2B採購行為總結出來的
[00:01:20.250 - 00:01:26.970] 就現在的跨金買家在最終下單錢平均會對比5%平台
[00:01:26.970 - 00:01:33.050] 一比訂單成交平均要經過18%以上的賺點擊
[00:01:33.050 - 00:01:39.290] 說明什麼呢 說明我們壁端的採購決刺週七是比較長的
[00:01:39.290 - 00:01:40.890] 對比是多的
[00:01:40.890 - 00:01:45.770] 我們必須在每一個環節都抓住買家 更關鍵的是
[00:01:45.770 - 00:01:49.130] 80%的B2買家需要實施想應
[00:01:49.130 - 00:01:52.890] 在一小時之內回覆的話 買家主動連心理的
[00:01:52.890 - 00:01:55.050] 貝率會提升7倍
[00:01:55.050 - 00:02:00.490] 70%以上的B2B採購都是在線上完成的
[00:02:00.490 - 00:02:05.130] 買家最看中的方便信任和安全
[00:02:05.130 - 00:02:09.990] 理解了買家的真實行為邏輯之後
[00:02:09.990 - 00:02:13.190] 我們接下來要看一個關鍵的問題
[00:02:13.190 - 00:02:16.630] 就是我們想要的流量到底從哪裡來
[00:02:16.630 - 00:02:19.750] 平台又是按照什麼樣的規則
[00:02:19.750 - 00:02:23.750] 把流量分發給不同的光影商的
[00:02:23.750 - 00:02:28.470] 我們中國製造網站的平台的流量是有3大流量
[00:02:28.470 - 00:02:31.350] 已經共同驅動協同發力的
[00:02:31.350 - 00:02:35.270] 只有3大流量都不足到未運用到未
[00:02:35.270 - 00:02:39.030] 我們才能最大化的報光抓住流量
[00:02:39.030 - 00:02:43.430] 我們這理解單說一下第一大流量已經是負費流量
[00:02:43.670 - 00:02:47.270] 負費流量是最直接或取排名的方式
[00:02:47.270 - 00:02:52.470] 也是我們搶戰核心關鍵此搶戰手業位置的重要手段
[00:02:52.470 - 00:02:56.470] 平台目前為大家提供的負費退廣工具包括
[00:02:56.470 - 00:03:00.550] 下面的前貓廣告翻一番水星頭的
[00:03:00.550 - 00:03:05.350] 品牌廣告比如說像去交以及地上推廣
[00:03:05.350 - 00:03:08.070] 這種的一系列程處的推廣產品
[00:03:08.070 - 00:03:12.230] 負費流量的優勢在於能夠快速地把我們的核心產品
[00:03:12.230 - 00:03:14.230] 給推到買家面前
[00:03:14.790 - 00:03:19.030] 第二大流量已經是活動場景流量
[00:03:19.030 - 00:03:22.710] 活動流量是平台集中素能的重要場景
[00:03:22.710 - 00:03:26.550] 平台每年會持續推出各類活動的
[00:03:26.550 - 00:03:29.670] 第三大流量已經是散化推薦流量
[00:03:29.670 - 00:03:33.190] 這算是最穩定最持久的流量
[00:03:33.190 - 00:03:36.390] 散化流量取決於我們的產品優化質量
[00:03:36.390 - 00:03:37.990] 賬號整理的權重
[00:03:37.990 - 00:03:41.430] 買家的一些行為反會議是我們的服務的想議水平
[00:03:41.430 - 00:03:45.670] 今天我們講解其實也是著中在這方面
[00:03:45.670 - 00:03:50.150] 那三種流量場景需要斜通布局才能最大化的去
[00:03:50.150 - 00:03:51.510] 或去報告
[00:03:51.510 - 00:03:58.460] 當我們了解清楚了平台的流量從哪裡來之後
[00:03:58.460 - 00:04:01.100] 我們還要站在買家的角度
[00:04:01.100 - 00:04:04.220] 完整作完一遍現場才會全流成
[00:04:04.220 - 00:04:05.900] 只有真正的東買家
[00:04:05.900 - 00:04:08.620] 我們才能吃到每一步應該做什麼
[00:04:08.620 - 00:04:12.220] 才能精準地去接著流量轉化流量
[00:04:12.540 - 00:04:15.740] 事實上無論是什麼行業、產品
[00:04:15.740 - 00:04:17.500] 海外B2B的買家
[00:04:17.500 - 00:04:19.580] 他們在線上找播音商
[00:04:19.580 - 00:04:21.980] 整個路徑其實是高度以至道
[00:04:21.980 - 00:04:26.220] 我們大方上可以清晰分為四個關鍵步驟
[00:04:26.220 - 00:04:28.860] 這四個步驟也是還還相扣的
[00:04:28.860 - 00:04:32.460] 對應我們運營的四大核心目標
[00:04:32.460 - 00:04:35.260] 第一步就是發現產品
[00:04:35.260 - 00:04:38.140] 這也是買家和我們的第一次基礎
[00:04:38.140 - 00:04:40.700] 買家通過蘇索推薦
[00:04:40.700 - 00:04:42.700] 或者說活動等取道
[00:04:42.700 - 00:04:44.940] 第一次看到我們的產品
[00:04:44.940 - 00:04:46.140] 這個階段
[00:04:46.140 - 00:04:49.100] 我們的核心目標就是報光
[00:04:49.100 - 00:04:53.100] 讓足夠多的精準買家能夠看到我們的產品
[00:04:53.100 - 00:04:55.980] 沒有報光一切都無從彈寺
[00:04:55.980 - 00:04:59.500] 報光是所有運營工作的起點
[00:04:59.500 - 00:05:01.980] 第二步篩選產品
[00:05:01.980 - 00:05:03.820] 買家看到很多產品之後
[00:05:03.820 - 00:05:06.700] 會開始點擊對比去篩選
[00:05:06.700 - 00:05:09.820] 判斷拿的產品更符合自己的需求
[00:05:09.820 - 00:05:12.940] 這個階段我們的核心目標是訪問
[00:05:12.940 - 00:05:15.260] 讓買家願意從蘇索業點
[00:05:15.260 - 00:05:17.820] 進我們的產品商品業願意去
[00:05:17.820 - 00:05:20.780] 花十間了解我們的產品
[00:05:20.780 - 00:05:23.420] 第三步就是尋價資訊
[00:05:23.420 - 00:05:26.700] 買家看完產品商品確認產品
[00:05:26.700 - 00:05:28.300] 基本品配之後
[00:05:28.300 - 00:05:29.900] 會主動發送尋盤
[00:05:29.900 - 00:05:31.580] 發送TEM消息
[00:05:31.580 - 00:05:34.700] 這個階段我們的核心目標是商資
[00:05:34.700 - 00:05:37.020] 讓買家主動連續我們
[00:05:37.020 - 00:05:40.300] 把流量變成實施在在的巡盤
[00:05:40.300 - 00:05:42.460] 第四步商資轉化
[00:05:42.460 - 00:05:44.460] 買家經過多輪的溝通
[00:05:44.460 - 00:05:47.660] 對比確認之後最終確定合作
[00:05:47.660 - 00:05:49.660] 完成下單
[00:05:49.660 - 00:05:53.820] 這個階段我們的核心目標是轉化成交
[00:05:53.820 - 00:05:55.820] 把商資變成真實定單
[00:05:55.820 - 00:05:58.380] 把錢在特護變成合作合作
[00:05:58.380 - 00:06:01.420] 我們運營的目標就是在每一個節點
[00:06:01.420 - 00:06:05.420] 都去基礎流量流住買家
[00:06:05.420 - 00:06:10.360] 我們下面首先來看一下曝光量
[00:06:10.360 - 00:06:12.920] 曝光的三大影響因素
[00:06:12.920 - 00:06:14.920] 數量排名和廣告
[00:06:14.920 - 00:06:19.080] 首先數量方面每個行業的精真程度不一樣
[00:06:19.080 - 00:06:22.200] 我們不常治要發滿多少數量
[00:06:22.200 - 00:06:26.120] 這裡給大家列一下會員對應的產品上限
[00:06:26.120 - 00:06:28.200] 金牌會員可以把一千個
[00:06:28.200 - 00:06:29.960] 算是會員三千個
[00:06:29.960 - 00:06:31.560] 又想封箱MK
[00:06:31.560 - 00:06:37.560] A克戶他可以有這個額外產品跌渣的數量全議
[00:06:37.560 - 00:06:41.560] 但是要注意不發系統判定的重複產品
[00:06:41.560 - 00:06:44.200] 我們要做的是精準破貨
[00:06:44.200 - 00:06:46.600] 每一個產品都高質量高批配
[00:06:46.600 - 00:06:50.120] 高薪質不是簡單的取堆數量
[00:06:50.120 - 00:06:51.800] 廣告數於負貝資源
[00:06:51.800 - 00:06:53.640] 今天我們不做展開
[00:06:53.640 - 00:06:59.880] 主要講解大家比較關心的產品排名
[00:06:59.880 - 00:07:04.360] 平台到底是按照什麼規則來決定產品排名的
[00:07:04.360 - 00:07:05.560] 先後順序
[00:07:05.560 - 00:07:10.280] 有一些商家平感絕平經驗去發產品
[00:07:10.280 - 00:07:13.640] 可能會覺得我發的多就應該產品排名好
[00:07:13.640 - 00:07:16.040] 但是卻是有認為
[00:07:16.040 - 00:07:18.840] 事實上我們目前的產品排名體系
[00:07:18.840 - 00:07:21.960] 還是非常清晰的是有五大核心維度
[00:07:21.960 - 00:07:24.440] 去綁合計算共同作用的
[00:07:24.440 - 00:07:28.440] 這五大核度分別是輸所疲配的精準性
[00:07:28.440 - 00:07:32.440] 產品的新疾主打的分質會員疾別
[00:07:32.440 - 00:07:34.120] 以及工藝商新疾
[00:07:34.120 - 00:07:41.130] 這才來暖把每一個維度的規則拆解給大家
[00:07:41.130 - 00:07:44.250] 我們先講排名第一核心因素
[00:07:44.250 - 00:07:46.570] 輸所疲配的精準性
[00:07:46.570 - 00:07:50.010] 其實平台本質上是一個輸所引擎
[00:07:50.010 - 00:07:53.210] 他的核心任務就是把買紮
[00:07:53.210 - 00:07:56.330] 最想要的產品優先展示出來
[00:07:56.330 - 00:07:58.250] 所以平台判斷你的產品
[00:07:58.250 - 00:08:00.010] 該不該排在前面
[00:08:00.010 - 00:08:03.850] 第一個問題就是你的產品和買紮搜索的詞
[00:08:03.850 - 00:08:07.050] 疲配不比配精準不精準
[00:08:07.050 - 00:08:09.450] 平台再判斷疲配度時
[00:08:09.450 - 00:08:11.450] 會從三個層次進行照驗
[00:08:11.450 - 00:08:14.330] 第一層也就是全種最高的一層
[00:08:14.330 - 00:08:17.610] 是產品名身家關鍵詞完全疲配
[00:08:17.610 - 00:08:19.450] 也就是說買紮搜什麼
[00:08:19.450 - 00:08:23.290] 你的產品名稱理由前三位關鍵詞理由
[00:08:23.290 - 00:08:24.970] 而且完全對應
[00:08:24.970 - 00:08:27.850] 這個就是最高級別的疲配了
[00:08:27.850 - 00:08:33.450] 第二層是產品名稱和產品屬性的聯合命中
[00:08:33.450 - 00:08:37.690] 除了名稱和關鍵詞平台還會教驗產品屬性
[00:08:37.690 - 00:08:40.250] 屬性填寫的越完整
[00:08:40.250 - 00:08:42.730] 越準確 疲配的機會就越多
[00:08:42.730 - 00:08:44.890] 很多雙家會忽略屬性
[00:08:44.890 - 00:08:47.690] 其實這個也是擴大疲配範圍
[00:08:47.690 - 00:08:52.010] 去抓取一些常味流量的一個重要入口
[00:08:52.010 - 00:08:54.490] 第三層次是產品苗树
[00:08:54.490 - 00:08:57.450] 價格型號表格等其他質段的疲配
[00:08:57.450 - 00:09:00.730] 這些自動同樣會參與塑合疲配
[00:09:00.730 - 00:09:02.330] 所以全種不如前兩項
[00:09:02.330 - 00:09:04.970] 但整體也是參與倒
[00:09:04.970 - 00:09:10.040] 所以我們同樣需要認真規範的提醒
[00:09:10.040 - 00:09:11.480] 產品名稱怎麼選
[00:09:11.480 - 00:09:13.000] 給大家一個公式
[00:09:13.000 - 00:09:14.920] 通常用修式詞詞詞
[00:09:14.920 - 00:09:19.480] 中心詞 加上他的一些認真壓專利
[00:09:19.480 - 00:09:21.720] 或者說產品的型號
[00:09:21.720 - 00:09:23.960] 他的一些特徵等等
[00:09:23.960 - 00:09:25.720] 這裡有幾個注意點
[00:09:25.720 - 00:09:29.480] 首先不要去對器無關哪些關鍵詞
[00:09:29.480 - 00:09:31.480] 不要描述重複的單詞
[00:09:31.480 - 00:09:34.120] 不要為了撇配去讓改中心詞
[00:09:34.120 - 00:09:37.160] 中心詞是他系統會根據我們的
[00:09:37.160 - 00:09:40.520] 民生和關鍵詞的綜合來判定的
[00:09:40.520 - 00:09:44.120] 首先系統會判定民生中的中心詞
[00:09:44.120 - 00:09:45.640] 他根據英語的特點
[00:09:45.640 - 00:09:47.080] 去逆上的掃描
[00:09:47.080 - 00:09:49.960] 識別又刺第一個有實際意義
[00:09:49.960 - 00:09:52.600] 可銷售的名詞作為中心詞
[00:09:52.600 - 00:09:56.600] 這裡要注意轉役詞通常是一些詞詞
[00:09:57.560 - 00:10:01.160] 大家可以看這個PVT上的這些轉役詞用內線
[00:10:01.160 - 00:10:03.080] 轉役詞又刺的詞
[00:10:03.080 - 00:10:05.000] 不會被識別為中心詞
[00:10:05.000 - 00:10:06.200] 擴好中的詞
[00:10:06.200 - 00:10:10.620] 不會被識別為這個中心詞
[00:10:10.620 - 00:10:12.940] 也有一些商家會問
[00:10:12.940 - 00:10:16.300] 發布產品詞 專心詞選項是非必填下
[00:10:16.300 - 00:10:17.740] 我可不可以不選
[00:10:17.740 - 00:10:20.940] 在這裡建議大家盡量的去填寫
[00:10:20.940 - 00:10:24.060] 雖然系統詞會自動判定中心詞的
[00:10:24.060 - 00:10:27.260] 但是我們手動去選擇中心詞
[00:10:27.260 - 00:10:31.420] 相當於給系統一個民確精準的信號
[00:10:31.420 - 00:10:34.860] 幫助平台更快速更準確的去教驗
[00:10:34.860 - 00:10:36.060] 劝中中心詞
[00:10:36.060 - 00:10:41.700] 提升這個產品的PVT進準度
[00:10:41.700 - 00:10:43.940] 接下來我們講關鍵詞填寫
[00:10:43.940 - 00:10:46.340] 關鍵詞建議用書詞詞
[00:10:46.340 - 00:10:49.860] 詞詞填寫
[00:10:49.860 - 00:10:54.340] 前三個關鍵詞全中最高必須被產品名稱完全覆蓋
[00:10:54.340 - 00:10:56.500] 比如買詞的時候要Distory Telet
[00:10:56.500 - 00:10:58.660] 你的名稱要完全披配
[00:10:58.660 - 00:11:01.140] 前三個關鍵詞中的某一個關鍵詞
[00:11:01.140 - 00:11:02.820] 也要完全披配
[00:11:02.820 - 00:11:07.860] 這樣才是最有的一個狀態
[00:11:07.860 - 00:11:09.780] 這裡提醒一下大家
[00:11:09.780 - 00:11:13.460] 一個產品我們只要一個核心詞來優化
[00:11:13.460 - 00:11:17.060] 一個產品如果說寄想做A字的排名
