# 2.账号提升秘籍

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:02.600] 各位中國製造網的會員朋友們 大家好
[00:00:02.600 - 00:00:04.340] 我是本次課程的講師
[00:00:04.340 - 00:00:08.640] 今天給大家分享的是中國製造網賬號分析與優化密集
[00:00:08.640 - 00:00:11.320] 首先想給大家分享一個案例
[00:00:11.320 - 00:00:12.540] 途中的兩家公司
[00:00:12.540 - 00:00:14.840] 他們經營的是相同平製的產品
[00:00:14.840 - 00:00:16.920] 他們在平台上的發案水平
[00:00:16.920 - 00:00:19.640] 以及開通賬號的時間是差不多的
[00:00:19.640 - 00:00:21.160] 但從途中的數據來看
[00:00:21.160 - 00:00:24.920] 我們會發現兩家公司的群盤量存在很大的差異
[00:00:24.920 - 00:00:28.420] A公司的群盤水平達到了同行平均水平的
[00:00:28.420 - 00:00:29.640] 進兩倍的樣子
[00:00:29.640 - 00:00:32.960] 而B公司只有同行平均水平的5分之一
[00:00:32.960 - 00:00:34.900] 我們在運營推亡的過程中
[00:00:34.900 - 00:00:37.060] 是不是也有產生過這樣的疑問呢
[00:00:37.060 - 00:00:39.620] 比如說為什麼同行的效果會比我的好
[00:00:39.620 - 00:00:40.980] 我自己應該要怎麼樣做
[00:00:40.980 - 00:00:43.140] 才能夠去成為行業的通商家對吧
[00:00:43.140 - 00:00:45.480] 包括我目前我自己的效果是
[00:00:45.480 - 00:00:46.660] 處於什麼樣子的水平
[00:00:46.660 - 00:00:48.160] 還有沒有提升空間了
[00:00:48.160 - 00:00:53.060] 所以說我們自己要進行怎樣的運營才能夠去提升我們的賬號效果
[00:00:53.060 - 00:00:54.460] 這個是非常重要的
[00:00:54.460 - 00:00:56.280] 我們日常關這個效果數據
[00:00:56.280 - 00:00:58.200] 主要就是曝光量 訪問量
[00:00:58.200 - 00:01:00.200] 商機量還有這個商機的轉化
[00:01:00.200 - 00:01:02.700] 包括他們的數量表現和質量表現
[00:01:03.700 - 00:01:06.560] 好 那想要提升效果我們首先要做的一部是什麼呢
[00:01:06.560 - 00:01:10.400] 是通過正好分析來準確了解自己當下的效果水平
[00:01:10.400 - 00:01:12.040] 有的會員朋友可能會說
[00:01:12.040 - 00:01:13.360] 我自己的效果好不好
[00:01:13.360 - 00:01:14.560] 我怎麼能不知道呢
[00:01:14.560 - 00:01:16.640] 那我這邊給大家去舉個例子
[00:01:16.640 - 00:01:17.960] 比如說循環量少
[00:01:17.960 - 00:01:20.520] 那他有可能是報光和防光量也少
[00:01:20.520 - 00:01:23.440] 當然也有可能是本身報光和防光的水平還不錯
[00:01:23.440 - 00:01:24.880] 但是循環轉化是不好
[00:01:24.880 - 00:01:26.840] 所以呢 我們要清晰的去了解
[00:01:26.840 - 00:01:28.600] 我們自己的效果水平是什麼樣子的
[00:01:28.600 - 00:01:30.440] 哪裡存在提升空間
[00:01:30.440 - 00:01:32.920] 讓自己才能進一步的去採取正對性的措施
[00:01:32.920 - 00:01:34.360] 那我們在照和分析的時候
[00:01:34.360 - 00:01:38.440] 可以通過數據羅盤來查看各項推廣數據的具體情況
[00:01:38.440 - 00:01:40.240] 這邊想提醒一下大家
[00:01:40.240 - 00:01:42.360] 我們不僅僅要去關注商機量
[00:01:42.360 - 00:01:45.520] 我們也要去關注報光量和訪問量的表現
[00:01:45.520 - 00:01:47.760] 比如說前面給大家去提到的這個
[00:01:47.760 - 00:01:49.520] 循環量少這樣的問題
[00:01:49.520 - 00:01:52.920] 那如果說本身是報光量和訪問量就比較少的話
[00:01:52.920 - 00:01:54.440] 那我們應該要去關注的是
[00:01:54.440 - 00:01:56.800] 我怎麼樣去提升我的報光和訪問水平
[00:01:56.800 - 00:01:59.200] 如果說報光和訪問水平還不錯的話
[00:01:59.200 - 00:02:00.960] 那我們應該要去關注的是什麼
[00:02:00.960 - 00:02:02.360] 是循環的轉化
[00:02:02.360 - 00:02:04.080] 所以呢不同的數據表現
[00:02:04.080 - 00:02:05.960] 我們要關注的點是不一樣的
[00:02:05.960 - 00:02:09.600] 這邊我們可以去關注不同的戰點的效果走勢
[00:02:09.600 - 00:02:11.240] 此外我也會建議大家
[00:02:11.240 - 00:02:13.880] 在關注循環量的同時也要去關注到
[00:02:13.880 - 00:02:16.440] 屁股人數 循環人數這樣的概念
[00:02:16.440 - 00:02:18.880] 接下來我想給大家再去看一個案例
[00:02:18.880 - 00:02:21.400] 這家工商當時反會的市人9月份
[00:02:21.400 - 00:02:22.760] 循環量下華很多
[00:02:22.760 - 00:02:25.840] 我們從徒中的數據表現來看確實是這樣
[00:02:25.840 - 00:02:27.840] 好 我們再看下面的數據
[00:02:27.840 - 00:02:30.960] 有月份的循環人數和是明顯高於8月份的
[00:02:30.960 - 00:02:33.760] 家上天的資群人數是與8月份持平的
[00:02:33.760 - 00:02:36.920] 所以本質上來說並不存在9月份下華的情況
[00:02:36.920 - 00:02:38.560] 所以對於徒上這種情況
[00:02:38.560 - 00:02:40.120] 我們不需要故意去擔心
[00:02:40.120 - 00:02:42.560] 正常繼續觀察我們推廣效果就可以了
[00:02:42.560 - 00:02:45.320] 經過分析我們基本上就能夠準確的去
[00:02:45.320 - 00:02:47.200] 了解自己的效果水平了
[00:02:47.200 - 00:02:51.000] 比如說是對比自身一直都處於長期穩定的狀態
[00:02:51.000 - 00:02:54.280] 還是說最近出現連續幾個月的波動 對吧
[00:02:54.280 - 00:02:56.240] 我只說我們對比同行
[00:02:56.240 - 00:02:58.360] 我一直都高於同行平均水平
[00:02:58.360 - 00:03:00.640] 還是一直都低於同行平均水平
[00:03:00.640 - 00:03:03.680] 是同行沒有出現變動而我自己出現的變動
[00:03:03.680 - 00:03:06.160] 了解清楚我們自己的效果水平以後
[00:03:06.160 - 00:03:08.640] 才能夠去幫助我們採取有效的
[00:03:08.640 - 00:03:11.400] 針對性的措施來提升我們的整體的效果
[00:03:11.400 - 00:03:12.840] 這邊想問一下大家
[00:03:12.840 - 00:03:14.840] 是否有遇到過這樣子的情況呢
[00:03:14.840 - 00:03:17.120] 比如說我突然某一段時間
[00:03:17.120 - 00:03:20.400] 我的模計條產品收獲了很多很多風旬盤
[00:03:20.400 - 00:03:22.400] 大家有沒有遇到過這樣子的情況呢
[00:03:22.400 - 00:03:24.240] 所以說在照後分析的時候
[00:03:24.240 - 00:03:26.200] 也建議大家去排查一下
[00:03:26.200 - 00:03:28.560] 我們自己的效果是否存在集中性
[00:03:28.560 - 00:03:30.760] 比如說是否集中在個別產品上
[00:03:30.760 - 00:03:32.880] 是否集中在個別國家或地區
[00:03:32.880 - 00:03:35.080] 或者說是否集中在個別戰點上
[00:03:35.080 - 00:03:35.920] 這些集中性
[00:03:35.920 - 00:03:37.760] 我們應該要怎麼樣去排查呢
[00:03:38.760 - 00:03:41.760] 如果說是最近兩天的這個尋排的波動
[00:03:41.760 - 00:03:45.040] 我們可以直接在商機收剑箱裡面去查看
[00:03:45.040 - 00:03:47.200] 如果說是兩天以前的數據
[00:03:47.200 - 00:03:49.520] 我們可以藉著數據的羅盤來進行排查
[00:03:49.520 - 00:03:52.360] 比如說我們可以通過買家分析買家分布
[00:03:52.360 - 00:03:53.960] 去對比不同時間斷內
[00:03:53.960 - 00:03:55.360] 我們國家或地區
[00:03:55.360 - 00:03:56.960] 它戰比的前後變化
[00:03:56.960 - 00:04:00.160] 我們也可以通過行業分析行業買家地餘分布
[00:04:00.160 - 00:04:01.760] 去對比自己與同行在
[00:04:01.760 - 00:04:03.960] 我們國家或地區的戰比差異
[00:04:03.960 - 00:04:06.000] 以此能幫助我們去判斷
[00:04:06.000 - 00:04:08.880] 我們的效果是否存在國家或者地區的集中性
[00:04:08.880 - 00:04:12.040] 當我們準確了解清楚自己的效果水平以後
[00:04:12.040 - 00:04:13.160] 我們就可以去考慮
[00:04:13.160 - 00:04:15.280] 怎麼樣去容體性的提升我們的效果
[00:04:15.280 - 00:04:16.400] 我們都知道
[00:04:16.400 - 00:04:18.960] 通往效果是遇上的完善情況
[00:04:18.960 - 00:04:20.760] 我們產品的任務程度
[00:04:20.760 - 00:04:22.320] 我們自己的商機跟幾情況
[00:04:22.320 - 00:04:24.320] 或我們推廣服務方案的大小等等
[00:04:24.320 - 00:04:25.040] 都是有關係的
[00:04:25.040 - 00:04:26.880] 我這邊主要想建議大家
[00:04:26.880 - 00:04:28.520] 優先去關注我們自己
[00:04:28.520 - 00:04:29.960] 賬號的滿善情況
[00:04:29.960 - 00:04:30.600] 比如說
[00:04:30.600 - 00:04:32.960] 我的貢獻商星及有沒有達到3星級以上
[00:04:32.960 - 00:04:34.320] 我自己的產品星級
[00:04:34.320 - 00:04:36.320] 是不是都達到4.5星級以上呢
[00:04:36.320 - 00:04:38.320] 包括我上傳的產品各不夠多
[00:04:38.320 - 00:04:40.080] 我的商機跟進情況怎麼樣
[00:04:40.080 - 00:04:42.480] 有沒有其實通過平台去回復買家呢
[00:04:42.480 - 00:04:44.560] 我平時用沒有做一些主動營銷
[00:04:44.560 - 00:04:47.440] 有沒有去積極的參與平台的真常活動呢
[00:04:47.440 - 00:04:49.080] 這些呢都是能夠通過
[00:04:49.080 - 00:04:51.320] 我們自己的照號操作和運營來幫助
[00:04:51.320 - 00:04:53.440] 我們總體性的提升照效果的
[00:04:53.440 - 00:04:55.960] 當然我們也可以考慮去升級服務方案
[00:04:55.960 - 00:04:58.880] 或者加構產品服務來提升照號的效果
[00:04:58.880 - 00:05:00.480] 那有的會員朋友可能會問
[00:05:00.480 - 00:05:02.440] 為什麼我最近的效果突然下滑
[00:05:02.440 - 00:05:03.840] 或者說突然上漲了呢
[00:05:03.840 - 00:05:06.160] 這邊給大家去提供一些思路
[00:05:06.800 - 00:05:08.400] 首先我們要去合使
[00:05:08.400 - 00:05:09.600] 我們自己的照號操作
[00:05:09.600 - 00:05:10.800] 有沒有發生變化
[00:05:10.800 - 00:05:12.920] 比如說我們的官商星及
[00:05:12.920 - 00:05:13.920] 我們的產品星級
[00:05:13.920 - 00:05:15.040] 有沒有大幅的波動
[00:05:15.040 - 00:05:16.720] 我們上傳的這個產品數量
[00:05:16.720 - 00:05:18.000] 它有沒有大幅的波動
[00:05:18.000 - 00:05:20.960] 包括說我們有沒有進行過主大分析的調整
[00:05:20.960 - 00:05:22.560] 這些呢都是可能會導致
[00:05:22.560 - 00:05:24.960] 我們的照號效果出現明顯波動的原因
[00:05:24.960 - 00:05:26.480] 除了照號操作以外呢
[00:05:26.480 - 00:05:27.920] 我們也可以去合使
[00:05:27.920 - 00:05:30.400] 我們最近有沒有廣告服務或者數制
[00:05:30.400 - 00:05:32.000] 影銷服務方面的變化
[00:05:32.000 - 00:05:34.560] 也可以去看看我們之前有沒有參與
[00:05:34.560 - 00:05:36.320] 國一些平台的大型活動呀
[00:05:36.320 - 00:05:38.960] 此外呢我們也可以去結合數據羅盤裡面
[00:05:38.960 - 00:05:40.400] 行業分析裡面的數據
[00:05:40.400 - 00:05:42.480] 去判斷行業的效果有沒有出
[00:05:42.480 - 00:05:44.320] 有沒有出現和我一樣的變化
[00:05:44.320 - 00:05:45.600] 通過這些排查分析了
[00:05:45.600 - 00:05:46.560] 基本上就能夠
[00:05:46.560 - 00:05:49.680] 大致去了解到我效果出現明顯波動的原因了
[00:05:49.680 - 00:05:51.440] 除了總體性提升效果
[00:05:51.440 - 00:05:53.360] 我們也可以進一步的去針對性的
[00:05:53.360 - 00:05:54.720] 去提升退往的效果
[00:05:54.720 - 00:05:56.800] 接下來我們一個句看一下
[00:05:56.800 - 00:05:58.320] 首先是報光量
[00:05:58.320 - 00:05:59.200] 報光量的影響
[00:05:59.200 - 00:06:01.120] 因素消息大家都很熟悉
[00:06:01.120 - 00:06:03.520] 這邊建議大家日常重點去關注
[00:06:03.520 - 00:06:06.800] 如何去提升我們的公司商星及和產品星級
[00:06:06.800 - 00:06:09.200] 如何去提升我們產品的排名
[00:06:09.200 - 00:06:10.320] 包括充分利用
[00:06:10.320 - 00:06:13.200] 我們當下廣告和主大資源這些地方
[00:06:13.200 - 00:06:15.920] 如果在報光這塊有不清楚的會員朋友
[00:06:15.920 - 00:06:18.480] 您可以去了解我們專門講解
[00:06:18.480 - 00:06:20.800] 報光訪問旅行旁邊的課程
[00:06:20.800 - 00:06:23.280] 接下來我們去再看一個案例
[00:06:23.280 - 00:06:25.920] 相信很多會員朋友會產生這樣子的疑問
[00:06:25.920 - 00:06:27.920] 說為什麼我的主大產品
[00:06:27.920 - 00:06:29.520] 排在Fiddle大產品後面
[00:06:29.520 - 00:06:31.680] 為什麼我低分數的產品還能排到
[00:06:31.680 - 00:06:33.440] 我高分數的產品前面
[00:06:33.440 - 00:06:36.400] 對這個實際上就是一個產品排名的問題
[00:06:36.400 - 00:06:37.760] 我們首先要了解什麼
[00:06:37.760 - 00:06:40.400] 要去了解到我們排名的影響因素
[00:06:40.400 - 00:06:41.840] 不要是精準性
[00:06:41.840 - 00:06:43.840] 產品的新級過隱傷的新級
[00:06:43.840 - 00:06:45.760] 主打的分職和會員級別
[00:06:45.760 - 00:06:49.600] 對我們自己照後裡面的Fiddle大產品和主大產品來說
[00:06:49.600 - 00:06:52.560] 主要考慮精準性和產品新級就可以了
[00:06:52.560 - 00:06:55.520] 排查的時候我們可以把兩條產品的
[00:06:55.520 - 00:06:56.960] 後台邊籍顏面打開
[00:06:56.960 - 00:06:59.600] 我們去對比他們的目錄產品的名稱
[00:06:59.600 - 00:07:01.840] 中心死了選擇以及關鍵紫的設置
[00:07:01.840 - 00:07:02.800] 這樣的一些信息
[00:07:02.800 - 00:07:04.960] 一般來說排查下來都會發現是
[00:07:04.960 - 00:07:06.080] Pipede的問題
[00:07:06.080 - 00:07:09.040] 就是我Fiddle大產品是完全Pipe
[00:07:09.040 - 00:07:11.280] 我的主打產品並沒有完全Pipe
[00:07:11.280 - 00:07:12.960] 右邊想再提醒一下大家
[00:07:12.960 - 00:07:14.640] 目前平台上產品名稱
[00:07:14.640 - 00:07:17.680] 完全Pipe且關鍵紫也和買家索索紫
[00:07:17.680 - 00:07:18.400] 完全Pipe
[00:07:18.400 - 00:07:20.400] 這個是平台收索精準性的
[00:07:20.400 - 00:07:21.120] 這優狀態
[00:07:21.120 - 00:07:24.960] 因此我們前三關鍵紫需要和產品名稱保持一致
[00:07:24.960 - 00:07:26.960] 後續的其他關鍵紫也建議大家
[00:07:26.960 - 00:07:28.960] 盡量和我們的產品名稱保持一致
[00:07:28.960 - 00:07:30.560] 這個是精準性的方面
[00:07:30.560 - 00:07:32.160] 產品新級這一塊
[00:07:32.160 - 00:07:34.400] 同等情況下產品新級月高
[00:07:34.400 - 00:07:36.000] 排名優勢也是月高的
[00:07:36.000 - 00:07:39.200] 所以我們要進可能的將我們的產品提升到4.6星
[00:07:39.200 - 00:07:40.240] 或4.7星
[00:07:40.240 - 00:07:41.840] 尤其是我們的核心產品
[00:07:41.840 - 00:07:43.760] 除此以外我們也可以考慮
[00:07:43.760 - 00:07:45.920] 通過提升貴商新級
[00:07:45.920 - 00:07:47.040] 給到我們的產品
[00:07:47.040 - 00:07:48.320] 主打資源的加持
[00:07:48.320 - 00:07:50.560] 來幫助我們的產品提升收抖的排名
[00:07:50.560 - 00:07:52.160] 接下來是訪問量
[00:07:52.160 - 00:07:54.240] 影響因素相近大家也都很熟悉
[00:07:54.240 - 00:07:55.840] 比如說圖片清晰美觀
[00:07:55.840 - 00:07:56.640] 價格合理
[00:07:56.640 - 00:07:57.840] 天一只保持在線
[00:07:57.840 - 00:08:00.000] 對把包括我們田血的產品屬性
[00:08:00.000 - 00:08:01.040] 專業相近
[00:08:01.040 - 00:08:03.280] 這新的都是能夠去幫助我們的產品
[00:08:03.280 - 00:08:04.640] 提升訪問轉化的
[00:08:04.640 - 00:08:06.320] 這邊也想提醒一下大家
[00:08:06.320 - 00:08:09.200] 日常要記得去關注訪客數仗一個概念
[00:08:09.200 - 00:08:11.040] 接下來是商機量
[00:08:11.040 - 00:08:14.080] 商機量這邊的話我首先想給大家講到的就是
