# 3.账号提升-推广致胜攻略（曝光篇）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:02.800] 中國知道我們會員朋友們大家好
[00:00:02.800 - 00:00:05.060] 我是本斯克的講師方方
[00:00:05.060 - 00:00:07.120] 本斯克成主要是為大家講解
[00:00:07.120 - 00:00:09.300] 中國知道我們推廣知識公略
[00:00:09.300 - 00:00:10.480] 報光Pinare用
[00:00:10.480 - 00:00:12.540] 首先我們先來看一下
[00:00:12.540 - 00:00:15.600] 在平台上如果想要和買家接手
[00:00:15.600 - 00:00:17.060] 第一步是什麼呢?
[00:00:17.060 - 00:00:19.200] 需要買家看到我
[00:00:19.200 - 00:00:20.540] 那報光呢?
[00:00:20.540 - 00:00:22.280] 就是買家在搜索的時候
[00:00:22.280 - 00:00:24.180] 能夠看到我的產品信息
[00:00:24.180 - 00:00:26.240] 把產品被買家看到的自數
[00:00:26.240 - 00:00:27.540] 就成為報光
[00:00:28.360 - 00:00:31.120] 那我們怎麼能夠讓買家看到我呢?
[00:00:31.840 - 00:00:33.540] 會朋友們可以想一下
[00:00:33.540 - 00:00:36.340] 什麼情況下買家才會看到我呢?
[00:00:36.940 - 00:00:38.940] 他的影響因素又哪間呢?
[00:00:39.660 - 00:00:40.840] 真可愛看
[00:00:40.840 - 00:00:43.600] 影響因素主要有分為三個方面
[00:00:43.920 - 00:00:46.540] 第一個就是我們的產品數量
[00:00:47.040 - 00:00:49.540] 第一就是我的產品搜索出來了
[00:00:49.540 - 00:00:51.340] 如何獲得更好的排名?
[00:00:52.040 - 00:00:54.140] 第三就是我們的王炸組合
[00:00:54.140 - 00:00:56.840] 能夠快搜索買家看到我們的產品
[00:00:56.840 - 00:00:58.840] 保障報光的廣告資源
[00:00:59.440 - 00:01:00.840] 我們一個個來看
[00:01:00.840 - 00:01:02.440] 首先是產品數量
[00:01:02.440 - 00:01:06.740] 我們為什麼讓大家多多的發佈高質量的產品信息呢?
[00:01:07.140 - 00:01:10.340] 平台將產品數量和旬盤做的對立
[00:01:11.540 - 00:01:12.340] 發展
[00:01:12.340 - 00:01:13.940] 產品數量的不同
[00:01:13.940 - 00:01:16.340] 旬盤數量差距也非常大
[00:01:16.340 - 00:01:19.640] 產品數量一間調的共產品商機
[00:01:19.640 - 00:01:22.240] 是產品數量僅4%共產的自備
[00:01:22.740 - 00:01:25.140] 所以我們產品量最合金的就是
[00:01:25.140 - 00:01:27.040] 多發佈高質量的產品
[00:01:27.640 - 00:01:29.140] 那怎麼樣就發佑呢?
[00:01:30.640 - 00:01:32.640] 產品發佈有4個要點
[00:01:34.040 - 00:01:38.580] 第一就是我們的發佈數度要快
[00:01:39.080 - 00:01:41.780] 有些會員朋友們會覺得是怎樣比較多
[00:01:42.080 - 00:01:45.280] 我一個新界發佈10條一個月發佈100條
[00:01:45.680 - 00:01:46.780] 大家覺得可以嗎?
[00:01:47.680 - 00:01:48.780] 直接告訴大家
[00:01:48.780 - 00:01:51.180] 在平台上快走發佈產品
[00:01:51.180 - 00:01:53.380] 後續就是效果跡累的過程
[00:01:53.380 - 00:01:54.580] 而且我們知道
[00:01:54.580 - 00:01:56.680] 在平台上發佈產品
[00:01:56.680 - 00:01:59.380] 一會被谷歌這樣的多作引擎收入
[00:01:59.880 - 00:02:02.580] 那我們產品發佈的時間越長
[00:02:02.580 - 00:02:05.080] 對於戰外的收入機會也會更多
[00:02:05.080 - 00:02:07.580] 對於谷歌等搜索引擎的排名
[00:02:07.580 - 00:02:08.780] 也是有幫助的
[00:02:09.280 - 00:02:11.680] 所以我們在發佈產品的時候
[00:02:11.680 - 00:02:13.780] 做作量儀而快也好
[00:02:14.780 - 00:02:15.580] 好呢?
[00:02:15.580 - 00:02:18.180] 就是我們發佈產品的信息品質要好
[00:02:18.180 - 00:02:21.580] 當買家看到我上誠的產品信息
[00:02:21.580 - 00:02:23.180] 好才會買單
[00:02:24.180 - 00:02:26.580] 最基礎的就是我們發佈產品師
[00:02:26.580 - 00:02:29.180] 產品信息達到4.5經濟以上
[00:02:29.180 - 00:02:30.680] 並且避免重複
[00:02:32.180 - 00:02:34.880] 第三個就是我們的品類要集權
[00:02:35.180 - 00:02:37.180] 多樣化的發佈產品
[00:02:37.180 - 00:02:38.580] 平內比較多的話
[00:02:38.580 - 00:02:40.980] 也建議大家每個品內都付稍
[00:02:40.980 - 00:02:43.380] 因為我們知道不同的產品品類
[00:02:43.380 - 00:02:45.180] 付稍買家群體也不同
[00:02:45.980 - 00:02:47.380] 如果發佈的產品品類
[00:02:47.380 - 00:02:50.780] 比較全也會更多不同的買家
[00:02:50.780 - 00:02:52.380] 更廣的買家群體
[00:02:53.380 - 00:02:55.980] 最後一個就是木陸選的要準
[00:02:56.980 - 00:02:59.380] 平台也是為了維護共遇商
[00:02:59.380 - 00:03:00.980] 銀商環境的公平境
[00:03:01.380 - 00:03:02.780] 在這部分用戶
[00:03:02.780 - 00:03:04.980] 通過大量破品來過去流量
[00:03:05.380 - 00:03:07.980] 影響正常進共商全議的問題
[00:03:07.980 - 00:03:09.380] 通過規範
[00:03:09.380 - 00:03:10.980] 二級木陸發品數量
[00:03:10.980 - 00:03:13.980] 保障共遇商主營品類的推廣索果
[00:03:13.980 - 00:03:17.180] 促進會員投入與流量全議的合理點
[00:03:17.980 - 00:03:21.380] 所以大家在發佈產品時要記住這四個口血
[00:03:21.980 - 00:03:22.380] 快
[00:03:22.380 - 00:03:23.180] 好
[00:03:23.180 - 00:03:24.180] 全
[00:03:24.180 - 00:03:24.580] 準
[00:03:25.580 - 00:03:27.580] 定真對盡的發佈產品間接
[00:03:28.980 - 00:03:31.780] 我們如何快做發佈產品信心呢
[00:03:32.380 - 00:03:34.180] 後談也會有三個功能
[00:03:35.780 - 00:03:38.180] 首先就是產品信心發佈顏面
[00:03:38.780 - 00:03:40.580] 在我們的產品天災顏面
[00:03:40.580 - 00:03:42.980] 左上腳是有產品數量全線
[00:03:43.380 - 00:03:44.780] 加進共遇商朋友
[00:03:44.780 - 00:03:45.820] 其中有一件事子
[00:03:45.820 - 00:03:46.380] 好
[00:03:46.380 - 00:03:47.580] 那怎麼樣知道
[00:03:47.580 - 00:03:50.380] 整個公司要多早調產品的全線呢
[00:03:50.380 - 00:03:51.580] 就在這個位置
[00:03:51.580 - 00:03:52.980] 大家可以參考一下
[00:03:53.380 - 00:03:55.980] 另外在天災產品的時候
[00:03:55.980 - 00:03:58.380] 也有快做天災產品的功能
[00:03:58.980 - 00:04:00.980] 只需要天災明稱
[00:04:01.580 - 00:04:03.580] 圖片視頻請靠
[00:04:03.580 - 00:04:04.980] 就可以快做大佈
[00:04:06.580 - 00:04:09.980] 到這裡就是我們說的產品數量問題
[00:04:10.180 - 00:04:13.380] 在網項就是我們跟同行具PK的地方
[00:04:13.380 - 00:04:14.780] 就是我們產品貪廟
[00:04:15.380 - 00:04:17.380] 我產品發佈好了
[00:04:17.380 - 00:04:20.180] 怎麼樣獲得更好的更理想的排名呢
[00:04:21.180 - 00:04:22.580] 其實講到產品貪廟
[00:04:22.780 - 00:04:24.580] 實際上最直觀的體現
[00:04:24.580 - 00:04:26.380] 就是買家在前台搜索
[00:04:26.380 - 00:04:29.780] 第一集也第一集為看到我們的產品對不對
[00:04:30.380 - 00:04:32.980] 雖然我們中國知道網絡是作品台的
[00:04:32.980 - 00:04:33.980] 大家講一下
[00:04:33.980 - 00:04:35.980] 我們搜索是給誰用的
[00:04:37.180 - 00:04:38.380] 是買家具不給
[00:04:38.780 - 00:04:40.580] 一定要知道這個思維
[00:04:41.180 - 00:04:43.980] 當買家在平台搜索信息的時候
[00:04:43.980 - 00:04:46.580] 只要成縣是什麼樣的信息呢
[00:04:47.580 - 00:04:50.580] 比如說當買家搜索咖啡廢的時候
[00:04:50.580 - 00:04:52.780] 我的搜索結果可以能夠出現
[00:04:52.780 - 00:04:54.380] 一次新的背子嗎
[00:04:54.980 - 00:04:55.980] 不會對吧
[00:04:55.980 - 00:04:58.580] 所以首先知道切寶精準性
[00:04:59.180 - 00:05:02.180] 我們出來的結果是買家小老的東西
[00:05:02.780 - 00:05:03.980] 第二個是什麼呢
[00:05:04.180 - 00:05:05.780] 當我們去成縣的時候
[00:05:05.780 - 00:05:07.780] 大家都是做咖啡背的
[00:05:07.780 - 00:05:10.580] 一定是要把高品質信息呈現出來
[00:05:10.580 - 00:05:12.980] 這樣買家才會有更好的體驗
[00:05:13.380 - 00:05:14.980] 所以在排名中
[00:05:14.980 - 00:05:16.980] 前兩個非常重要的因素
[00:05:16.980 - 00:05:18.780] 是精準最好產品性的底
[00:05:19.780 - 00:05:21.980] 在網絡下就是我們的主打噹直
[00:05:21.980 - 00:05:23.380] 和共一商新寄了
[00:05:23.580 - 00:05:24.980] 最後誰跟呢
[00:05:24.980 - 00:05:26.460] 是我們的會員疾疲
[00:05:26.460 - 00:05:28.580] 這也是三當於高級玩家
[00:05:28.580 - 00:05:30.180] 和免費玩家的區別
[00:05:30.580 - 00:05:31.580] 那會員朋友們
[00:05:31.580 - 00:05:32.980] 也都是我們的高級會員
[00:05:32.980 - 00:05:34.980] 天然三有這方面優勢
[00:05:35.780 - 00:05:37.980] 接下來會講幾道說明
[00:05:37.980 - 00:05:40.780] 所以我們平台上排名的規則
[00:05:40.780 - 00:05:43.780] 是這五個方向的綜合影響因素
[00:05:43.780 - 00:05:44.780] 卻一不可
[00:05:44.780 - 00:05:47.380] 這五個方向就是精準性
[00:05:47.380 - 00:05:49.580] 產品經濟、主打噹直
[00:05:49.580 - 00:05:51.900] 滾山經濟和會員疾疲
[00:05:53.180 - 00:05:56.180] 下面我們的一起分別來看一下
[00:05:56.180 - 00:05:59.580] 這五個影響因素是如何發揮作用的
[00:05:59.580 - 00:06:02.980] 我們怎麼樣才能俗國中國製造我的排名規則
[00:06:02.980 - 00:06:04.580] 獲得好的排名
[00:06:04.580 - 00:06:05.580] 首先
[00:06:05.580 - 00:06:07.380] 我們來理解一家精準性
[00:06:08.380 - 00:06:11.780] 所謂精準性可以說是精肌的疲態度
[00:06:11.780 - 00:06:13.780] 就是我們發布的產品性肌
[00:06:13.780 - 00:06:16.380] 一定是跟買家可能用來搜索了
[00:06:16.380 - 00:06:17.780] 死了疲疲疲上
[00:06:17.780 - 00:06:20.180] 這樣才能保證搜出來的產品
[00:06:20.180 - 00:06:21.980] 是買在想要的東西
[00:06:22.580 - 00:06:24.180] 買家在中國製造網
[00:06:24.180 - 00:06:25.380] 尋找產品的時候
[00:06:25.380 - 00:06:27.180] 一般有兩種搜索方式
[00:06:27.580 - 00:06:30.180] 木魯搜索和關鍵詞搜索
[00:06:30.180 - 00:06:32.580] 所以我們新西的精準性
[00:06:32.580 - 00:06:34.580] 分別是對應著這兩點的
[00:06:36.380 - 00:06:39.380] 我們先看一下木魯皮配的精準性
[00:06:39.780 - 00:06:40.580] 很簡單
[00:06:40.580 - 00:06:43.780] 就是我們木魯的選擇一定要確保準確
[00:06:43.780 - 00:06:45.380] 與產品類型一致
[00:06:45.380 - 00:06:46.380] 一旦選擇
[00:06:46.380 - 00:06:48.780] 即使其他部分都停解準確了
[00:06:48.780 - 00:06:50.380] 排名也會被將選
[00:06:50.380 - 00:06:53.380] 那下面葉祖了木魯選擇過程中
[00:06:53.380 - 00:06:55.980] 經常會出現的一列錯誤類型
[00:06:55.980 - 00:06:57.980] 大家可以一直探考一下
[00:06:57.980 - 00:06:59.380] 如果出現了一次
[00:06:59.380 - 00:07:00.980] 一定是要尷尬哦
[00:07:00.980 - 00:07:02.580] 第一種情況
[00:07:03.580 - 00:07:06.980] 所選木魯與產品明顯不相關推廣的是
[00:07:06.980 - 00:07:08.180] 手提包的產品
[00:07:08.180 - 00:07:10.580] 卻選擇放在腰帶木魯中
[00:07:10.580 - 00:07:11.780] 定位不準確
[00:07:11.780 - 00:07:13.980] 進行精準性會被扣分
[00:07:13.980 - 00:07:15.780] 那第二種情況
[00:07:15.780 - 00:07:17.580] 就是有對應的可選木魯
[00:07:17.580 - 00:07:20.380] 卻將產品放在阿爾摸一下
[00:07:20.380 - 00:07:22.780] 如手機套類的產品
[00:07:22.780 - 00:07:24.980] 在網站上有專門對應的木魯
[00:07:24.980 - 00:07:27.780] 卻選擇帶了其他手機配件木魯中
[00:07:27.780 - 00:07:29.780] 那麼也是屬於不準確的
[00:07:30.180 - 00:07:31.780] 還這種情況就是
[00:07:31.780 - 00:07:33.580] 整肢與配件的婚小
[00:07:33.580 - 00:07:35.580] 整肢放在配件木魯架
[00:07:35.580 - 00:07:38.980] 如脫拉肌放在龍肌配件當中
[00:07:38.980 - 00:07:41.580] 或是配件放在整肢木魯架
[00:07:41.580 - 00:07:44.580] 如數肌線放在移動點化中
[00:07:44.580 - 00:07:47.580] 以上這些都是錯誤的木魯選擇方式
[00:07:47.580 - 00:07:49.780] 挺大家一定要注意規避哦
[00:07:49.780 - 00:07:52.380] 否則產品排名會被將選的
